material_id,chem_formula,R$_0$,B,Al_chemenv,num_Al_chemenvs,Al_wyckoff,num_Al_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Al_sites,num_CN_env,num_charge_states,mean_coordn_Al-X,min_coordn_Al-X,max_coordn_Al-X,mean_coordn_Al-O,min_coordn_Al-O,max_coordn_Al-O,mean_Al_charge,min_Al_charge,max_Al_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_AlO_BondL,AlX_coordn,AlO_coordn
mp-1005666,Sc3Al3C2O5,1.930808033993037,-0.1244428562379083,"Trigonal bipyramid, Tetrahedron",2,"2b, 4f",2,"[0.005977140525488427, 0.0664584353823062]",0.0,0.03621778795389731,A2B3C3D5,2,2,1,4.5,4.0,5.0,3.0,1.0,5.0,3.0,3.0,3.0,1.5,1,2,"C4-, O2-","Nonmetals, Post-Transition Metals, Transition Metals",R2SCAN,Al-C-O-Sc,0.0174737036538452,-2.5632053486538457,0.4127,4,Hexagonal,6/mmm,P6_3/mmc,oxide,,,Sc,,Al,,"C, O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,1.8598930754127785,"[4.0, 5.0]","[1.0, 5.0]"
mp-1019529,Ba8Al10B12O41,1.6324449050152814,0.4733295339579935,"Trigonal bipyramid, Tetrahedron",2,2i,1,"[0.11418094931127681, 0.24395744675314232, 0.22157480917247538, 0.13840347702577244, 0.18496260640760348]",0.0,0.1806158577340541,A8B10C12D41,2,2,1,4.5,4.0,5.0,4.5,4.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-B-Ba-O,0.0,-3.2454768857394374,4.4373,4,Triclinic,-1,P-1,oxide,,Ba,,,Al,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7945093788774773,"[4.0, 5.0]","[4.0, 5.0]"
mp-1019531,BaAl2Si3(NO)4,1.6351518524022552,0.4019927941552959,Tetrahedron,1,2a,1,"[0.10392600009125003, 0.1757948281222128]",0.0,0.13986041410673142,AB2C3D4E4,1,2,1,4.0,4.0,4.0,2.5,1.0,4.0,3.0,3.0,3.0,1.5,1,2,"O2-, N3-","Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ba-N-O-Si,0.0,-2.381240046428572,3.5521000000000003,5,Orthorhombic,mm2,Cmc2_1,oxide,,Ba,,,Al,"B, Si","N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7584506111096334,[4.0],"[1.0, 4.0]"
mp-1019532,BaAl4O7,1.7037062099893632,0.2410971154686159,Tetrahedron,1,8d,1,"[0.6948939019973116, 0.15438996443450873]",0.0,0.42464193321591015,AB4C7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ba-O,0.0239040699083252,-3.421584802916666,4.1958,3,Orthorhombic,mmm,Pnma,oxide,,Ba,,,Al,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7724345897552063,[4.0],[4.0]
mp-1019534,BaAl4O7,1.6730055616847097,0.3673090947199986,Tetrahedron,1,8d,1,"[0.18451989976714214, 0.34626294394813956]",0.0,0.26539142185764086,AB4C7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ba-O,0.0008325707416583,-3.444656302083333,3.6891,3,Orthorhombic,mmm,Pnma,oxide,,Ba,,,Al,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7791848151574448,[4.0],[4.0]
mp-1019535,BaAl2(SiO4)2,1.679202226509678,0.2853749219587359,Tetrahedron,1,2d,1,[0.095116538170403],0.0,0.095116538170403,AB2C2D8,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ba-O-Si,0.0046539800000005,-3.446998751538461,4.911300000000001,4,Trigonal,-3,P-3,silicate,,Ba,,,Al,"B, Si","O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7625344185482552,[4.0],[4.0]
mp-1019537,BaAlSi4N5O3,1.7377635951424844,0.1473723512490421,Tetrahedron,1,2a,1,[0.15534883141773467],0.0,0.15534883141773467,ABC3D4E5,1,1,1,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,"O2-, N3-","Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ba-N-O-Si,0.0368108280462617,-2.068027145178571,3.2165,5,Orthorhombic,mm2,Cmc2_1,oxide,,Ba,,,Al,"B, Si","N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7914840640728185,[4.0],[3.0]
mp-1019568,CaAl2SiO6,1.6409734315228508,0.4544917698597497,"Octahedron, Tetrahedron",2,1a,1,"[0.49316965485762304, 0.5309870844215884, 0.5321831928497633, 0.5076441611661329, 0.9728773013127076, 0.9536168971202871, 1.0762723400019198, 1.198674485986241]",0.0,0.783178139714533,ABC2D6,2,2,1,5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ca-O-Si,0.0334938242777571,-3.411549716000001,4.596000000000001,4,Triclinic,1,P1,oxide,,Ca,,,Al,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8876397032247705,"[4.0, 6.0]","[4.0, 6.0]"
mp-1019572,CaAl2SiO6,1.6376042811099183,0.460925359338467,"Octahedron, Tetrahedron",2,1a,1,"[0.4239550865873195, 0.518397952468563, 0.5879754293537148, 0.48388797610584877, 0.9563760840236677, 1.0903192843145786, 1.1064523308333911, 1.177052753350441]",0.0,0.7930521121296905,ABC2D6,2,2,1,5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ca-O-Si,0.0336924493888695,-3.40877183975,4.549800000000001,4,Triclinic,1,P1,oxide,,Ca,,,Al,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8875412671563967,"[4.0, 6.0]","[4.0, 6.0]"
mp-1019573,CaAl2SiO6,1.6367697936382757,0.4611905410271283,"Octahedron, Tetrahedron",2,1a,1,"[0.5928546010970842, 0.4848470015336354, 0.3831318064219001, 0.4381130986335299, 1.188557030525675, 1.1476082796852727, 0.9374634751396155, 1.0612154616272291]",0.0,0.7792238443329927,ABC2D6,2,2,1,5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ca-O-Si,0.0169395156388691,-3.4255247735,4.619100000000001,4,Triclinic,1,P1,oxide,,Ca,,,Al,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8870034061371408,"[4.0, 6.0]","[4.0, 6.0]"
