material_id,chem_formula,R$_0$,B,As_chemenv,num_As_chemenvs,As_wyckoff,num_As_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_As_sites,num_CN_env,num_charge_states,AsX_coordn,AsO_coordn,mean_coordn_As-X,min_coordn_As-X,max_coordn_As-X,mean_coordn_As-O,min_coordn_As-O,max_coordn_As-O,mean_As_charge,min_As_charge,max_As_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_AsO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1041525,Mn3Zn3(AsO4)4,1.787283654836275,0.2603565605078035,Tetrahedron,1,4e,1,"[0.18264540973592402, 0.277090378953795]",0.0,0.22986789434485952,A3B3C4D16,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",1.7306936960190646,GGA_U,As-Mn-O-Zn,0.037696598173087,-1.8186721655305051,1.3288,4,Monoclinic,2/m,P2_1/c,oxide,None,None,"Mn, Zn",None,None,As,O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1041600,Mg3Fe3(AsO4)4,1.795439182589059,0.3207140023759584,Tetrahedron,1,4e,1,"[0.25840556420431304, 0.236173421715472]",0.0,0.24728949295989253,A3B3C4D16,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",1.7257329208310186,GGA_U,As-Fe-Mg-O,0.03485096241453,-2.035919061730769,2.0922,4,Monoclinic,2/m,P2_1/c,oxide,None,Mg,Fe,None,None,As,O,F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1041706,Zn3Fe3(AsO4)4,1.788435351413333,0.271306015136063,Tetrahedron,1,4e,1,"[0.22888798925959702, 0.29208857190034404]",0.0,0.26048828057997053,A3B3C4D16,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Transition Metals",1.7294676779433868,GGA_U,As-Fe-O-Zn,0.034537037628210004,-1.696918182115384,1.6552,4,Monoclinic,2/m,P2_1/c,oxide,None,None,"Fe, Zn",None,None,As,O,F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1042399,MgCuAs2O7,1.7831703480614132,0.26143306015014095,Tetrahedron,1,4e,1,"[0.22436702276824702, 0.39819669337207403]",0.0,0.3112818580701605,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",1.7269571448080558,GGA,As-Cu-Mg-O,0.014152689393934001,-1.8060128827272721,0.043899999999999,4,Monoclinic,2/m,P2_1/c,oxide,None,Mg,Cu,None,None,As,"C, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1042425,ZnCuAs2O7,1.7866959180749429,0.26104009457969346,Tetrahedron,1,4e,1,"[0.187732775137525, 0.44265111891796205]",0.0,0.31519194702774356,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",1.7305644277219074,GGA,As-Cu-O-Zn,0.030126943314395003,-1.524946605681818,0.029200000000000004,4,Monoclinic,2/m,P2_1/c,oxide,None,None,"Cu, Zn",None,None,As,"C, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1042722,MgCoAs2O7,1.7893753113653752,0.291054765060039,Tetrahedron,1,4e,1,"[0.21100321051650803, 0.46992456173191904]",0.0,0.3404638861242135,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",1.7267903897487193,GGA_U,As-Co-Mg-O,0.013756844848506,-1.923150231136364,2.0853,4,Monoclinic,2/m,P2_1/c,oxide,None,Mg,Co,None,None,As,"C, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1042739,CaCoAs2O7,1.7977637703332423,0.32394598904943983,Tetrahedron,1,4e,1,"[0.25359062345827, 0.521459034533684]",0.0,0.387524828995977,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",1.727936313029339,GGA_U,As-Ca-Co-O,0.015355575487017001,-2.044447314318182,2.2492,4,Monoclinic,2/m,P2_1/c,oxide,None,Ca,Co,None,None,As,"C, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1042773,MgMnAs2O7,1.7939680597973866,0.3163214396602083,Tetrahedron,1,4e,1,"[0.20985357692232, 0.470634532858325]",0.0,0.3402440548903225,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",1.7259537593009329,GGA_U,As-Mg-Mn-O,0.01831349924242,-2.083152737311912,1.4717,4,Monoclinic,2/m,P2_1/c,oxide,None,Mg,Mn,None,None,As,O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1042775,ZnCoAs2O7,1.7863276612748684,0.26295527941555086,no_data,1,no_data,1,no_data,0.0,no_data,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",1.7297849396363314,GGA_U,As-Co-O-Zn,0.033840265984871006,-1.6329826236363632,1.4904,4,Monoclinic,2/m,P2_1/c,oxide,None,None,"Co, Zn",None,None,As,"C, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1042777,CaMnAs2O7,1.7981429742842028,0.33415779258687894,Tetrahedron,1,4e,1,"[0.203996748780454, 0.46986136590230904]",0.0,0.3369290573413815,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",1.7262911577919362,GGA_U,As-Ca-Mn-O,0.006809404045442001,-2.201135154584639,1.5963,4,Monoclinic,2/m,P2_1/c,oxide,None,Ca,Mn,None,None,As,"C, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1042795,ZnNiAs2O7,1.745532393911977,0.21259630311193245,Tetrahedron,1,4e,1,"[0.23299944374639703, 0.402793816838515]",0.0,0.317896630292456,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",1.6998199816118236,r2SCAN,As-Ni-O-Zn,0.027082032954542003,-1.629026573636363,2.065699999999999,4,Monoclinic,2/m,P2_1/c,oxide,None,None,"Ni, Zn",None,None,As,"N, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1042806,MnZnAs2O7,1.7934938533759315,0.3032819422639506,Tetrahedron,1,4e,1,"[0.194392515726752, 0.5126787660588751]",0.0,0.35353564089281353,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",1.7282822316983175,GGA_U,As-Mn-O-Zn,0.029249882424236002,-1.802132167766457,0.9525999999999991,4,Monoclinic,2/m,P2_1/c,oxide,None,None,"Mn, Zn",None,None,As,O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1042809,MgFeAs2O7,1.7867687357919386,0.2919820034735906,Tetrahedron,1,4e,1,"[0.17678066210825902, 0.398814649767789]",0.0,0.28779765593802403,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",1.7239853678378965,GGA_U,As-Fe-Mg-O,0.006600408409066,-1.9848618138636351,1.911499999999999,4,Monoclinic,2/m,P2_1/c,oxide,None,Mg,Fe,None,None,As,O,F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1042817,MgNiAs2O7,1.786415616899945,0.2896164115222991,Tetrahedron,1,4e,1,"[0.21073984443415603, 0.45973541997743905]",0.0,0.33523763220579755,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",1.7241426873087802,GGA_U,As-Mg-Ni-O,0.015062525909084001,-1.911130267045453,2.642299999999999,4,Monoclinic,2/m,P2_1/c,oxide,None,Mg,Ni,None,None,As,"N, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1042820,ZnFeAs2O7,1.7440748736775116,0.2034959270001874,Tetrahedron,1,4e,1,"[0.24328508957308903, 0.358982147642645]",0.0,0.301133618607867,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Transition Metals",1.7003187271019278,r2SCAN,As-Fe-O-Zn,0.018400468409077,-1.702977567500001,1.3387,4,Monoclinic,2/m,P2_1/c,oxide,None,None,"Fe, Zn",None,None,As,O,F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1042824,CaFeAs2O7,1.7948503025303382,0.3162403135379259,Tetrahedron,1,4e,1,"[0.21089277185065702, 0.44175557446532604]",0.0,0.32632417315799156,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",1.7268511551381516,GGA_U,As-Ca-Fe-O,0.008607240743795,-2.103659425909091,2.085499999999999,4,Monoclinic,2/m,P2_1/c,oxide,None,Ca,Fe,None,None,As,"C, O",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1042887,CaNiAs2O7,1.7975242026325637,0.3212983872362732,Tetrahedron,1,4e,1,"[0.24177843950412703, 0.594103187056312]",0.0,0.41794081328021954,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",1.7282693600610113,GGA_U,As-Ca-Ni-O,0.020264686515149,-2.030143152727272,2.7064,4,Monoclinic,2/m,P2_1/c,oxide,None,Ca,Ni,None,None,As,"C, N, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1047769,Mg3Mn3(AsO4)4,1.7922454898503222,0.3072063205152359,Tetrahedron,1,4e,1,"[0.191714749559661, 0.224363264388506]",0.0,0.2080390069740835,A3B3C4D16,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",1.7254743999310254,GGA_U,As-Mg-Mn-O,0.030331750961539002,-2.15936257591512,1.9047,4,Monoclinic,2/m,P2_1/c,oxide,None,Mg,Mn,None,None,As,O,None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1047787,Zn3Co3(AsO4)4,1.7951605498392809,0.2881987122681751,Tetrahedron,1,4e,1,"[0.27496070747975504, 0.36766874963282997]",0.0,0.3213147285562925,A3B3C4D16,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",1.73252072669681,GGA_U,As-Co-O-Zn,0.037194698653874,-1.6249671267307702,1.8437000000000001,4,Monoclinic,2/m,P2_1/c,oxide,None,None,"Co, Zn",None,None,As,"C, O",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
