material_id,chem_formula,R$_0$,B,Au_chemenv,num_Au_chemenvs,Au_wyckoff,num_Au_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Au_sites,num_CN_env,num_charge_states,AuX_coordn,AuO_coordn,mean_coordn_Au-X,min_coordn_Au-X,max_coordn_Au-X,mean_coordn_Au-O,min_coordn_Au-O,max_coordn_Au-O,mean_Au_charge,min_Au_charge,max_Au_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_AuO_BondL
mp-10559,Gd3AuO6,2.391872844658919,-1.3178292808354333,Square plane,1,1a,1,[0.091718363301376],0.0,0.091718363301376,AB3C6,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Au-Gd-O,0.0,-2.927915637999996,1.5063,3,Triclinic,-1,P-1,oxide,,,Au,,,,O,,,Gd,,B < -1,Negative B,2.012714570763765
mp-10560,Sm3AuO6,2.4445122611699555,-1.4975539160743012,Square plane,1,1a,1,[0.072432567215006],0.0,0.072432567215006,AB3C6,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Au-O-Sm,0.0,-3.077528223500002,1.7477,3,Triclinic,-1,P-1,oxide,,,Au,,,,"O, S",,,Sm,,B < -1,Negative B,2.0136435083655364
mp-1105366,KAu(IO3)4,2.0297788354791635,-0.0337402266372792,Square plane,1,1b,1,[0.087398330301255],0.0,0.087398330301255,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-I-K-O,0.003541086666666,-0.912774562625,2.117199999999999,4,Monoclinic,2,C2,iodate,K,,Au,,,,O,I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0186766608656823
mp-1105750,LiAu(S2O7)2,2.038077901095836,-0.0202903677259646,Square plane,1,1h,1,[0.01896919773257],0.0,0.01896919773257,ABC4D14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Au-Li-O-S,0.0,-1.643870422166666,1.983299999999999,4,Triclinic,-1,P-1,oxide,Li,,Au,,,,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0322351960208547
mp-1105854,CsAu(IO3)4,2.0405856099955915,-0.0620724761461484,Square plane,1,1b,1,[0.090761439315336],0.0,0.090761439315336,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cs-I-O,0.007184388888889,-0.9105916060919532,2.0493,4,Monoclinic,2,C2,iodate,Cs,,Au,,,,"C, O",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0216254334863613
mp-1188141,RbAu(IO3)4,2.0361189400823068,-0.0545552367360983,Square plane,1,1b,1,[0.097121362016629],0.0,0.097121362016629,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-I-O-Rb,0.0,-0.913650205972222,2.1073,4,Monoclinic,2,C2,iodate,Rb,,Au,,,,O,I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0194553205786194
mp-1188818,NaAu(IO3)4,2.013858054610048,-0.0081098649325313,Square plane,1,1a,1,[0.12860627169138902],0.0,0.128606271691389,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-I-Na-O,0.005154522777777,-0.483145271388887,2.104199999999999,4,Triclinic,1,P1,iodate,Na,,Au,,,,"N, O",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.011522114917569
mp-1194889,MgAu2(SO4)4,1.9825532951480416,0.1769894689232891,Square plane,1,4b,1,[0.24490030342284702],0.0,0.244900303422847,AB2C4D16,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Au-Mg-O-S,0.0,-1.654153142826087,1.7625000000000002,4,Orthorhombic,mm2,Fdd2,sulfate,,Mg,Au,,,,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.033862011250986
mp-1195201,K2Au(IO3)5,2.0243524783287823,0.0107548104354687,Square plane,1,2a,1,[0.064141704390972],0.0,0.064141704390972,AB2C5D15,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-I-K-O,0.0,-1.03311708823913,1.9927,4,Orthorhombic,mm2,Cmc2_1,iodate,K,,Au,,,,O,I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0266648877617897
mp-1198003,NaAu(S2O7)2,2.06375924837634,-0.0849701139014438,Square plane,1,2a,1,[0.0013892230021300001],0.0,0.00138922300213,ABC4D14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Au-Na-O-S,0.0,-1.644728504068964,1.789499999999999,4,Monoclinic,2/m,P2_1/c,oxide,Na,,Au,,,,"N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.039286727710481
mp-1200560,CsAu(IO3)4,2.0202831886757666,0.0189406419589447,Square plane,1,2i,1,[0.5980899741474961],0.0,0.5980899741474961,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cs-I-O,0.0,-0.9177759949808432,1.934499999999999,4,Triclinic,-1,P-1,iodate,Cs,,Au,,,,"C, O",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.026159686015265
