material_id,chem_formula,R$_0$,B,B_chemenv,num_B_chemenvs,B_wyckoff,num_B_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_B_sites,num_CN_env,num_charge_states,mean_coordn_B-X,min_coordn_B-X,max_coordn_B-X,mean_coordn_B-O,min_coordn_B-O,max_coordn_B-O,mean_B_charge,min_B_charge,max_B_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_BO_BondL,BX_coordn,BO_coordn
mp-10080,PrGeBO5,1.399002790806443,0.2695548536260598,Tetrahedron,1,3a,1,[0.2912073065461631],0.0,0.2912073065461631,ABCD5,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",SCAN,B-Ge-O-Pr,0.0056120415625002,-2.954505501666667,4.0149,4,Trigonal,3,P3_1,oxide,,,,,,"B, Ge","O, P",,,Pr,,"B $\in$ [0.1, 0.5]",Positive B,1.476755737774548,[4.0],[4.0]
mp-1019509,B2S2O9,1.378611289438328,0.3128296785519984,Tetrahedron,1,2c,1,[0.1659283075432183],0.0,0.1659283075432183,A2B2C9,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals",R2SCAN,B-O-S,0.0,-2.0856794823717952,6.6956,3,Monoclinic,2,C2,oxide,,,,,,B,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.4737415872289574,[4.0],[4.0]
mp-1019518,Ba2CaSi4(BO7)2,2.3282669085457104,-2.9130567725111285,"Square-face capped square prism, Tetrahedron",2,"4g, 4i",2,"[2.2661309311450015, 0.040919976988750384]",0.0,1.153525454066876,AB2C2D4E14,2,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Ba-Ca-O-Si,0.0,-3.309788640144927,4.8764,5,Tetragonal,-42m,I-42m,oxide,,"Ca, Ba",,,,"B, Si","C, O, S",,,,,B < -1,Negative B,1.4902238759446411,[4.0],[4.0]
mp-1019522,Ba2B10O17,1.3835352136642007,0.3184125596333006,"Bicapped square prism (adjacent faces), Diminished icosahedron, Trigonal plane, Tetrahedron",4,2i,1,"[4.187542764108077, 9.534024100766016, 0.07423189361856776, 0.18264091056751156, 0.06697340811420921, 0.12076043382735091, 0.10340997562092592, 0.08179633212844922, 0.04377429997969873, 0.07192224417615205, 0.09477650091687616, 0.1506575839691798]",0.083,1.2260425373160844,A2B10C17,4,2,1,3.5,3.0,4.0,3.5,3.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Ba-O,0.0021536630387437,-2.988316399109195,5.6719,3,Triclinic,-1,P-1,oxide,,Ba,,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.4277357362682512,"[3.0, 4.0]","[3.0, 4.0]"
mp-1019526,Ba3Si2(B3O8)2,1.3894511744017424,0.3423993533470842,"Hendecahedron, Tetrahedron, Trigonal plane, Bicapped octahedron (opposed cap faces)",4,"2i, 1f",2,"[3.6304067587183004, 7.7124313210665765, 0.09692492932064825, 0.046455556537162705, 0.09203281559800748]",0.2,2.3156502762481392,A2B3C6D16,4,2,1,3.5,3.0,4.0,3.5,3.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Ba-O-Si,0.0,-3.1493520072222214,5.4031,4,Triclinic,-1,P-1,oxide,,Ba,,,,"B, Si","O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.4619397830555214,"[3.0, 4.0]","[3.0, 4.0]"
mp-1019527,Ba3Y2(B2O5)3,1.3845307242958422,0.3954057269951265,"Trigonal plane, Tricapped triangular prism (one square-face cap and two triangular-face caps)",2,"12d, 24e",2,"[6.492153352267263, 0.03893493038354114]",0.5,3.2655441413254023,A2B3C6D15,2,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,B-Ba-O-Y,0.0,-3.287620026153846,4.525,4,Cubic,m-3,Ia-3,diborate,,Ba,Y,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3849802301642424,[3.0],[3.0]
mp-1019528,Ba2Mg(BO2)6,1.386475493174771,0.5412862144604201,"Triangular cupola, Trigonal plane",2,"2c, 6f",2,"[2.605599191711239, 0.052181111331235444]",0.0,1.3288901515212372,AB2C6D12,2,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Ba-Mg-O,0.0062119546131,-3.049567436666667,4.9106000000000005,4,Trigonal,-3,R-3,metaborate,,"Mg, Ba",,,,B,O,,,,,"B $\in$ [0.5, 1]",Positive B,1.3863075964416511,[3.0],[3.0]
mp-1019529,Ba8Al10B12O41,1.3863098780050342,0.2194198075768718,"Tricapped octahedron (cap faces are aligned), Trigonal plane, Square-face bicapped square antiprism, Square-face monocapped antiprism",4,2i,1,"[6.76746621045642, 5.767174990345579, 3.0829934853372474, 3.047140342937005, 0.03951728787397661, 0.05864014504318376, 0.019716248137620723, 0.007867971512245265, 0.06584755852337607, 0.04652740566501062]",0.2,1.8902891645831665,A8B10C12D41,4,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-B-Ba-O,0.0,-3.2454768857394374,4.4373,4,Triclinic,-1,P-1,oxide,,Ba,,,Al,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3865603203520993,[3.0],[3.0]
mp-1019539,BaB2S3O13,1.404959284279138,0.2667179472484327,"Tetrahedron, Square-face bicapped square antiprism",2,"4c, 8d",2,"[2.806902843350439, 0.16692463424979145]",0.0,1.4869137388001152,AB2C3D13,2,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Ba-O-S,0.0,-2.312348706754386,6.181,4,Orthorhombic,mmm,Pnma,oxide,,Ba,,,,B,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.484381986784491,[4.0],[4.0]
mp-1019542,BaCaB2O5,1.392028914229881,0.4496941076277623,"Trigonal plane, Face-capped octahedron, Tricapped octahedron (all 3 cap faces share one atom)",3,4e,1,"[5.768029103124737, 6.800682420146667, 0.030758420706702684, 0.09008542838026513, 0.0524875019733638, 0.12615561949686827]",0.333,2.144699748971434,ABC2D5,3,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Ba-Ca-O,0.0,-3.2045876664814816,4.4673,4,Monoclinic,2/m,P2_1/c,diborate,,"Ca, Ba",,,,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.393801360373894,[3.0],[3.0]
mp-1019554,BaNaB5O9,1.3783492762188383,0.3743994657610542,"Hexagonal bipyramid, Tetrahedron, Trigonal plane",3,4e,1,"[4.278861218232201, 0.07576778137757843, 0.05277774150986419, 0.0416562737091007, 0.09045943704990926, 0.03955076503080697]",0.0,0.7631788694849101,ABC5D9,3,2,1,3.5,3.0,4.0,3.5,3.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Ba-Na-O,0.0,-2.93420004904454,5.0076,4,Monoclinic,2/m,P2_1/c,oxide,Na,Ba,,,,B,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.43061359294053,"[3.0, 4.0]","[3.0, 4.0]"
mp-1019555,BaNaLi3(BO2)6,1.3836358975105754,0.3710442763806498,"Tridiminished icosahedron, Tetrahedron, Trigonal plane",3,"2c, 6f",2,"[4.512131256763737, 0.017804603234680815, 0.12292527458946965]",0.0,1.5509537115292957,ABC3D6E12,3,2,1,3.5,3.0,4.0,3.5,3.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Ba-Li-Na-O,0.0,-2.842712531581708,5.2185,5,Trigonal,-3,R-3,metaborate,"Li, Na",Ba,,,,B,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.4432339148304567,"[3.0, 4.0]","[3.0, 4.0]"
mp-1019559,Ca2B2O5,1.3786756785919168,0.4588279972064253,Trigonal plane,1,4e,1,"[0.1379820482904767, 0.032429269518803455]",0.0,0.08520565890464007,A2B2C5,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",R2SCAN,B-Ca-O,5.94522222208127e-05,-3.0785815947222224,4.6781,3,Monoclinic,2/m,P2_1/c,diborate,,Ca,,,,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3795390200159516,[3.0],[3.0]
mp-1019560,Ca2B2O5,1.3784775148222457,0.4593271096903854,Trigonal plane,1,4a,1,"[0.1371142508708206, 0.03343996336221645]",0.0,0.08527710711651852,A2B2C5,1,1,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",R2SCAN,B-Ca-O,0.0,-3.0786410469444445,4.7075000000000005,3,Orthorhombic,222,P2_12_12_1,diborate,,Ca,,,,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.3793393901277513,[3.0],[3.0]
