material_id,chem_formula,R$_0$,B,Be_chemenv,num_Be_chemenvs,Be_wyckoff,num_Be_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Be_sites,num_CN_env,num_charge_states,BeX_coordn,BeO_coordn,mean_coordn_Be-X,min_coordn_Be-X,max_coordn_Be-X,mean_coordn_Be-O,min_coordn_Be-O,max_coordn_Be-O,mean_Be_charge,min_Be_charge,max_Be_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_BeO_BondL
mp-1019808,KBe2B3O7,1.512034930664237,0.2000379206418527,Tetrahedron,1,2a,1,"[0.19620139281749102, 0.14002874437624901, 0.045081407682047006, 0.140674873394282, 0.076858027758606, 0.057091348021457]",0.0,0.10932263234168867,AB2C3D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Be-K-O,0.00492947658118,-2.897050703057692,5.0187,4,Monoclinic,2,P2_1,triborate,K,Be,,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6513499390153104
mp-1019809,KBe2B3O7,1.4612456009368848,0.267418834513708,Tetrahedron,1,4b,1,"[0.13199512677240602, 0.048035665479262]",0.0,0.09001539612583401,AB2C3D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Be-K-O,0.010276160235027,-2.891704019403846,5.1446,4,Orthorhombic,mm2,Pmn2_1,triborate,K,Be,,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.645615704390016
mp-1020026,LiBeBO3,1.3126405100372642,0.4990682561332317,Tetrahedron,1,2i,1,[0.7129341542187151],0.0,0.7129341542187151,ABCD3,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Be-Li-O,0.013394735416661,-2.85832689125,6.0842,4,Triclinic,-1,P-1,orthoborate,Li,Be,,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6510796477432574
mp-1020144,Na2Be4B4O11,1.4142036373587754,0.3355601934706622,Tetrahedron,1,1a,1,"[0.049313133674739, 0.08486391526261, 0.14002901016135802, 0.020556163613569, 0.032196404608603, 0.025282793323666, 0.048785549247917004, 0.037420638902684, 0.036661237825279004, 0.043769478237344006, 0.08591522860250901, 0.17876689209516403, 0.039834248315698005, 0.12860873122403002, 0.12265347453412401, 0.12007836528672201, 0.020918389263477003, 0.07335301844522, 0.1309361718166, 0.034657038743161006, 0.12833365381352302, 0.09011409348951101, 0.09081724999801101, 0.068780954960177, 0.070279738342564, 0.044953961070169, 0.19972125655692602, 0.143203490209411, 0.171634933231742, 0.053558173111223004, 0.097465191049333, 0.037707698553975]",0.0,0.08284907117409497,A2B4C4D11,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Be-Na-O,0.001796879523819,-2.877880012829775,5.170599999999999,4,Triclinic,1,P1,oxide,Na,Be,,,,B,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.647670404918271
mp-1020606,SrBe2(PO4)2,1.5203346352783127,0.165871408417024,Tetrahedron,1,4e,1,"[0.210932944141028, 0.06944708037012101]",0.0,0.1401900122555745,AB2C2D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Be-O-P-Sr,0.0,-3.136603073598899,5.9252,4,Monoclinic,2/m,P2_1/c,phosphate,,"Be, Sr",,,,B,"O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6361024809431202
mp-1020621,RbBe2B3O7,1.3634275015979538,0.4160488487229589,Tetrahedron,1,4b,1,"[0.11154836348017301, 0.040552753056870006]",0.0,0.0760505582685215,AB2C3D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Be-O-Rb,0.014265438835462,-2.890801567499999,5.0674,4,Orthorhombic,mm2,Pmn2_1,triborate,Rb,Be,,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6500379374343352
mp-1020624,NaBe(BO2)3,1.3316164465960214,0.4525128792374997,Tetrahedron,1,4a,1,[0.085428858380617],0.0,0.085428858380617,ABC3D6,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Be-Na-O,0.001195700530318,-2.841275167170846,5.5885,4,Orthorhombic,mm2,Pna2_1,metaborate,Na,Be,,,,B,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6466276537192575
mp-1020637,Sr3BeB6O13,0.8807061168934419,1.0983601766369882,Tetrahedron,1,4c,1,[0.6454227807462051],0.0,0.6454227807462051,AB3C6D13,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Be-O-Sr,0.0,-3.130190325217392,5.0139,4,Orthorhombic,mmm,Pnma,oxide,,"Be, Sr",,,,B,"O, S",,,,,B > 1,Positive B,1.6443488902902843
mp-1020647,Sr2LiBeB3O8,1.6225449623175692,0.0114051859560064,Tetrahedron,1,4e,1,[0.12792426323636402],0.0,0.12792426323636402,ABC2D3E8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",r2SCAN,B-Be-Li-O-Sr,0.0,-3.085197766055584,4.9369,5,Monoclinic,2/m,P2_1/c,oxide,Li,"Be, Sr",,,,B,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.6304992712380826
mp-1020654,SrBeB2O5,0.9389568905423026,1.011112924575308,Tetrahedron,1,4e,1,[0.27342148790867704],0.0,0.27342148790867704,ABC2D5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Be-O-Sr,0.0,-3.126296300092594,5.681,4,Monoclinic,2/m,P2_1/c,diborate,,"Be, Sr",,,,B,"O, S",,,,,B > 1,Positive B,1.6388987695093558
