material_id,chem_formula,R$_0$,B,Bi_chemenv,num_Bi_chemenvs,Bi_wyckoff,num_Bi_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Bi_sites,num_CN_env,num_charge_states,BiX_coordn,BiO_coordn,mean_coordn_Bi-X,min_coordn_Bi-X,max_coordn_Bi-X,mean_coordn_Bi-O,min_coordn_Bi-O,max_coordn_Bi-O,mean_Bi_charge,min_Bi_charge,max_Bi_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_BiO_BondL
mp-1039698,NaMg30BiO32,1.6944599553619022,0.8457794175051344,Octahedron,1,1b,1,[0.019646098968038],0.0,0.019646098968038,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Mg-Na-O,0.049202765234375,-2.906428522365301,3.0444,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,,,Bi,B,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.28131874709
mp-1039742,NaMg30BiO32,1.7745793214415837,0.7433882648248508,Octahedron,1,1c,1,[0.0008272586496160001],0.0,0.0008272586496160001,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Mg-Na-O,0.045958278515625,-2.909673009084051,3.4241,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,,,Bi,B,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.289888033052005
mp-1040014,LiMg30BiO32,2.248809745258689,0.0619330336199429,Octahedron,1,1b,1,[0.000105863117504],0.0,0.000105863117504,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Li-Mg-O,0.036200101445312,-2.9273437827083333,3.282199999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,,,Bi,B,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.291788583894
mp-1040443,KBaBiTeO6,1.7635455122905686,0.8310946165623921,Octahedron,1,2e,1,[0.250590541154307],0.0,0.250590541154307,ABCDE6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Ba-Bi-K-O-Te,0.0,-2.074538539391667,1.561499999999999,5,Monoclinic,2/m,P2_1/m,oxide,K,Ba,,,Bi,"B, Te",O,,,,,"B $\in$ [0.5, 1]",Positive B,2.3400444450146254
mp-1041365,MgBi4O9,1.8477101552124888,1.0367443008935069,"Square-face capped trigonal prism, Octahedron",2,4g,1,"[5.120517484335312, 1.864418331023935]",0.5,3.4924679076796235,AB4C9,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Mg-O,0.048421895595245,-1.647599028214287,1.104299999999999,3,Monoclinic,2/m,P2/c,oxide,,Mg,,,Bi,B,O,,,,,B > 1,Positive B,2.333839557881288
mp-1041411,CaBi4O9,1.9737708751848368,0.7235601643705513,"Square-face capped trigonal prism, Octahedron",2,4g,1,"[3.82958414192451, 7.292683410655408]",0.5,5.561133776289958,AB4C9,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",r2SCAN,Bi-Ca-O,0.001056999910713,-1.754465680000001,0.7755000000000001,3,Monoclinic,2/m,P2/c,oxide,,Ca,,,Bi,B,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.302184457867583
mp-1041757,YBi(WO4)2,2.180704097221148,0.264977835601444,Square antiprism,1,2f,1,[2.532748164442966],0.0,2.532748164442966,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Bi-O-W-Y,0.018504666562503,-2.453547619166666,1.7894,4,Monoclinic,2/m,P2/c,oxide,,,"Y, W",,Bi,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.372122105332492
mp-1042216,Ca(BiO2)2,1.8415209973689788,1.080925803171623,Octahedron,1,2i,1,"[4.711310178601329, 11.29495056867655]",0.5,8.003130373638939,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Ca-O,0.022470118214282,-2.117787057142857,1.7595,3,Monoclinic,2/m,C2/m,oxide,,Ca,,,Bi,B,"C, O",,,,,B > 1,Positive B,2.4721779750308266
mp-1042238,Mg(BiO2)2,1.9087813875598945,0.93400403811802,Octahedron,1,2i,1,"[7.358499559993213, 9.230614031784619]",1.0,8.294556795888916,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Mg-O,0.046655365000002,-1.994095265714285,2.0669,3,Monoclinic,2/m,C2/m,oxide,,Mg,,,Bi,B,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.443967302046144
mp-1042362,ZnBi2O5,2.222197785299838,0.2070117837191398,"Pentagonal bipyramid, Octahedron",2,8c,1,"[2.553428092352024, 4.007394080672264]",0.0,3.280411086512144,AB2C5,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Bi-O-Zn,0.029389191562501,-1.225134574062501,0.228899999999999,3,Orthorhombic,mmm,Pbca,oxide,,,Zn,,Bi,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.2996556824303256
mp-1042364,CaTaBiO5,2.0055449138241306,0.6419821967111827,Square pyramid,1,8c,1,[2.1558487696701],0.0,2.1558487696701,ABCD5,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Bi-Ca-O-Ta,0.027501507916666,-2.894228631229166,3.5935,4,Orthorhombic,mmm,Pbca,oxide,,Ca,Ta,,Bi,B,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.3046828577336638
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,Octahedron,1,8c,1,"[5.635601729682844, 3.969651597662101]",0.5,4.802626663672473,AB2C5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Ca-O,0.0,-1.9773415948437512,0.0504,3,Orthorhombic,mmm,Pbca,oxide,,Ca,,,Bi,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.307873789879883
mp-1042428,MgBi2O5,2.301556011268722,-0.007915747133829,Octahedron,1,8c,1,"[3.384885440577011, 4.605196147444417]",0.0,3.995040794010714,AB2C5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Mg-O,0.028604813645844,-1.835202140937501,0.433899999999999,3,Orthorhombic,mmm,Pbca,oxide,,Mg,,,Bi,B,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.287311355633774
mp-1042669,CaCrBiO5,2.0773761777243664,0.4935023843948002,Square pyramid,1,8c,1,[2.440586953325942],0.0,2.440586953325942,ABCD5,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Bi-Ca-Cr-O,0.028953714114588,-2.238009946718751,0.9903,4,Orthorhombic,mmm,Pbca,oxide,,Ca,Cr,,Bi,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.3012154000968588
mp-1043781,CaTaBiO5,1.7667941307342587,0.997285754150026,Octahedron,1,4e,1,[8.346914264248722],1.0,8.346914264248722,ABCD5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Bi-Ca-O-Ta,0.042774576666666,-2.878955562479166,3.8514,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,Ta,,Bi,B,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.439470654775322
mp-1044166,MgCrBiO5,1.748766626206982,0.954541964950606,Octahedron,1,4e,1,[8.84117199728127],1.0,8.84117199728127,ABCD5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Bi-Cr-Mg-O,0.044626559895833,-2.08948384375,0.7631999999999991,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Cr,,Bi,B,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.402087735144525
mp-1044197,VZnBiO5,1.7788596107007617,0.9192076453687882,Octahedron,1,4e,1,[9.008395093294725],1.0,9.008395093294725,ABCD5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Bi-O-V-Zn,0.024913534374997,-2.038393132499999,2.9983,4,Monoclinic,2/m,P2_1/c,oxide,,,"V, Zn",,Bi,B,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.4060388476410632
