material_id,chem_formula,R$_0$,B,Cd_chemenv,num_Cd_chemenvs,Cd_wyckoff,num_Cd_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Cd_sites,num_CN_env,num_charge_states,CdX_coordn,CdO_coordn,mean_coordn_Cd-X,min_coordn_Cd-X,max_coordn_Cd-X,mean_coordn_Cd-O,min_coordn_Cd-O,max_coordn_Cd-O,mean_Cd_charge,min_Cd_charge,max_Cd_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CdO_BondL
mp-1006058,UCd2O5,2.2213744224715417,0.0695676293507447,Square-face capped trigonal prism,1,4f,1,[5.839331985565174],1.0,5.839331985565174,AB2C5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Actinides, Nonmetals, Transition Metals",GGA,Cd-O-U,0.020825362499998,-2.500243828124999,2.0853,3,Monoclinic,2/m,C2/c,oxide,,,Cd,,,,"C, O",,,,U,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.2578759910849957
mp-1102318,LiCdBO3,0.2816359149654046,2.3362119030480923,Trigonal bipyramid,1,2i,1,[0.9463475961851431],0.0,0.9463475961851431,ABCD3,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,B-Cd-Li-O,0.000332748333334,-2.3036676079166662,2.4534,4,Triclinic,-1,P-1,orthoborate,Li,,Cd,,,B,"C, O",,,,,B > 1,Positive B,2.3272110853659824
mp-1173705,NaCdIn2(PO4)3,2.348436274436187,-0.0036163024294853,Trigonal prism,1,2e,1,[4.896092727936119],0.0,4.896092727936119,ABC2D3E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Cd-In-Na-O-P,0.0,-2.458226465981116,3.0268,5,Monoclinic,2/m,C2/c,phosphate,Na,,Cd,,In,,"C, N, O, P",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3444414574410266
mp-1173728,Na2MnCdFe(PO4)3,2.089634331973876,0.238794954025439,"Octahedron, Dodecahedron with triangular faces - p2345 plane normalized",2,"1b, 1a",2,"[4.805565724013125, 3.784955649663172]",0.0,4.295260686838148,ABCD2E3F12,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Cd-Fe-Mn-Na-O-P,0.003418610249999,-2.442200649480912,1.2365,6,Monoclinic,2,C2,phosphate,Na,,"Mn, Fe, Cd",,,,"C, N, O, P",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.353529158628293
mp-1173819,Na3Cd4P6H10(ClO8)3,2.169413078098494,0.1325916631980117,Octahedron,1,1a,1,"[1.444404297721234, 1.364283928078323, 1.448538461666569, 1.355245172710481]",0.0,1.4031179650441516,A3B3C4D6E10F24,1,1,1,[6.0],[4.0],6.0,6.0,6.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2,2,"Cl-, O2-","Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Cd-Cl-H-Na-O-P,0.0,-2.0604439074899,3.7344,6,Monoclinic,m,Cm,hypochlorite,Na,,Cd,,,,"H, C, N, O, P",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,2.3097675621675924
mp-1173827,NaCdFe(PO4)2,1.9276310381277504,0.365086864166431,"Octahedron, Pentagonal bipyramid, Trigonal prism",3,1a,1,"[4.633974848046606, 4.8808191338076155, 1.643422792304476, 3.8163900436413902, 3.173857834122199, 2.494467101655839]",0.0,3.440488625596354,ABCD2E8,3,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Cd-Fe-Na-O-P,0.004876535491447,-2.368088862358848,1.8944,5,Triclinic,1,P1,phosphate,Na,,"Fe, Cd",,,,"C, N, O, P",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.3313794671146133
mp-1181899,Cd(BrO2)2,2.252390078815691,0.1012572425887422,Octahedron,1,2c,1,[2.03046231664447],0.0,2.03046231664447,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Transition Metals",GGA,Br-Cd-O,0.014056488928572,-0.438427729642855,1.316599999999999,3,Monoclinic,2/m,P2_1/c,bromite,,,Cd,,,B,"C, O",Br,,,,"B $\in$ [0.1, 0.5]",Positive B,2.358359994407859
mp-1183876,CdHg2SeO6,2.374300264371281,-0.0030092967325168,Octahedron,1,2i,1,[2.555806830076922],0.0,2.555806830076922,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Cd-Hg-O-Se,0.017101982999999,-1.053374710234376,0.999,4,Triclinic,-1,P-1,oxide,,,"Cd, Hg",,,,"H, C, O, S, Se",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3768395314158353
mp-1188876,Sr2UCdO6,2.476797194681844,-0.1151915191206609,Octahedron,1,2b,1,[0.23841231423932402],0.0,0.23841231423932402,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Actinides, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Cd-O-Sr-U,0.010074257500007,-3.150806093499999,1.964299999999999,4,Monoclinic,2/m,P2_1/c,oxide,,Sr,Cd,,,,"C, O, S",,,,U,"B $\in$ [-1, -0.1]",Negative B,2.349862132022413
mp-1189868,Cd4BiB3O10,1.5718952440989762,0.7183536271299001,"Hexagonal bipyramid, Octahedron",2,2b,1,"[0.8231761857321761, 4.548228592016457]",0.0,2.685702388874317,AB3C4D10,2,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,B-Bi-Cd-O,0.003154455520823,-2.062509063194444,2.2263,4,Monoclinic,m,Cm,oxide,,,Cd,,Bi,B,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.458889133168271
mp-1190335,BaCdAs2O7,1.8973068311991528,0.4545777999139572,Octahedron,1,2i,1,[1.9043603684124082],0.0,1.9043603684124082,ABC2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,As-Ba-Cd-O,0.0,-2.101627822272726,2.5654,4,Triclinic,-1,P-1,oxide,,Ba,Cd,,,"B, As","C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.38214624757179
mp-1190367,SrCdAs2O7,1.8332934857483991,0.4936413661173802,Octahedron,1,2i,1,[2.3923556375548882],0.0,2.3923556375548882,ABC2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,As-Cd-O-Sr,0.0,-2.101297096363635,2.473799999999999,4,Triclinic,-1,P-1,oxide,,Sr,Cd,,,As,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.36350858693682
mp-1190488,Al4CdO7,1.575424176152413,0.7740197665282942,Trigonal bipyramid,1,2e,1,[1.167379980691438],0.0,1.167379980691438,AB4C7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Al-Cd-O,0.018187200833331,-2.982637949166667,3.0642,3,Monoclinic,2/m,C2/c,oxide,,,Cd,,Al,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.2852969009297968
mp-1191189,Cd2Sb2O7,2.0119025490558022,0.3156533841430043,Hexagonal bipyramid,1,4d,1,[2.560104429856968],0.0,2.560104429856968,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",r2SCAN,Cd-O-Sb,0.0,-1.579644951363636,0.3778,3,Cubic,m-3m,Fd-3m,oxide,,,Cd,,,Sb,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.49077845281626
mp-1191962,CdIClO3,2.455877334852381,-0.0582464541071614,Octahedron,1,4e,1,[1.236699708538577],0.0,1.236699708538577,ABCD3,1,1,1,[6.0],[4.0],6.0,6.0,6.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2,2,"Cl-, O2-","Halogens, Nonmetals, Transition Metals",GGA,Cd-Cl-I-O,0.004485965208332,-1.133718695416666,3.3467,4,Orthorhombic,mmm,Cmce,chlorate,,,Cd,,,,"C, O","Cl, I",,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.373942662980434
mp-1192091,Cd3(BO3)2,1.9138959830068625,0.3901076385347614,"Octahedron, Trigonal prism",2,2i,1,"[3.7396045615996982, 2.717063040040296, 5.005585874961329]",0.333,3.8207511588671075,A2B3C6,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",r2SCAN,B-Cd-O,0.005317833181818,-1.912011528636362,1.586999999999999,3,Triclinic,-1,P-1,orthoborate,,,Cd,,,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.313809969195935
mp-1192772,NaCdPO4,1.419718599707405,0.8815927447172156,Octahedron,1,4a,1,[4.540884468607918],0.0,4.540884468607918,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Cd-Na-O-P,0.001432735357142,-2.387331006931738,2.9268,4,Orthorhombic,mm2,Pna2_1,phosphate,Na,,Cd,,,,"C, N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.3489722343377415
