material_id,chem_formula,R$_0$,B,Ce_chemenv,num_Ce_chemenvs,Ce_wyckoff,num_Ce_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ce_sites,num_CN_env,num_charge_states,CeX_coordn,CeO_coordn,mean_coordn_Ce-X,min_coordn_Ce-X,max_coordn_Ce-X,mean_coordn_Ce-O,min_coordn_Ce-O,max_coordn_Ce-O,mean_Ce_charge,min_Ce_charge,max_Ce_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CeO_BondL
mp-1019592,Ce2B8O15,2.0990963678535146,0.492823338562509,Diminished icosahedron,1,4g,1,[4.919708424926834],0.0,4.919708424926834,A2B8C15,1,1,1,[11.0],[11.0],11.0,11.0,11.0,11.0,11.0,11.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,B-Ce-O,0.026812444666663,-2.863640241999999,0.1048,3,Monoclinic,2/m,P2/c,oxide,,,,,,B,"C, O",,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,2.685124877963592
mp-1019597,Ce4B14O27,2.025958675022509,0.5334343765419157,"Tricapped triangular prism (three square-face caps), Bicapped square prism (adjacent faces)",2,4f,1,"[5.270801675900132, 5.552378773718765]",1.0,5.411590224809448,A4B14C27,2,2,1,"[10.0, 8.0]","[10.0, 8.0]",9.0,8.0,10.0,9.0,8.0,10.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,B-Ce-O,0.01845767348148,-2.90900845188889,0.167399999999999,3,Monoclinic,2/m,C2/c,oxide,,,,,,B,"C, O",,,Ce,,"B $\in$ [0.5, 1]",Positive B,2.6100185800836186
mp-1019774,K2CeAl(SiO3)4,1.5851087628211162,1.0784388885805278,Pentagonal bipyramid,1,4f,1,[1.085769113169976],0.0,1.085769113169976,ABC2D4E12,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ce-K-O-Si,0.0,-3.260349144725,0.170799999999999,5,Monoclinic,2/m,C2/c,oxide,K,,,,Al,Si,"C, O, S",,,Ce,,B > 1,Positive B,2.4851695331320096
mp-1039936,NaCeMg30O32,1.777326156805802,0.7080929732438742,Octahedron,1,1a,1,[0.0007681270526100001],0.0,0.0007681270526100001,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Lanthanides, Nonmetals",r2SCAN,Ce-Mg-Na-O,0.049648922994792,-2.9398817178125,0.0,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,,,,,"C, N, O",,,Ce,,"B $\in$ [0.5, 1]",Positive B,2.2681640962972014
mp-1040143,LiCeMg30O32,1.9218807599108807,0.5155224924911741,Octahedron,1,1c,1,[0.00040205761240200003],0.0,0.00040205761240200003,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Lanthanides, Nonmetals",GGA,Ce-Li-Mg-O,0.039853721689452,-3.004077141927083,0.0,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,,,,,"C, O",,,Ce,,"B $\in$ [0.5, 1]",Positive B,2.2792340612059996
mp-1040156,LiCeMg30O32,2.095519429027193,0.2620457230760122,Octahedron,1,1b,1,[0.001893088062355],0.0,0.001893088062355,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Lanthanides, Nonmetals",GGA,Ce-Li-Mg-O,0.041097063251952,-3.002833800364582,0.0,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,,,,,"C, O",,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,2.277344370364665
mp-10772,CeAsO4,1.159163813763193,1.402800396134913,Tricapped triangular prism (two square-face caps and one triangular-face cap),1,4e,1,[4.144377383634257],0.0,4.144377383634257,ABC4,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,As-Ce-O,0.022173940833324,-2.47899688802083,0.084,3,Monoclinic,2/m,P2_1/c,oxide,,,,,,As,"C, O",,,Ce,,B > 1,Positive B,2.5967700743196116
mp-1096905,Ce4Al2O9,2.039036318864848,0.5344124255037854,"Cube, Face-capped octahedron, Octahedron",3,4e,1,"[3.773344914763958, 2.953363187644685, 1.524971055020398, 3.554774860868392]",0.0,2.9516135045743583,A2B4C9,3,3,1,"[6.0, 7.0, 8.0]","[6.0, 7.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",GGA,Al-Ce-O,0.009562755782042,-3.6608190444999993,0.014199999999999,3,Monoclinic,2/m,P2_1/c,oxide,,,,,Al,,"C, O",,,Ce,,"B $\in$ [0.5, 1]",Positive B,2.4973731584990633
mp-1105722,CeTi2O6,1.5780610357099838,1.4105974316300705,Square antiprism,1,2e,1,[2.797109371727371],0.0,2.797109371727371,AB2C6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Ce-O-Ti,0.04928086388889,-3.413205192037038,1.4954,3,Monoclinic,2/m,C2/c,oxide,,,Ti,,,,"C, O",,,Ce,,B > 1,Positive B,2.446096938581568
mp-1173761,Na2CeO3,1.894490018469973,0.953761065512315,Octahedron,1,"4f, 2e",2,"[0.8788495090058631, 0.838884302062267, 0.9512046473428981, 0.8813356992476531]",0.0,0.8875685394146703,AB2C3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Ce-Na-O,0.016128036805552,-2.693771131111114,2.061,3,Monoclinic,2/m,C2/c,oxide,Na,,,,,,"C, N, O",,,Ce,,"B $\in$ [0.5, 1]",Positive B,2.28163091576314
mp-1173764,Na5Ce3Ti6Nb2O24,1.7572571916185342,1.2963695538973,"Square-face bicapped square antiprism, Tricapped triangular prism (two square-face caps and one triangular-face cap)",2,1a,1,"[6.080692767465823, 6.9131968064694425, 6.05653339934749]",1.0,6.350140991094253,A2B3C5D6E24,2,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Ce-Na-Nb-O-Ti,0.012753947987496,-3.254709313172414,0.0,5,Triclinic,1,P1,oxide,Na,,"Ti, Nb",,,,"C, N, O",,,Ce,,B > 1,Positive B,2.4203251875730243
mp-1176428,Na2CePCO7,1.796491433426917,0.8054757780608991,Pentagonal bipyramid,1,2e,1,[4.230452551393345],0.0,4.230452551393345,ABCD2E7,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,C-Ce-Na-O-P,0.0353070226736,-2.7157207479084557,0.2139,5,Monoclinic,2/m,P2_1/m,oxide,Na,,,,,,"C, N, O, P",,,Ce,,"B $\in$ [0.5, 1]",Positive B,2.4882553117898705
mp-1178568,Ba3Ce2O6,2.0708824837657467,0.3868169826307834,Square pyramid,1,2e,1,[0.333316532315303],0.0,0.333316532315303,A2B3C6,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ba-Ce-O,0.029526603636366,-3.233961353636363,0.0,3,Tetragonal,4/mmm,I4/mmm,oxide,,Ba,,,,B,"C, O",,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,2.2692190209304703
mp-1192442,CeMoO4F,2.155665981756541,0.3184614056119014,Square-face bicapped trigonal prism,1,4e,1,[1.262233927928518],0.0,1.262233927928518,ABCD4,1,1,1,[8.0],[6.0],8.0,8.0,8.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-","Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ce-F-Mo-O,0.043067509778914,-2.927288004642857,0.1015,4,Monoclinic,2/m,P2_1/c,fluoride,,,Mo,,,,"C, O",F,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,2.497346845538057
mp-1193745,CeAsO4F,1.7822413800790944,1.0328038749348776,Dodecahedron with triangular faces - p2345 plane normalized,1,4c,1,[0.5379991449357],0.0,0.5379991449357,ABCD4,1,1,1,[8.0],[6.0],8.0,8.0,8.0,6.0,6.0,6.0,4.0,4.0,4.0,2.0,2,2,"F-, O2-","Halogens, Lanthanides, Metalloids, Nonmetals",GGA,As-Ce-F-O,0.0,-2.843470298214286,1.495499999999999,4,Orthorhombic,mmm,Pnma,fluoride,,,,,,As,"C, O",F,,Ce,,B > 1,Positive B,2.397435517105825
mp-1194116,CeMoBrO4,2.595230098278034,-0.2181038823859046,Square-face bicapped trigonal prism,1,4e,1,[5.9645921268162905],1.0,5.9645921268162905,ABCD4,1,1,1,[8.0],[6.0],8.0,8.0,8.0,6.0,6.0,6.0,4.0,4.0,4.0,2.0,2,2,"Br-, O2-","Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Br-Ce-Mo-O,0.03117331107143,-2.582461057142858,0.286,4,Monoclinic,2/m,P2_1/c,perbromate,,,Mo,,,B,"C, O",Br,,Ce,,"B $\in$ [-1, -0.1]",Negative B,2.384263485531507
