material_id,chem_formula,R$_0$,B,Cr_chemenv,num_Cr_chemenvs,Cr_wyckoff,num_Cr_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Cr_sites,num_CN_env,num_charge_states,mean_coordn_Cr-X,min_coordn_Cr-X,max_coordn_Cr-X,mean_coordn_Cr-O,min_coordn_Cr-O,max_coordn_Cr-O,mean_Cr_charge,min_Cr_charge,max_Cr_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CrO_BondL,CrX_coordn,CrO_coordn
mp-1012789,LiCr3P3O13,1.9009325962220955,0.1433469981329798,"Octahedron, Square pyramid",2,"2a, 2e",2,"[0.9708072775234466, 0.845561605897315, 0.9141400476056334]",0.0,0.910169643675465,AB3C3D13,2,3,2,5.666666666666667,5.0,6.0,5.666666666666667,5.0,6.0,3.333333333333333,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Cr-Li-O-P,0.0363211235000004,-2.5177782829880955,0.0,4,Monoclinic,2/m,P2_1/m,oxide,Li,,Cr,,,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9812446609604808,"[5.0, 6.0]","[5.0, 6.0]"
mp-1013922,LiCr2P2O9,1.8640656677333536,0.2135729551773587,Octahedron,1,"4a, 4c",2,"[0.5655290539840502, 0.9685261246343347]",0.0,0.7670275893091925,AB2C2D9,1,2,2,6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Cr-Li-O-P,0.0223107333928496,-2.514986746258503,0.6364999999999998,4,Orthorhombic,mmm,Pnma,oxide,Li,,Cr,,,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9852891740135004,[6.0],[6.0]
mp-1031034,LiMg6CrO8,2.7167804055872,-0.9138767643704372,Octahedron,1,1c,1,[0.01709329968700766],0.0,0.01709329968700766,ABC6D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Li-Mg-O,0.0440295387499984,-2.8347064433333333,1.2919,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Cr,,,,"C, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.0829325399654004,[6.0],[6.0]
mp-1034594,NaMg14CrO16,1.3976875232364976,0.9688062317147064,Octahedron,1,1c,1,[0.050389937957436244],0.0,0.050389937957436244,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Mg-Na-O,0.0454972661718748,-2.892848333793104,1.5217,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,Cr,,,,"C, N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.070314387237401,[6.0],[6.0]
mp-1034602,NaMg14CrO16,1.3948007795156143,0.9584596606097384,Octahedron,1,1c,1,[0.09557512357842787],0.0,0.09557512357842787,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Mg-Na-O,0.0369107274218754,-2.901434872543103,1.8712,4,Orthorhombic,mmm,Pmmm,oxide,Na,Mg,Cr,,,,"C, N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.061281930009901,[6.0],[6.0]
mp-1035402,LiMg14CrO16,1.5877574945459991,0.6756511728109921,Octahedron,1,1c,1,[0.04884911462244361],0.0,0.04884911462244361,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Li-Mg-O,0.0164678090624912,-2.940979087604166,2.0146999999999995,4,Orthorhombic,mmm,Pmmm,oxide,Li,Mg,Cr,,,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.0575843668417213,[6.0],[6.0]
mp-1035434,LiMg14CrO16,1.5475922987207706,0.7448952623672519,Octahedron,1,1c,1,[0.029956400837775676],0.0,0.029956400837775676,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Li-Mg-O,0.0240696193749911,-2.933377277291666,1.6420999999999992,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Cr,,,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.064762043587448,[6.0],[6.0]
mp-1039737,NaMg30CrO32,1.3684388067529754,0.9841221788564964,Octahedron,1,1b,1,[0.03289341176204534],0.0,0.03289341176204534,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Mg-Na-O,0.0109454833984372,-2.976306222209052,3.7638,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,Cr,,,,"C, N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.0512893241066665,[6.0],[6.0]
mp-1039764,NaMg30CrO32,1.3587970471273147,1.0083118803513391,Octahedron,1,1c,1,[0.0018881516281876527],0.0,0.0018881516281876527,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Mg-Na-O,0.0141816793359375,-2.973070026271551,3.6705,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,Cr,,,,"C, N, O",,,,,B > 1,Positive B,2.0577449058916666,[6.0],[6.0]
mp-1040079,LiMg30CrO32,1.6534160184549545,0.5765050247830145,Octahedron,1,1b,1,[0.011267376394529393],0.0,0.011267376394529393,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Li-Mg-O,0.0031755742187504,-2.993626779739583,3.800300000000001,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Cr,,,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.053434246906333,[6.0],[6.0]
