material_id,chem_formula,R$_0$,B,Cu_chemenv,num_Cu_chemenvs,Cu_wyckoff,num_Cu_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Cu_sites,num_CN_env,num_charge_states,CuX_coordn,CuO_coordn,mean_coordn_Cu-X,min_coordn_Cu-X,max_coordn_Cu-X,mean_coordn_Cu-O,min_coordn_Cu-O,max_coordn_Cu-O,mean_Cu_charge,min_Cu_charge,max_Cu_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CuO_BondL
mp-1023127,Ba4Cu3PbO9,3.960136162363437,-2.882459965751112,Square plane,1,6b,1,[0.19813576209086903],0.0,0.19813576209086903,AB3C4D9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Ba-Cu-O-Pb,0.036735735765931,-1.99420982382353,0.0,4,Cubic,m-3m,Pm-3n,oxide,,Ba,Cu,,Pb,B,"C, O, P",,,,,B < -1,Negative B,1.9608427509200006
mp-1035796,Mg14FeCuO16,1.7844386153678182,0.2160522036441709,Octahedron,1,1c,1,[0.045393282893371],0.0,0.045393282893371,ABC14D16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Cu-Fe-Mg-O,0.041375986874999,-2.7892073109375,0.0571,4,Orthorhombic,mmm,Pmmm,oxide,,Mg,"Fe, Cu",,,,"C, O",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1762137048977386
mp-1037287,Mg30CrCuO32,1.9268495358481617,0.1722178741848251,Octahedron,1,1a,1,[0.008596282790367001],0.0,0.008596282790367001,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Cu-Mg-O,0.02243902234375,-2.937527052656249,1.0408,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,"Cr, Cu",,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.236634593595666
mp-1037288,Mg30CrCuO32,1.34715359484044,0.5040083037531635,Octahedron,1,1a,1,[0.0034862795913520005],0.0,0.0034862795913520005,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Cu-Mg-O,0.026499969843749,-2.93346610515625,0.576299999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,"Cr, Cu",,,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.2504052718793295
mp-1037298,Mg30FeCuO32,1.9545991370172189,0.1170117110777348,Octahedron,1,1b,1,[0.004233623317168],0.0,0.004233623317168,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Cu-Fe-Mg-O,0.021179152031249,-2.913267081875,0.0,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,"Fe, Cu",,,,"C, O",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.165080299425663
mp-1037357,Mg30FeCuO32,1.6778897508059345,0.3152011514114408,Octahedron,1,1c,1,[0.001363012355662],0.0,0.001363012355662,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Cu-Fe-Mg-O,0.02786132328125,-2.906584910625,0.012999999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,"Fe, Cu",,,,"C, O",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.2427630354086667
mp-1037549,Mg30VCuO32,1.1851830847243383,0.5904347228553151,Octahedron,1,1a,1,[0.004778332881573],0.0,0.004778332881573,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cu-Mg-O-V,0.031074741406249,-2.9387152856250003,0.0952,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,"V, Cu",,,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.2433026895646666
mp-1037716,YMg30CuO32,2.3302858730802294,-0.0409070485033487,Octahedron,1,1c,1,[2.258925358057328e-05],0.0,2.258925358057328e-05,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Cu-Mg-O-Y,0.046310274287109,-2.9716582907812503,1.0525,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,"Cu, Y",,,,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.2569770699359992
mp-1037730,YMg30CuO32,3.453182388218643,-0.6789518850048102,Octahedron,1,1b,1,[0.13400318535156802],0.0,0.13400318535156802,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Cu-Mg-O-Y,0.048320610224609,-2.96964795484375,0.8411999999999991,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,"Cu, Y",,,,"C, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.2318884037586595
mp-1038308,Mg30AlCuO32,0.9032941283129782,0.7600086762303553,Octahedron,1,1b,1,[0.162218033724065],0.0,0.162218033724065,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Al-Cu-Mg-O,0.024466653710938,-2.975877158906249,1.228499999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,Cu,,Al,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.270393938079669
