material_id,chem_formula,R$_0$,B,Dy_chemenv,num_Dy_chemenvs,Dy_wyckoff,num_Dy_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Dy_sites,num_CN_env,num_charge_states,DyX_coordn,DyO_coordn,mean_coordn_Dy-X,min_coordn_Dy-X,max_coordn_Dy-X,mean_coordn_Dy-O,min_coordn_Dy-O,max_coordn_Dy-O,mean_Dy_charge,min_Dy_charge,max_Dy_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_DyO_BondL
mp-10251,LiDyO2,1.9928095254568008,0.4608461095874867,Octahedron,1,4e,1,[3.098978809645523],0.0,3.098978809645523,ABC2,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",r2SCAN,Dy-Li-O,0.014812969999999,-3.273900814999998,3.964299999999999,3,Monoclinic,2/m,P2_1/c,oxide,Li,,,,,,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.278992272195166
mp-10792,DyBO3,2.187044508701426,0.1971054877680051,"Dodecahedron with triangular faces - p2345 plane normalized, Square-face monocapped antiprism, Square antiprism, Bicapped square prism (adjacent faces), Square-face capped trigonal prism",5,2i,1,"[4.37616751045486, 5.5150064794152485, 2.209868328711902, 2.197685679328649, 3.303460522778398, 3.428619458250571]",0.167,3.5051346631566047,ABC3,5,3,1,"[7.0, 8.0, 9.0]","[7.0, 8.0, 9.0]",8.0,7.0,9.0,8.0,7.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",SCAN,B-Dy-O,0.028402722833334,-3.495605683833332,5.0542,3,Triclinic,-1,P-1,orthoborate,,,,,,B,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.377610255781439
mp-1103766,DyWClO4,1.5045416288200446,0.9445779044978042,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[0.9115152999539601],0.0,0.9115152999539601,ABCD4,1,1,1,[8.0],[6.0],8.0,8.0,8.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2,2,"Cl-, O2-","Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Cl-Dy-O-W,0.021287906190487,-2.754723793809522,3.4164,4,Monoclinic,2/m,C2/m,perchlorate,,,W,,,,"C, O",Cl,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.4323117228506876
mp-1103799,Dy3SbO3,1.612986195192343,1.041944735861247,"Square non-coplanar, See-saw",2,2i,1,"[1.118924859122219, 1.027722730000752, 0.47664718244256005]",0.0,0.8744315905218437,AB3C3,2,2,1,"[6.0, 8.0]","[4.0, 4.0]",7.0,6.0,8.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2,2,"Sb3-, O2-","Lanthanides, Metalloids, Nonmetals",GGA,Dy-O-Sb,0.033277114285714,-3.174487718571427,0.3776,3,Monoclinic,2/m,C2/m,oxide,,,,,,Sb,"O, S",,,Dy,,B > 1,Positive B,2.304972444503371
mp-1104659,Dy2MnNiO6,0.9907153090050486,1.5889186768881438,Square-face bicapped trigonal prism,1,4e,1,[1.6426969167487],0.0,1.6426969167487,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-Mn-Ni-O,0.0,-2.855022476626436,0.5364999999999991,4,Monoclinic,2/m,P2_1/c,oxide,,,"Mn, Ni",,,,"N, O",,,Dy,,B > 1,Positive B,2.423269683096268
mp-1105361,Dy5(MoO6)2,2.2691692433299653,0.0646345040166713,"Square-face capped trigonal prism, Octahedron",2,"2i, 1c",2,"[2.9790598637509023, 3.699231547512085, 0.874884006342118]",0.0,2.5177251392017017,A2B5C12,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Dy-Mo-O,0.0,-3.3438925646490603,0.0,3,Monoclinic,2/m,C2/m,oxide,,,Mo,,,,O,,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.325450679002849
mp-1105402,Sr2DyMoO6,2.1609784060114547,0.128267424927869,Octahedron,1,2b,1,[0.037938819106810004],0.0,0.037938819106810004,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-Mo-O-Sr,0.0,-3.092955365166665,1.344,4,Monoclinic,2/m,P2_1/c,oxide,,Sr,Mo,,,,"O, S",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.250077797605776
mp-1178365,Dy2Pt2O7,1.8301571206323053,0.5421618332934145,Cube,1,4d,1,[1.232882820903503],0.0,1.232882820903503,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Dy-O-Pt,0.0,-2.276264529545453,1.5345,3,Cubic,m-3m,Fd-3m,oxide,,,Pt,,,,"O, P",,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.3708264302149953
mp-1178367,Dy2CuO4,1.8740221990696828,0.5478044196971498,Cube,1,2e,1,[0.296844313824351],0.0,0.296844313824351,AB2C4,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Cu-Dy-O,0.039978197142858,-2.992129048749999,0.0,3,Tetragonal,4/mmm,I4/mmm,oxide,,,Cu,,,,"C, O",,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.4435854706884528
mp-1178370,Dy3TaO7,2.075171485998093,0.3888890163824171,"Trigonal prism, Pentagonal bipyramid",2,"8d, 4c",2,"[2.838610195554143, 2.180341113658725]",0.0,2.509475654606434,AB3C7,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Dy-O-Ta,0.009292303863634,-3.746943104075761,3.5153,3,Orthorhombic,mmm,Pnma,oxide,,,Ta,,,,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.36191184449864
mp-1178380,DyNbO4,2.264654817733505,0.1317838889430198,Square antiprism,1,2e,1,[2.017398383063619],0.0,2.017398383063619,ABC4,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Dy-Nb-O,0.003422323333332,-3.565900418611113,3.2613,3,Monoclinic,2/m,P2/c,oxide,,,Nb,,,,"N, O",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.3596259090302
mp-1178583,Cs3DyO3,1.8019241502556445,1.2462250567417663,Tetrahedron,1,4e,1,[1.736278912122886],0.0,1.736278912122886,AB3C3,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",r2SCAN,Cs-Dy-O,0.026126287500002,-2.116323140357142,2.0884,3,Monoclinic,2/m,P2_1/c,oxide,Cs,,,,,,"C, O",,,Dy,,B > 1,Positive B,2.1536952142653254
mp-1181628,DyCu(WO4)2,2.272191462230824,0.0338612867560646,Octahedron,1,1a,1,[0.7001871839885221],0.0,0.7001871839885221,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Cu-Dy-O-W,0.037251784427089,-2.38053245097222,1.3993,4,Triclinic,1,P1,oxide,,,"Cu, W",,,,"C, O",,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.298933194618044
mp-1188108,Sr2DyRuO6,2.232282477501058,0.0092821215574579,Octahedron,1,2c,1,[0.027571984783976003],0.0,0.027571984783976003,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Dy-O-Ru-Sr,0.0,-2.857345851166667,0.2518,4,Monoclinic,2/m,P2_1/c,oxide,,Sr,Ru,,,,"O, S",,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.238731091810249
mp-1190177,Dy2CoTe2(SO7)2,2.198002959629005,0.2282002771211761,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[2.878268396899884],0.0,2.878268396899884,AB2C2D2E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Dy-O-S-Te,0.0,-2.338550634841268,3.0606,5,Triclinic,-1,P-1,oxide,,,Co,,,Te,"C, O, S",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.407445686217316
mp-1190393,Dy2CuTe2(SO7)2,2.1777295024104126,0.2440402503495065,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[3.054652837906408],0.0,3.054652837906408,AB2C2D2E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Cu-Dy-O-S-Te,0.010645019444464,-2.283447090555554,0.878699999999999,5,Triclinic,-1,P-1,oxide,,,Cu,,,Te,"C, O, S",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.4070149290549026
mp-1190424,Dy2Mo2O7,1.802706569317469,0.603644691730009,Cube,1,4d,1,[1.464985420820861],0.0,1.464985420820861,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Dy-Mo-O,0.011552227272719,-2.911589593484849,0.0,3,Cubic,m-3m,Fd-3m,oxide,,,Mo,,,,O,,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.404689746484789
mp-1190527,Dy2ZnTe2(SO7)2,2.2302525194262914,0.1974678931062405,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[2.78740579835179],0.0,2.78740579835179,AB2C2D2E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Dy-O-S-Te-Zn,0.000255357539695,-2.376195662460316,3.9594,5,Triclinic,-1,P-1,oxide,,,Zn,,,Te,"O, S",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.411203708079646
mp-1191990,Dy3ReO7,1.9846717193677328,0.4530554556254899,"Cube, Pentagonal bipyramid",2,"4c, 2a",2,"[1.201680348969213, 3.8872481398581433]",0.0,2.5444642444136782,AB3C7,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Dy-O-Re,0.041385783484857,-3.362467477954543,0.0,3,Orthorhombic,222,C222_1,oxide,,,Re,,,,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.382998347636028
