material_id,chem_formula,R$_0$,B,Eu_chemenv,num_Eu_chemenvs,Eu_wyckoff,num_Eu_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Eu_sites,num_CN_env,num_charge_states,EuX_coordn,EuO_coordn,mean_coordn_Eu-X,min_coordn_Eu-X,max_coordn_Eu-X,mean_coordn_Eu-O,min_coordn_Eu-O,max_coordn_Eu-O,mean_Eu_charge,min_Eu_charge,max_Eu_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_EuO_BondL
mp-1017564,Eu2O3,1.9954772743246567,0.55293585329576,Face-capped octahedron,1,2d,1,[3.263775971535165],0.0,3.263775971535165,A2B3,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",r2SCAN,Eu-O,0.0,-3.445172557,0.0,2,Trigonal,-3m,P-3m1,oxide,,,,,,,O,,,Eu,,"B $\in$ [0.5, 1]",Positive B,2.4296188739736535
mp-1019728,RbEu(PO3)4,2.18214125425628,0.2905675967830062,Square antiprism,1,4e,1,[0.44589708218940804],0.0,0.44589708218940804,ABC4D12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Eu-O-P-Rb,0.022562025347226,-2.789527483809523,0.0,4,Monoclinic,2/m,P2_1/c,phosphite,Rb,,,,,,"O, P",,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.468760272506195
mp-1019729,Eu3AlO5,2.602085329000692,0.0783856648067373,"Square-face bicapped square antiprism, Square-face bicapped trigonal prism",2,"4h, 2a",2,"[1.244505684193102, 1.9684986019256532]",0.0,1.6065021430593776,AB3C5,2,2,2,"[8.0, 10.0]","[8.0, 10.0]",9.0,8.0,10.0,9.0,8.0,10.0,2.5,2.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",GGA,Al-Eu-O,0.0,-3.325880598333335,0.0,3,Tetragonal,4/mmm,I4/mcm,oxide,,,,,Al,,O,,,Eu,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.6896855384310294
mp-1019730,EuZn(BO2)5,2.0077964917467823,0.4796478499739661,Square-face bicapped square antiprism,1,4e,1,[4.318648767725887],0.0,4.318648767725887,ABC5D10,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,B-Eu-O-Zn,0.013567536004906,-2.801632591225491,0.0,4,Monoclinic,2/m,P2_1/c,metaborate,,,Zn,,,B,O,,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.5378738617661787
mp-1019732,EuAl2O4,2.009178455802121,0.5332294247687137,"Dodecahedron with triangular faces - p2345 plane normalized, Square-face capped trigonal prism",2,2a,1,"[4.13209256636485, 5.136348252458194]",0.5,4.6342204094115225,AB2C4,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",r2SCAN,Al-Eu-O,0.0,-3.413126838214287,0.099199999999999,3,Monoclinic,2,P2_1,oxide,,,,,Al,,O,,,Eu,,"B $\in$ [0.5, 1]",Positive B,2.6360587180852417
mp-1019733,Eu(NO3)3,2.3522421238656257,0.1416167249724123,Square-face bicapped square antiprism,1,4e,1,[4.355055009556383],0.0,4.355055009556383,AB3C9,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",r2SCAN,Eu-N-O,0.0,-1.321586514038462,0.0,3,Monoclinic,2/m,P2_1/c,nitrate,,,,,,,"N, O",,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.5188415767455714
mp-1019735,BaNaEu(SiO3)3,2.0686010320791985,0.449137303834723,Octahedron,1,4a,1,[2.83814427165407],0.0,2.83814427165407,ABCD3E9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ba-Eu-Na-O-Si,0.024416350083333,-3.213023907425289,0.0,5,Orthorhombic,222,P2_12_12_1,oxide,Na,Ba,,,,"B, Si","N, O, S",,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.3806732451187878
mp-1019736,CsEu(PO3)4,2.1458818984781245,0.3307722011014198,Square antiprism,1,4e,1,[0.45320605464406905],0.0,0.45320605464406905,ABC4D12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Cs-Eu-O-P,0.020818985833333,-2.7893043225403678,0.0,4,Monoclinic,2/m,P2_1/c,phosphite,Cs,,,,,,"C, O, P",,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.4717239171510896
mp-1019737,KEu(PO3)4,2.323404447655002,0.1470231906037517,Square antiprism,1,4e,1,[0.49628598882940306],0.0,0.49628598882940306,ABC4D12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Eu-K-O-P,0.026722703333332,-2.786646658656746,0.0,4,Monoclinic,2/m,P2_1/c,phosphite,K,,,,,,"O, P",,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.4697655076318803
mp-1019739,Eu2Ge(BO4)2,2.312118065724532,0.198278350524841,Square-face capped trigonal prism,1,8d,1,[3.379648339023537],0.0,3.379648339023537,AB2C2D8,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,B-Eu-Ge-O,0.022564428782052,-2.876367211602565,0.0,4,Orthorhombic,mmm,Pbcn,oxide,,,,,,"B, Ge",O,,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.4552177249623313
mp-1025200,Eu2TiO4,3.2265210014130874,-0.3430274332275425,Tricapped triangular prism (three square-face caps),1,2e,1,[3.440368678535379],0.0,3.440368678535379,AB2C4,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Eu-O-Ti,0.0,-3.454467420476194,0.0,3,Tetragonal,4/mmm,I4/mmm,oxide,,,Ti,,,,O,,,Eu,,"B $\in$ [-1, -0.1]",Negative B,2.663373316192836
mp-1078341,EuNbO3,2.2761376295876703,0.3426757059984123,Diminished icosahedron,1,2e,1,[6.542793254037452],1.0,6.542793254037452,ABC3,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Eu-Nb-O,0.0,-3.143563455999987,0.0,3,Orthorhombic,mmm,Imma,oxide,,,Nb,,,,"N, O",,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.592525994293436
mp-1097997,KEu(GeO3)2,1.975418442004796,0.5598012341735313,"Dodecahedron with triangular faces - p2345 plane normalized, Octahedron",2,"4f, 2e",2,"[0.779374749968827, 1.3655749958817291]",0.0,1.072474872925278,ABC2D6,2,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,Eu-Ge-K-O,0.044853792416666,-2.447549360225001,0.0,4,Monoclinic,2/m,C2/c,oxide,K,,,,,Ge,O,,,Eu,,"B $\in$ [0.5, 1]",Positive B,2.438446404807749
mp-1098000,LiEu3O4,2.180392314582682,0.3200080770277193,"Octahedron, Square-face capped trigonal prism",2,4c,1,"[0.39439235532711103, 2.281078994361654, 1.366486487603497]",0.0,1.3473192790974207,AB3C4,2,3,2,"[6.0, 7.0, 6.0]","[6.0, 7.0, 6.0]",6.333333333333333,6.0,7.0,6.333333333333333,6.0,7.0,2.333333333333333,2.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",r2SCAN,Eu-Li-O,0.0,-3.034272242916669,0.0,3,Orthorhombic,mmm,Pnma,oxide,Li,,,,,,O,,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.479141470217811
mp-1098017,Ba3NaEu3(Si3O10)2,1.9273123904853449,0.6033542517464163,"Pentagonal bipyramid, Square antiprism",2,"2a, 4c",2,"[3.218237345538962, 2.259670892328154]",0.0,2.738954118933558,AB3C3D6E20,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ba-Eu-Na-O-Si,0.032058624659082,-3.292202161405434,0.0,5,Orthorhombic,mm2,Ama2,oxide,Na,Ba,,,,"B, Si","N, O, S",,,Eu,,"B $\in$ [0.5, 1]",Positive B,2.470526666186349
mp-1106293,EuZrO3,0.8445900860607587,1.4256007800285666,Square-face bicapped trigonal prism,1,4c,1,[2.7794128509550493],0.0,2.7794128509550493,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Eu-O-Zr,0.0,-3.640190886500005,0.186599999999999,3,Orthorhombic,mmm,Pnma,oxide,,,Zr,,,,O,,,Eu,,B > 1,Positive B,2.6633737391030956
mp-1173802,Na3EuTi2Nb2O12,3.0321748221746967,-0.5372013177868153,Square-face bicapped trigonal prism,1,1a,1,"[3.534810623785337, 3.571200343704332]",0.0,3.553005483744834,AB2C2D3E12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Eu-Na-Nb-O-Ti,0.032315542249999,-3.032899694040229,0.0,5,Orthorhombic,mm2,Pmc2_1,oxide,Na,,"Ti, Nb",,,,"N, O",,,Eu,,"B $\in$ [-1, -0.1]",Negative B,2.5153274278704547
mp-1181527,Eu2HoTaO6,0.7408585619318644,1.5255817251947694,Square-face bicapped trigonal prism,1,4e,1,[2.797432116463362],0.0,2.797432116463362,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Eu-Ho-O-Ta,0.0,-3.580571941733335,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,Ta,,,,"H, O",,,"Eu, Ho",,B > 1,Positive B,2.6821780613740267
mp-1184430,Eu2Ti2O5,1.813911509429263,0.5705149798208684,"Cuboctahedron, Cube",2,"1a, 1b",2,"[0.768752609687667, 0.036050079820087004]",0.0,0.402401344753877,A2B2C5,2,2,1,"[12.0, 8.0]","[12.0, 8.0]",10.0,8.0,12.0,10.0,8.0,12.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Eu-O-Ti,0.042613025185207,-3.2927369979629653,0.0,3,Tetragonal,4/mmm,P4/mmm,oxide,,,Ti,,,,O,,,Eu,,"B $\in$ [0.5, 1]",Positive B,2.739146153100885
mp-1185383,Eu5Nb4O15,2.3576304673781943,0.2515351423711867,"Cuboctahedron, Anticuboctahedron",2,1a,1,"[0.013630933235442, 0.252464906489894, 0.252058134833049, 0.11960632778546401, 0.119056719985899]",0.0,0.1513634044659496,A4B5C15,2,2,1,"[12.0, 9.0]","[12.0, 9.0]",10.5,9.0,12.0,10.5,9.0,12.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Eu-Nb-O,0.006361019374987,-3.2502140275,0.0,3,Trigonal,-3m,P-3m1,oxide,,,Nb,,,,"N, O",,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.7931466623867656
mp-1188621,Eu3NbO6,1.8428948790695432,0.7385392236157424,"Octahedron, Square-face bicapped trigonal prism",2,"4e, 2b",2,"[2.4932963785643443, 0.20515045255150602]",0.0,1.3492234155579252,AB3C6,2,2,2,"[8.0, 6.0]","[8.0, 6.0]",7.0,6.0,8.0,7.0,6.0,8.0,2.5,2.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Eu-Nb-O,0.0,-3.333018813999996,0.0,3,Monoclinic,2/m,P2_1/c,oxide,,,Nb,,,,"N, O",,,Eu,,"B $\in$ [0.5, 1]",Positive B,2.5131421764765296
mp-11903,LiEu2IrO6,1.347496226884418,1.2790226040369013,Square-face bicapped trigonal prism,1,4e,1,[1.738198926480043],0.0,1.738198926480043,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Eu-Ir-Li-O,0.012805673299999,-2.426162534333333,0.0,4,Monoclinic,2/m,P2_1/c,oxide,Li,,Ir,,,,O,I,,Eu,,B > 1,Positive B,2.5173619664732283
mp-1190438,Eu2CoTe2(SO7)2,2.2518932589089657,0.2952405977960947,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[2.937797987792558],0.0,2.937797987792558,AB2C2D2E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Eu-O-S-Te,0.0,-2.142900158492063,0.010899999999999,5,Triclinic,-1,P-1,oxide,,,Co,,,Te,"C, O, S",,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.5169460316498626
mp-1190652,Eu2CuTe2(SO7)2,2.200258407847381,0.3476057048881721,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[3.166319067136748],0.0,3.166319067136748,AB2C2D2E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Cu-Eu-O-S-Te,0.0,-2.102774298968254,0.0,5,Triclinic,-1,P-1,oxide,,,Cu,,,Te,"C, O, S",,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.5197639210676743
mp-1190662,Eu2MnSi2O7,3.064234456772208,-0.1856922519979383,Square antiprism,1,4e,1,[2.20666107800311],0.0,2.20666107800311,AB2C2D7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Eu-Mn-O-Si,0.0,-3.15131592941092,0.0,4,Tetragonal,-42m,P-42_1m,oxide,,,Mn,,,Si,"O, S",,,Eu,,"B $\in$ [-1, -0.1]",Negative B,2.7097606824057587
mp-1191288,Eu2Ta2O7,2.3142257439945206,0.2542100798239822,"Cuboctahedron, Cube",2,2c,1,"[6.9325091606676565, 0.086017636728676]",0.5,3.5092633986981663,A2B2C7,2,2,1,"[12.0, 6.0]","[12.0, 6.0]",9.0,6.0,12.0,9.0,6.0,12.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Eu-O-Ta,0.0,-3.470849617242424,0.0,3,Orthorhombic,mmm,Cmcm,oxide,,,Ta,,,,O,,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.6934172164912473
mp-1191507,Eu4I6O,1.8636580168805472,0.7815531881399429,"Angular, Single neighbor",2,"6c, 2b",2,"[0.0, 3.953349428870719]",0.0,1.9766747144353596,AB4C6,2,2,1,"[7.0, 8.0]","[1.0, 1.0]",7.5,7.0,8.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,"I-, O2-","Halogens, Lanthanides, Nonmetals",r2SCAN,Eu-I-O,0.0,-2.111709546363637,1.200199999999999,3,Hexagonal,6mm,P6_3mc,oxide,,,,,,,O,I,,Eu,,"B $\in$ [0.5, 1]",Positive B,2.4056157746902436
mp-1191878,Eu2Mo2O7,1.6261536347023866,0.9238999388380056,Hexagonal bipyramid,1,4c,1,[2.392569356227832],0.0,2.392569356227832,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Eu-Mo-O,0.019614279999993,-2.649039712272727,0.0,3,Cubic,m-3m,Fd-3m,oxide,,,Mo,,,,O,,,Eu,,"B $\in$ [0.5, 1]",Positive B,2.547507923577611
mp-1191889,Eu2Pt2O7,1.781411158325661,0.660839345002268,Cube,1,"3d, 1a",2,"[1.717554882626169, 1.595478535243354]",0.0,1.6565167089347614,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Eu-O-Pt,0.0,-2.084046791818179,0.0,3,Cubic,m-3m,Fd-3m,oxide,,,Pt,,,,"O, P",,,Eu,,"B $\in$ [0.5, 1]",Positive B,2.4411340222482227
mp-1192440,Eu5Ta4O15,2.289088181070908,0.298617198833342,"Cuboctahedron, Anticuboctahedron",2,"2d, 1a",2,"[0.009928233418920001, 0.154949680229563, 0.22991276111925202]",0.0,0.131596891589245,A4B5C15,2,2,1,"[12.0, 9.0]","[12.0, 9.0]",10.5,9.0,12.0,10.5,9.0,12.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Eu-O-Ta,0.021049324999999,-3.420848036222223,0.0,3,Trigonal,-3m,P-3m1,oxide,,,Ta,,,,O,,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.8126825601105003
mp-1194519,K4Eu2U(GeO4)4,1.6198229937434672,1.0602332497037734,Square-face capped trigonal prism,1,2i,1,[2.864751295283794],0.0,2.864751295283794,AB2C4D4E16,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,Eu-Ge-K-O-U,0.029932174753086,-2.6096114666296293,0.0,5,Triclinic,-1,P-1,oxide,K,,,,,Ge,O,,,Eu,U,B > 1,Positive B,2.4485591104534428
mp-1194919,Eu2CuH4(SO6)2,2.2786450398910243,0.2632218499654263,Tricapped triangular prism (three square-face caps),1,4e,1,[2.403660556750274],0.0,2.403660556750274,AB2C2D4E12,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Cu-Eu-H-O-S,0.0,-2.023346245,0.195799999999999,5,Monoclinic,2/m,P2_1/c,oxide,,,Cu,,,,"H, C, O, S",,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.5470743375269675
mp-1196201,Eu5B3O9F,2.150961257758294,0.3733876203988012,"Bicapped octahedron (cap faces with one edge in common), Tricapped triangular prism (three square-face caps), Square-face capped trigonal prism",3,"4c, 8d",2,"[5.320881911867829, 3.534563678417444, 4.824198516003954]",0.333,4.559881368763076,AB3C5D9,3,3,1,"[7.0, 8.0, 9.0]","[6.0, 7.0, 9.0]",8.0,7.0,9.0,7.333333333333333,6.0,9.0,2.0,2.0,2.0,1.6666666666666667,1,2,"O2-, F-","Halogens, Lanthanides, Metalloids, Nonmetals",GGA,B-Eu-F-O,0.010755783888884,-3.247264087361114,0.109499999999999,4,Orthorhombic,mmm,Pnma,fluoride,,,,,,B,O,F,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.6734012442661204
mp-1196233,EuAl3(PbO4)2,2.06732655706893,0.4319685518926794,Hexagonal bipyramid,1,4c,1,[1.1949545506667891],0.0,1.1949545506667891,AB2C3D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",r2SCAN,Al-Eu-O-Pb,0.042022671089288,-2.849076464464285,0.078399999999999,4,Cubic,m-3m,Pn-3m,oxide,,,,,"Al, Pb",,"O, P",,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.509648483749026
mp-1197271,EuV2IO9,2.42746108558154,0.1020398879622751,Square-face monocapped antiprism,1,4d,1,[2.602475579301354],0.0,2.602475579301354,ABC2D9,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Eu-I-O-V,0.008577243269229,-2.128869826346154,0.0,4,Orthorhombic,mmm,Pbcm,hypoiodite,,,V,,,,O,I,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.541672385147134
