material_id,chem_formula,R$_0$,B,Fe_chemenv,num_Fe_chemenvs,Fe_wyckoff,num_Fe_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Fe_sites,num_CN_env,num_charge_states,mean_coordn_Fe-X,min_coordn_Fe-X,max_coordn_Fe-X,mean_coordn_Fe-O,min_coordn_Fe-O,max_coordn_Fe-O,mean_Fe_charge,min_Fe_charge,max_Fe_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_FeO_BondL,FeX_coordn,FeO_coordn,elements
mp-1022808,Ba2NbFeO6,1.779063084849549,0.4093750858556083,Octahedron,1,4e,1,[0.28753596145836585],0.0,0.28753596145836585,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Ba-Fe-Nb-O,0.0222984844999984,-2.8706736054999995,1.0475000000000003,4,Hexagonal,6/mmm,P6_3/mmc,oxide,,Ba,"Fe, Nb",,,B,"N, O",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.064246009335846,[6.0],[6.0],"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals"
mp-1022809,Ba4NbFeO8,1.8060292873198365,0.272686270807271,Tetrahedron,1,4e,1,[0.33243546022402976],0.0,0.33243546022402976,ABC4D8,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,R2SCAN,Ba-Fe-Nb-O,0.0,-2.9019944008928564,2.6971,4,Monoclinic,2/m,P2_1/c,oxide,,Ba,"Fe, Nb",,,B,"N, O",F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8867360575872745,[4.0],[4.0],"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals"
mp-1032467,LiMg6FeO8,2.5943250815214407,-0.7229975368646541,Octahedron,1,1a,1,[0.010603822850257964],0.0,0.010603822850257964,ABC6D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-Li-Mg-O,0.025679222343748,-2.737135483333333,1.5393,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Fe,,,,O,F,,,,"B $\in$ [-1, -0.1]",Negative B,2.0928708400587595,[6.0],[6.0],"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals"
mp-1032500,LiMg6FeO8,1.5566671367770712,0.7364536148662136,Octahedron,1,1a,1,[0.10588819702272699],0.0,0.10588819702272699,ABC6D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-Li-Mg-O,0.0344359817187482,-2.7283787239583326,0.8732999999999995,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Fe,,,,O,F,,,,"B $\in$ [0.5, 1]",Positive B,2.070286883013471,[6.0],[6.0],"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals"
mp-1035435,LiMg14FeO16,1.5193393867219416,0.7901645248298281,Octahedron,1,1a,1,[0.06517632964048639],0.0,0.06517632964048639,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-Li-Mg-O,0.0097345824218741,-2.889751676041666,1.9419000000000004,4,Orthorhombic,mmm,Pmmm,oxide,Li,Mg,Fe,,,,O,F,,,,"B $\in$ [0.5, 1]",Positive B,2.068793273693264,[6.0],[6.0],"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals"
mp-1035445,LiMg14FeO16,1.5461592211584012,0.7587417749039227,Octahedron,1,1a,1,[0.030839578571038938],0.0,0.030839578571038938,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-Li-Mg-O,0.0170022324218743,-2.882484026041666,1.79,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Fe,,,,O,F,,,,"B $\in$ [0.5, 1]",Positive B,2.072941171992821,[6.0],[6.0],"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals"
mp-1035457,NaMg14FeO16,1.4062985472475584,0.9684942798120492,Octahedron,1,1a,1,[0.04994866520224684],0.0,0.04994866520224684,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-Mg-Na-O,0.0388347512500004,-2.842268717855603,1.6805000000000003,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,Fe,,,,"N, O",F,,,,"B $\in$ [0.5, 1]",Positive B,2.078709236088657,[6.0],[6.0],"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals"
mp-1035481,NaMg14FeO16,1.2971906888870992,1.1152686673712342,Octahedron,1,1a,1,[0.13249931006107746],0.0,0.13249931006107746,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Fe-Mg-Na-O,0.0303317700000009,-2.8507716991056027,1.9667000000000003,4,Orthorhombic,mmm,Pmmm,oxide,Na,Mg,Fe,,,,"N, O",F,,,,B > 1,Positive B,2.072717655084156,[6.0],[6.0],"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals"
mp-1035796,Mg14FeCuO16,1.7675068093035449,0.5000549169475926,Octahedron,1,1a,1,[0.0595436443254407],0.0,0.0595436443254407,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Cu-Fe-Mg-O,0.0413759868749998,-2.7870559521875,0.0,4,Orthorhombic,mmm,Pmmm,oxide,,Mg,"Fe, Cu",,,,"C, O",F,,,,"B $\in$ [0.5, 1]",Positive B,2.115225770211841,[6.0],[6.0],"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals"
mp-1037298,Mg30FeCuO32,1.1943455080827703,1.3757607547431556,Octahedron,1,1a,1,[0.05856617963567796],0.0,0.05856617963567796,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,GGA_U,Cu-Fe-Mg-O,0.0211791520312498,-2.911115723125,0.0,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,"Fe, Cu",,,,"C, O",F,,,,B > 1,Positive B,2.148943509385,[6.0],[6.0],"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals"
