material_id,chem_formula,R$_0$,B,Gd_chemenv,num_Gd_chemenvs,Gd_wyckoff,num_Gd_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Gd_sites,num_CN_env,num_charge_states,GdX_coordn,GdO_coordn,mean_coordn_Gd-X,min_coordn_Gd-X,max_coordn_Gd-X,mean_coordn_Gd-O,min_coordn_Gd-O,max_coordn_Gd-O,mean_Gd_charge,min_Gd_charge,max_Gd_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_GdO_BondL
mp-10559,Gd3AuO6,1.9812185207850703,0.5096364211263575,"Square-face capped trigonal prism, Octahedron",2,"2i, 1b",2,"[2.634873997676663, 3.498042189514787]",0.0,3.066458093595725,AB3C6,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Au-Gd-O,0.0,-2.927915637999996,1.5063,3,Triclinic,-1,P-1,oxide,,,Au,,,,O,,,Gd,,"B $\in$ [0.5, 1]",Positive B,2.36199843956652
mp-1079192,Sr2GdRuO6,2.3147959368312536,-0.086491451961298,Octahedron,1,1a,1,[0.0014096396914980002],0.0,0.0014096396914980002,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Gd-O-Ru-Sr,0.014360915999999,-2.813931878,0.0,4,Tetragonal,4/m,I4/m,oxide,,Sr,Ru,,,,"O, S",,,Gd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.2544400433268876
mp-1104036,Gd3Se2NO,2.1998365582320027,0.1927107450779399,"Face-capped octahedron, Octahedron, Square pyramid",3,2i,1,"[2.06360325609538, 7.555075984266642, 0.8851932931203831]",0.333,3.5012908444941346,ABC2D3,3,3,1,"[6.0, 7.0, 6.0]","[2.0, 2.0, 0]",6.333333333333333,6.0,7.0,2.0,0.0,2.0,3.0,3.0,3.0,2.6666666666666665,2,3,"N3-, Se2-, O2-","Lanthanides, Nonmetals",GGA,Gd-N-O-Se,0.0,-2.543475174955359,1.754,4,Monoclinic,2/m,C2/m,oxide,,,,,,,"N, O, S, Se",,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.3225260423262117
mp-1104777,Gd3SbO3,1.7266294561100046,0.9017734837768542,"Square non-coplanar, See-saw",2,2i,1,"[1.011907245563556, 1.230808597768858, 0.44228147039695703]",0.0,0.894999104576457,AB3C3,2,2,1,"[6.0, 8.0]","[4.0, 4.0]",7.0,6.0,8.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2,2,"Sb3-, O2-","Lanthanides, Metalloids, Nonmetals",r2SCAN,Gd-O-Sb,0.004523412857141,-3.137536690000002,0.249299999999999,3,Monoclinic,2/m,C2/m,oxide,,,,,,Sb,"O, S",,,Gd,,"B $\in$ [0.5, 1]",Positive B,2.324871535637044
mp-1105454,Sr2GdMoO6,2.3558673135527863,-0.0913708762714554,Octahedron,1,2b,1,[0.08196926953271401],0.0,0.08196926953271401,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Gd-Mo-O-Sr,0.0,-3.055254508000001,1.3501,4,Monoclinic,2/m,P2_1/c,oxide,,Sr,Mo,,,,"O, S",,,Gd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.2923973369062254
mp-11711,Gd(BO2)3,2.21979322186176,0.277761955113847,Square-face bicapped square antiprism,1,2e,1,[5.1712104609175125],1.0,5.1712104609175125,AB3C6,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",SCAN,B-Gd-O,0.0220152023125,-3.153360601749999,2.758,3,Monoclinic,2/m,C2/c,metaborate,,,,,,B,O,,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.5089768240515555
mp-1173724,Na2Gd4NCl9O,2.1483992299477173,0.2172683018811159,"Square-face bicapped trigonal prism, Trigonal prism, Square antiprism",3,2a,1,"[1.575137543778113, 1.616711734273682, 1.806503340274651, 1.5413859817809201]",0.0,1.6349346500268416,ABC2D4E9,3,2,1,"[7.0, 8.0]","[1.0, 1.0]",7.5,7.0,8.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3,3,"Cl-, N3-, O2-","Alkali Metals, Halogens, Lanthanides, Nonmetals",GGA,Cl-Gd-N-Na-O,0.0,-2.638272210750508,2.1724,5,Monoclinic,2,P2_1,oxide,Na,,,,,,"C, N, O",Cl,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.2993728019029014
mp-1173782,Na3GdTi2Nb2O12,3.080109070787905,-0.6388843764444002,Square-face bicapped trigonal prism,1,1a,1,"[2.737469141936563, 2.72623007026158]",0.0,2.7318496060990713,AB2C2D3E12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Gd-Na-Nb-O-Ti,0.007742602916662,-3.12852022129023,2.0309,5,Orthorhombic,mm2,Pmc2_1,oxide,Na,,"Ti, Nb",,,,"N, O",,,Gd,,"B $\in$ [-1, -0.1]",Negative B,2.451966230045492
mp-1178246,Gd3(BiO4)2,2.219966250874616,0.2115740091574434,"Square-face capped trigonal prism, Trigonal prism",2,1a,1,"[8.201925534765726, 3.444206386219143, 3.408608228689937]",0.333,5.018246716558269,A2B3C8,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Gd-O,0.041861396923078,-2.64057776221153,0.0,3,Monoclinic,m,Cm,oxide,,,,,Bi,B,O,,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.3855794507276173
mp-1178271,Gd4As2O9,2.097415271459852,0.3660761911159943,"Octahedron, Square-face capped trigonal prism, Pentagonal bipyramid",3,4e,1,"[2.006800029949228, 4.396665663560471, 4.26511518204793, 2.931894370904522]",0.0,3.4001188116155383,A2B4C9,3,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,As-Gd-O,0.024571596999997,-2.965355323299991,2.243999999999999,3,Monoclinic,2/m,P2_1/c,oxide,,,,,,As,O,,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.412587438378585
