material_id,chem_formula,R$_0$,B,Ho_chemenv,num_Ho_chemenvs,Ho_wyckoff,num_Ho_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ho_sites,num_CN_env,num_charge_states,HoX_coordn,HoO_coordn,mean_coordn_Ho-X,min_coordn_Ho-X,max_coordn_Ho-X,mean_coordn_Ho-O,min_coordn_Ho-O,max_coordn_Ho-O,mean_Ho_charge,min_Ho_charge,max_Ho_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_HoO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1041103,HoMg(MoO3)2,1.5701151282132897,0.9088431209550005,Square-face bicapped trigonal prism,1,2a,1,[1.9509413525064399],0.0,1.9509413525064399,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.4789360959619344,GGA_U,Ho-Mg-Mo-O,0.046695613562498,-2.629172555499998,1.235199999999999,4,Monoclinic,m,Pc,oxide,None,Mg,Mo,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1041222,CaHoV2O6,0.8173960083839654,1.6780127937952856,Square-face bicapped trigonal prism,1,2a,1,[2.225372793229979],0.0,2.225372793229979,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.4332844523897332,GGA_U,Ca-Ho-O-V,0.0,-3.121268677499999,1.1093,4,Monoclinic,m,Pc,oxide,None,Ca,V,None,None,None,"H, C, O",None,None,Ho,None,B > 1,Positive B
mp-1041241,CaHo(MoO3)2,3.0550688774111765,-1.022360847656498,Square-face bicapped trigonal prism,1,2a,1,[2.171357360573389],0.0,2.171357360573389,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.3449868206533337,GGA_U,Ca-Ho-Mo-O,0.0,-2.773120962499998,1.3182,4,Monoclinic,m,Pc,oxide,None,Ca,Mo,None,None,None,"H, C, O",None,None,Ho,None,B < -1,Negative B
mp-1049290,CaHoTi2O6,1.003541190974704,1.0453495875318755,Square-face bicapped trigonal prism,1,2a,1,[2.332917985437828],0.0,2.332917985437828,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.4456538559816807,GGA,Ca-Ho-O-Ti,0.0037279687500200004,-3.5117420465833202,0.0,4,Orthorhombic,mm2,Pmn2_1,oxide,None,Ca,Ti,None,None,None,"H, C, O",None,None,Ho,None,B > 1,Positive B
mp-1101428,Rb3HoO3,1.9833552225427915,0.6171341858778923,Tetrahedron,1,4e,1,[1.634577921043448],0.0,1.634577921043448,AB3C3,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",2.1547034248507,GGA,Ho-O-Rb,0.024789447500000002,-2.205037612857142,2.1213,3,Monoclinic,2/m,P2_1/c,oxide,Rb,None,None,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1103778,HoWClO4,1.4836170898905512,0.9543206390093184,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[0.9356629499795721],0.0,0.9356629499795721,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2,2,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",2.418171604896548,GGA_U,Cl-Ho-O-W,0.026479883869058002,-2.753376812857141,3.4026,4,Monoclinic,2/m,C2/m,perchlorate,None,None,W,None,None,None,"H, C, O",Cl,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1104812,Ho3SbO3,1.593231743341113,1.050894385180568,"See-saw, Square non-coplanar",2,2i,1,"[1.1224562865500851, 0.9913695473646351, 0.45864638437162303]",0.0,0.8574907394287811,AB3C3,2,2,1,"[4.0, 4.0]","[4.0, 4.0]",4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2,2,O2-,"Lanthanides, Metalloids, Nonmetals",2.2910523287250144,GGA,Ho-O-Sb,0.034985179821428,-3.183069485714283,0.37469999999999903,3,Monoclinic,2/m,C2/m,oxide,None,None,None,None,None,Sb,"H, O, S",None,None,Ho,None,B > 1,Positive B
mp-1105194,Ho5(MoO6)2,2.255500536914173,0.0659787000881625,"Square-face capped trigonal prism, Octahedron",2,"2i, 1c",2,"[2.943101526635163, 3.7385168608866923, 0.8642477875758671]",0.0,2.515288725032574,A2B5C12,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.3132739892608063,r2SCAN,Ho-Mo-O,0.016708435986839,-3.337745712368419,0.0,3,Monoclinic,2/m,C2/m,oxide,None,None,Mo,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1105394,Sr2HoMoO6,2.1618798606442935,0.11216318341380709,Octahedron,1,2b,1,[0.05422933333651601],0.0,0.05422933333651601,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.239794789198457,GGA_U,Ho-Mo-O-Sr,0.0,-3.102579541999998,1.331999999999999,4,Monoclinic,2/m,P2_1/c,oxide,None,Sr,Mo,None,None,None,"H, O, S",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-11706,Ho2HgO4,2.033143855065955,0.3828554359484034,Square-face capped trigonal prism,1,2i,1,"[2.985976920484265, 3.8046649641877783]",0.0,3.3953209423360216,AB2C4,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.335880612444903,r2SCAN,Hg-Ho-O,0.0,-2.936359779642856,2.096899999999999,3,Monoclinic,2/m,C2/m,oxide,None,None,Hg,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
