material_id,chem_formula,R$_0$,B,I_chemenv,num_I_chemenvs,I_wyckoff,num_I_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_I_sites,num_CN_env,num_charge_states,IX_coordn,IO_coordn,mean_coordn_I-X,min_coordn_I-X,max_coordn_I-X,mean_coordn_I-O,min_coordn_I-O,max_coordn_I-O,mean_I_charge,min_I_charge,max_I_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_IO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1105366,KAu(IO3)4,2.129097307677077,0.5867512755372164,Triangular non-coplanar,1,2c,1,"[0.8496352326441311, 1.6273954277696552]",0.0,1.2385153302068932,ABC4D12,1,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",1.9578359834832468,GGA,Au-I-K-O,0.0035410866666660003,-0.9127745626250001,2.117199999999999,4,Monoclinic,2,C2,iodate,K,None,Au,None,None,None,O,I,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1105854,CsAu(IO3)4,2.1720335050630704,0.6817562597513821,Triangular non-coplanar,1,2c,1,"[1.357720666875263, 0.799488578100295]",0.0,1.078604622487779,ABC4D12,1,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",1.9655471432516738,GGA,Au-Cs-I-O,0.0071843888888890005,-0.9105916060919531,2.0493,4,Monoclinic,2,C2,iodate,Cs,None,Au,None,None,None,"C, O",I,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1106050,NaSr2IO6,1.8864881405754683,0.05901472446506025,Octahedron,1,2a,1,[0.0017154333119620002],0.0,0.0017154333119620002,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals",1.877406812919082,r2SCAN,I-Na-O-Sr,0.0,-2.21836309013794,2.563,4,Monoclinic,2/m,P2_1/c,hypoiodite,Na,Sr,None,None,None,None,"N, O, S",I,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1106270,BaPd(IO3)4,2.1400475622956985,0.5948848722318874,Triangular non-coplanar,1,1a,1,"[1.076309563257798, 1.247965007036166, 1.6033481518200081, 0.6655928241026341]",0.0,1.1483038865541515,ABC4D12,1,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",1.9076618841744266,GGA,Ba-I-O-Pd,0.0,-1.160546170555555,1.905799999999999,4,Triclinic,1,P1,iodate,None,Ba,Pd,None,None,B,"O, P",I,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1181371,H5IO6,1.9358727992641582,0.1600051055866576,Octahedron,1,2a,1,"[0.16552546743066301, 0.21291373469931002]",0.0,0.18921960106498653,AB5C6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,1,1,O2-,"Halogens, Nonmetals",1.9129204345442876,GGA,H-I-O,0.027321470208332,-0.9933151696874991,2.2095000000000002,3,Monoclinic,2,P2_1,hypoiodite,None,None,None,None,None,None,"H, O",I,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1188141,RbAu(IO3)4,2.1512678139156285,0.6386976171955517,Triangular non-coplanar,1,2c,1,"[1.524795285588981, 0.8236883164508311]",0.0,1.174241801019906,ABC4D12,1,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",1.957830407741015,GGA,Au-I-O-Rb,0.0,-0.913650205972222,2.1073,4,Monoclinic,2,C2,iodate,Rb,None,Au,None,None,None,O,I,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1188623,NaPb2IO6,1.8608456554338215,-0.1398095281366271,Octahedron,1,2d,1,[0.014203686918691002],0.0,0.014203686918691002,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals",1.8823583157717438,r2SCAN,I-Na-O-Pb,0.0,-1.117527479249997,2.5426,4,Monoclinic,2/m,P2_1/c,hypoiodite,Na,None,None,None,Pb,None,"N, O, P",I,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1188818,NaAu(IO3)4,2.185208652627987,0.659973256125127,Triangular non-coplanar,1,1a,1,"[1.918766307143588, 1.162164980927673, 1.4663414104871602, 0.7485256914923271]",0.0,1.3239495975126871,ABC4D12,1,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",1.9660242898320155,GGA,Au-I-Na-O,0.005154522777777001,-0.483145271388887,2.104199999999999,4,Triclinic,1,P1,iodate,Na,None,Au,None,None,None,"N, O",I,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1189407,NaCa2IO6,1.9160268508057203,0.05663909439295549,Octahedron,1,2a,1,[0.012835777315573001],0.0,0.012835777315573001,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Nonmetals",1.9073104837634134,GGA,Ca-I-Na-O,0.0,-2.223389057637931,2.6721999999999992,4,Monoclinic,2/m,P2_1/c,hypoiodite,Na,Ca,None,None,None,None,"C, N, O",I,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1190901,VZn2IO7,2.1885049279794098,1.0505393775481986,See-saw,1,2a,1,[2.037232503211178],0.0,2.037232503211178,ABC2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",1.9663205841473044,GGA_U,I-O-V-Zn,0.002066880681818,-1.678447349090908,2.7456,4,Monoclinic,m,Pc,hypoiodite,None,None,"V, Zn",None,None,None,O,I,None,None,None,B > 1,Positive B
mp-1191266,BiIO4,1.849688856755105,0.033837371746399184,See-saw,1,4a,1,[2.235312862530071],0.0,2.235312862530071,ABC4,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Post-Transition Metals",1.8327492399578744,r2SCAN,Bi-I-O,0.0,-0.844808343749999,2.3939999999999992,3,Orthorhombic,mm2,Pca2_1,periodate,None,None,None,None,Bi,B,O,I,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
