material_id,chem_formula,R$_0$,B,In_chemenv,num_In_chemenvs,In_wyckoff,num_In_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_In_sites,num_CN_env,num_charge_states,mean_coordn_In-X,min_coordn_In-X,max_coordn_In-X,mean_coordn_In-O,min_coordn_In-O,max_coordn_In-O,mean_In_charge,min_In_charge,max_In_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_InO_BondL,InX_coordn,InO_coordn
mp-1006588,Zn3In2O6,1.8749125267093785,0.6103925088662606,"Octahedron, Trigonal bipyramid",2,"2e, 2a",2,"[1.439650704564156, 0.6339708975247854, 1.3357063224633792, 1.523584303661893]",0.0,1.2332280570535534,A2B3C6,2,2,1,5.5,5.0,6.0,5.5,5.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-O-Zn,0.0373912874999984,-1.7082563789772716,1.2857999999999996,3,Monoclinic,2/m,P2_1/m,oxide,,,Zn,,In,,O,I,,,,"B $\in$ [0.5, 1]",Positive B,2.226060613235584,"[5.0, 6.0]","[5.0, 6.0]"
mp-1078748,Sr2TaInO6,2.2000821112035305,-0.0294214877830623,Octahedron,1,1a,1,[0.031385641767018274],0.0,0.031385641767018274,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-O-Sr-Ta,0.0048899575000005,-3.092051350899999,3.7911000000000006,4,Monoclinic,2/m,C2/m,oxide,,Sr,Ta,,In,,"O, S",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1794946788341,[6.0],[6.0]
mp-1086666,Sr2TaInO6,2.205896411712565,-0.0434744276638131,Octahedron,1,1a,1,[0.0003831448533243788],0.0,0.0003831448533243788,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-O-Sr-Ta,0.0097289114999989,-3.0872123969,3.9308,4,Tetragonal,4/m,I4/m,oxide,,Sr,Ta,,In,,"O, S",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.17555969174724,[6.0],[6.0]
mp-1105130,PrInO3,2.194222986913104,-0.0217530488868402,Octahedron,1,4b,1,[0.07572423967864704],0.0,0.07572423967864704,ABC3,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Post-Transition Metals",R2SCAN,In-O-Pr,0.0,-2.765960633833333,2.6335999999999995,3,Orthorhombic,mmm,Pnma,oxide,,,,,In,,"O, P",I,,Pr,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1726130914791786,[6.0],[6.0]
mp-1105143,NaIn(GeO3)2,1.8774763558262928,0.474670071010692,Octahedron,1,4e,1,[0.6693080767704861],0.0,0.6693080767704861,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals",R2SCAN,Ge-In-Na-O,0.0,-2.127569738655173,2.3627,4,Monoclinic,2/m,C2/c,oxide,Na,,,,In,Ge,"N, O",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1882448452551126,[6.0],[6.0]
mp-1105283,Sr2InOsO6,2.141047301739468,0.0596889380702998,Octahedron,1,2a,1,[0.012529144486814896],0.0,0.012529144486814896,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-O-Os-Sr,0.0,-2.358914648166665,0.4721999999999999,4,Monoclinic,2/m,P2_1/c,oxide,,Sr,Os,,In,,"O, S",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.18251018083297,[6.0],[6.0]
mp-1105721,NaCr2In(H2O5)2,2.4300385581708435,-0.3894038766227229,Octahedron,1,1a,1,[0.11692806441176119],0.0,0.11692806441176119,ABC2D4E10,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Cr-H-In-Na-O,0.0,-1.6264355087803324,2.6817,5,Monoclinic,2/m,C2/m,oxide,Na,,Cr,,In,,"H, C, N, O",I,,,,"B $\in$ [-1, -0.1]",Negative B,2.1600138349591043,[6.0],[6.0]
mp-11623,LaInO3,2.204062253030519,-0.0361148417800257,Octahedron,1,4b,1,[0.06960493517768912],0.0,0.06960493517768912,ABC3,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Post-Transition Metals",R2SCAN,In-La-O,0.0,-2.8318560289999994,2.7507,3,Orthorhombic,mmm,Pnma,oxide,,,,,In,,O,I,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1749738042878763,[6.0],[6.0]
mp-1173705,NaCdIn2(PO4)3,1.8609183950769967,0.4775525222056825,Octahedron,1,4f,1,[1.8761535961431814],0.0,1.8761535961431814,ABC2D3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Cd-In-Na-O-P,0.0,-2.4555089601916418,3.0268000000000006,5,Monoclinic,2/m,C2/c,phosphate,Na,,Cd,,In,,"C, N, O, P",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.188020609174778,[6.0],[6.0]
mp-1173861,Na3Mg4InSi8(O11F)2,1.8022577711213263,0.5363635690506523,Octahedron,1,1a,1,[0.5958407851886907],0.0,0.5958407851886907,AB2C3D4E8F22,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Post-Transition Metals",GGA,F-In-Mg-Na-O-Si,0.0,-3.110149594770115,4.0872,6,Triclinic,1,P1,fluoride,Na,Mg,,,In,Si,"N, O, S","F, I",,,,"B $\in$ [0.5, 1]",Positive B,2.18112638551946,[6.0],[6.0]
mp-1188515,Ca2InOsO6,2.182488146291171,0.0109375232064938,Octahedron,1,2b,1,[0.061989794843366926],0.0,0.061989794843366926,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Ca-In-O-Os,0.0121223397500029,-2.383752612666666,0.1694999999999993,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,Os,,In,,"C, O",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.190085336508393,[6.0],[6.0]
mp-1188700,InAsH2O5,2.087639642182083,0.1397301317400874,Octahedron,1,2i,1,[0.763766870017819],0.0,0.763766870017819,ABC2D5,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Post-Transition Metals",GGA,As-H-In-O,0.0,-1.6492894404629628,2.1239,4,Triclinic,-1,P-1,oxide,,,,,In,As,"H, O",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1927707502065403,[6.0],[6.0]
mp-1190108,Sr2TaInO6,2.1731564459528894,0.0185807285029467,Octahedron,1,2a,1,[0.019162949654624263],0.0,0.019162949654624263,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-O-Sr-Ta,0.0,-3.0969413083999995,3.9813,4,Monoclinic,2/m,P2_1/c,oxide,,Sr,Ta,,In,,"O, S",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.186063258794171,[6.0],[6.0]
