material_id,chem_formula,R$_0$,B,K_chemenv,num_K_chemenvs,K_wyckoff,num_K_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_K_sites,num_CN_env,num_charge_states,KX_coordn,KO_coordn,mean_coordn_K-X,min_coordn_K-X,max_coordn_K-X,mean_coordn_K-O,min_coordn_K-O,max_coordn_K-O,mean_K_charge,min_K_charge,max_K_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_KO_BondL
mp-1003437,KMn2O4,3.302022142167254,-0.1705225263486377,Square-face bicapped trigonal prism,1,4g,1,"[6.939144462890207, 6.725268781811483]",1.0,6.832206622350845,AB2C4,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-Mn-O,0.018348749107142,-1.946882369908867,0.9303,3,Monoclinic,2/m,P2/c,oxide,K,,Mn,,,,O,,,,,"B $\in$ [-1, -0.1]",Negative B,2.8603233451318024
mp-1003764,K3Mn4O8,1.5698617360897575,0.6335430535368008,"Trigonal prism, Square-face capped trigonal prism",2,1a,1,"[7.226228925480109, 2.623121270858856, 2.565272552365201, 2.707591350857375, 2.8396985249738433, 2.338932273238053, 2.802042672889943, 3.012937603919052, 3.166830247568428, 3.940343476630035, 2.954937916185579, 1.990386671692901]",0.083,3.1806936238882813,A3B4C8,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,K-Mn-O,0.0,-1.955604567398289,0.487499999999999,3,Triclinic,1,P1,oxide,K,,Mn,,,,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.7077755373262615
mp-1016190,KMn3O6,1.982733388346805,0.4512384157494892,Octahedron,1,4f,1,[11.490653388862649],1.0,11.490653388862649,AB3C6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,K-Mn-O,0.0,-1.965370852104309,1.198599999999999,3,Monoclinic,2/m,C2/c,oxide,K,,Mn,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.81501216466307
mp-1019744,K2Al2Si3O10,3.419686355164411,-0.2314740873967161,Square antiprism,1,4b,1,[8.588854353344985],1.0,8.588854353344985,A2B2C3D10,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-K-O-Si,0.017998480955885,-3.190578273205883,4.3747,4,Orthorhombic,mm2,Fdd2,oxide,K,,,,Al,Si,"O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,2.995811789789362
mp-1019745,K2Ca3Si3O10,2.9686523116213346,0.0540551492622426,Square-face bicapped square antiprism,1,4f,1,[7.423665792035826],1.0,7.423665792035826,A2B3C3D10,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ca-K-O-Si,0.009612258333333,-3.194926496083334,4.7685,4,Monoclinic,2/m,C2/c,oxide,K,Ca,,,,Si,"C, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.943246519867439
mp-1019746,K2Ca4Si8O21,2.758643519113389,0.1203447895212291,Tricapped octahedron (all 3 cap faces share one atom),1,2i,1,[6.77803065841134],1.0,6.77803065841134,A2B4C8D21,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ca-K-O-Si,0.0,-3.287697046557144,4.594,4,Triclinic,-1,P-1,oxide,K,Ca,,,,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.0164637979114315
mp-1019774,K2CeAl(SiO3)4,2.836894427414781,0.0929469478632591,"Bicapped square prism (adjacent faces), Tridiminished icosahedron",2,4f,1,"[6.187953550652532, 8.994899021567896]",1.0,7.591426286110214,ABC2D4E12,2,2,1,"[5.0, 7.0]","[5.0, 7.0]",6.0,5.0,7.0,6.0,5.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ce-K-O-Si,0.0,-3.260349144725,0.170799999999999,5,Monoclinic,2/m,C2/c,oxide,K,,,,Al,Si,"C, O, S",,,Ce,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.022051104354965
mp-1019777,K2La2B2O7,2.7175491600633466,0.070997388241133,"Pentagonal bipyramid, Square-face capped trigonal prism",2,4e,1,"[4.146811004318017, 5.412731261230137]",0.5,4.779771132774076,A2B2C2D7,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,B-K-La-O,0.0,-3.148412294641026,4.2792,4,Monoclinic,2/m,P2_1/c,oxide,K,,,,,B,O,,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.8095324729994493
mp-1019779,K2Mg2Si2O7,2.531477205814415,0.1259775922514563,Tridiminished icosahedron,1,2d,1,[5.131157080130208],1.0,5.131157080130208,A2B2C2D7,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,K-Mg-O-Si,0.034885138397437,-2.92937610226923,4.9573,4,Trigonal,-3m,P-31m,oxide,K,Mg,,,,Si,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.836792013340684
mp-1019781,K2Na3P3O10,1.9045294492435143,0.554708747824282,Square-face capped square prism,1,4f,1,[7.335905894807153],1.0,7.335905894807153,A2B3C3D10,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",GGA,K-Na-O-P,0.0,-2.638942295142583,4.3865,4,Monoclinic,2/m,C2/c,oxide,"Na, K",,,,,,"N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.9766840167536506
