material_id,chem_formula,R$_0$,B,La_chemenv,num_La_chemenvs,La_wyckoff,num_La_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_La_sites,num_CN_env,num_charge_states,mean_coordn_La-X,min_coordn_La-X,max_coordn_La-X,mean_coordn_La-O,min_coordn_La-O,max_coordn_La-O,mean_La_charge,min_La_charge,max_La_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_LaO_BondL,LaX_coordn,LaO_coordn
mp-1019777,K2La2B2O7,2.163751784242512,0.4289839788638591,"Square antiprism, Square-face bicapped trigonal prism",2,4e,1,"[1.9813568847954925, 4.907141271071561]",0.0,3.444249077933527,A2B2C2D7,2,1,1,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,B-K-La-O,0.0,-3.14609544675641,4.2027,4,Monoclinic,2/m,P2_1/c,oxide,K,,,,,B,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.564530433691557,[8.0],[8.0]
mp-1019793,K3La(PO4)2,2.781798441931577,-0.2955730460506519,Square-face capped trigonal prism,1,2e,1,[1.666286670451157],0.0,1.666286670451157,AB2C3D8,1,1,1,7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,K-La-O-P,0.0,-2.987833206502551,4.2235,4,Monoclinic,2/m,P2_1/m,phosphate,K,,,,,,"O, P",,,La,,"B $\in$ [-1, -0.1]",Negative B,2.513858156165362,[7.0],[7.0]
mp-1019892,La2B8O15,2.135113193282106,0.4746316398751951,Diminished icosahedron,1,4g,1,[4.928290578082266],0.0,4.928290578082266,A2B8C15,1,1,1,11.0,11.0,11.0,11.0,11.0,11.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,B-La-O,0.0229397119999941,-3.1032734300333336,4.385699999999999,3,Monoclinic,2/m,P2/c,oxide,,,,,,B,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.699733924749545,[11.0],[11.0]
mp-1019894,La4B10O21,2.2703825316158674,0.3304706204178755,"Square-face bicapped square antiprism, Pentagonal-face capped pentagonal antiprism",2,4e,1,"[3.457397097298008, 5.530933871968498, 5.516186765806676, 4.988104250348306]",0.5,4.8731554963553725,A4B10C21,2,2,1,10.5,10.0,11.0,10.5,10.0,11.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,B-La-O,0.0126719129428565,-3.226844270404763,4.139400000000001,3,Monoclinic,2/m,P2_1/c,oxide,,,,,,B,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.677023985602495,"[10.0, 11.0]","[10.0, 11.0]"
mp-1019895,La3BN2O3,2.006380072799721,0.579300132548101,"Square antiprism, Square-face bicapped trigonal prism",2,4c,1,"[2.4088371184489845, 2.9119253385807213, 2.5274156052249737]",0.0,2.6160593540848933,AB2C3D3,2,2,1,8.0,8.0,8.0,4.5,4.0,5.0,3.0,3.0,3.0,2.0,2,2,"N3-, O2-","Lanthanides, Metalloids, Nonmetals",GGA,B-La-N-O,0.0345284932870413,-2.810789522962964,1.2114000000000011,4,Orthorhombic,mmm,Pnma,oxide,,,,,,B,"N, O",,,La,,"B $\in$ [0.5, 1]",Positive B,2.5979603317440527,[8.0],"[4.0, 5.0]"
mp-1019896,La5S4NO2,2.43020650787395,0.0036545954864614,"Square antiprism, Square-face capped trigonal prism, Face-capped octahedron, Trigonal prism",4,2i,1,"[2.3078598799104775, 1.7287024443541072, 1.0892987451152192, 0.9654294258757745, 3.171606447000937]",0.0,1.8525793884513029,AB2C4D5,4,5,1,7.0,6.0,8.0,2.6666666666666665,0.0,4.0,3.0,3.0,3.0,2.0,2,2,"S2-, N3-, O2-","Lanthanides, Nonmetals",GGA,La-N-O-S,0.0043873808333296,-2.827166983333333,1.3743,4,Monoclinic,2/m,C2/m,nitrite,,,,,,,"N, O, S",,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.424255673730977,"[8.0, 6.0, 7.0]","[0, 1.0, 3.0, 4.0]"
mp-1019968,LaZn(BO2)5,2.0426557230921865,0.4778613152946868,Square-face bicapped square antiprism,1,4e,1,[4.492144194781347],0.0,4.492144194781347,ABC5D10,1,1,1,10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,B-La-O-Zn,0.0046921148529257,-2.9330752157843145,4.4971,4,Monoclinic,2/m,P2_1/c,metaborate,,,Zn,,,B,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.6227078753128104,[10.0],[10.0]
mp-1020057,LiLaO2,2.4133196232328347,0.1739038413529183,Square-face capped trigonal prism,1,4e,1,[1.664987593166779],0.0,1.664987593166779,ABC2,1,1,1,7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,La-Li-O,0.0230295821874992,-3.1703738514583337,3.7336,3,Monoclinic,2/m,P2_1/c,oxide,Li,,,,,,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.513442831236282,[7.0],[7.0]
mp-1020648,NaLaSiO4,2.5852689873008536,-0.0311349930217086,"Square antiprism, Dodecahedron with triangular faces - p2345 plane normalized",2,4a,1,"[1.7512306510788647, 1.7542861374694536, 2.5499518966524306]",0.0,2.018489561733583,ABCD4,2,1,1,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,La-Na-O-Si,0.0,-3.3167264155541867,4.454600000000001,4,Orthorhombic,mm2,Pna2_1,silicate,Na,,,,,Si,"N, O, S",,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.553325708689252,[8.0],[8.0]
mp-10320,La2MgRhO6,1.4265870622017205,1.3189611729476174,Square-face bicapped trigonal prism,1,4e,1,[2.5399480957208525],0.0,2.5399480957208525,ABC2D6,1,1,1,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,La-Mg-O-Rh,0.0,-2.9405872455000006,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Rh,,,,O,,,La,,B > 1,Positive B,2.5872018275782085,[8.0],[8.0]
mp-10321,La2ZnRhO6,1.311091552546308,1.4268597672583083,Square-face bicapped trigonal prism,1,4e,1,[2.1234862668008923],0.0,2.1234862668008923,ABC2D6,1,1,1,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,La-O-Rh-Zn,0.0,-2.6604108955,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,"Zn, Rh",,,,O,,,La,,B > 1,Positive B,2.578308981330346,[8.0],[8.0]
mp-1040126,LiLaMg30O32,2.2178258647934213,0.1256469031397427,Octahedron,1,1b,1,[0.0004251450434500018],0.0,0.0004251450434500018,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Lanthanides, Nonmetals",GGA,La-Li-Mg-O,0.0467686847070316,-2.999216977942708,4.0042,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,,,,,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.305008923294667,[6.0],[6.0]
mp-1040140,LiLaMg30O32,1.954012948861712,0.5068339055101483,Octahedron,1,1c,1,[0.00037855633742122036],0.0,0.00037855633742122036,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Lanthanides, Nonmetals",GGA,La-Li-Mg-O,0.045185827519532,-3.0007998351302074,4.23,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,,,,,O,,,La,,"B $\in$ [0.5, 1]",Positive B,2.305346799853667,[6.0],[6.0]
mp-1040806,CaLaTaCrO6,1.151030337711251,1.6540010646078778,Square-face bicapped trigonal prism,1,4a,1,[2.8806758916841617],0.0,2.8806758916841617,ABCDE6,1,1,1,7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Cr-La-O-Ta,0.0351453208749905,-3.2892409059833327,1.9194000000000004,5,Monoclinic,m,Pc,oxide,,Ca,"Cr, Ta",,,,"C, O",,,La,,B > 1,Positive B,2.5474061864441286,[7.0],[7.0]
