material_id,chem_formula,R$_0$,B,Mn_chemenv,num_Mn_chemenvs,Mn_wyckoff,num_Mn_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Mn_sites,num_CN_env,num_charge_states,MnX_coordn,MnO_coordn,mean_coordn_Mn-X,min_coordn_Mn-X,max_coordn_Mn-X,mean_coordn_Mn-O,min_coordn_Mn-O,max_coordn_Mn-O,mean_Mn_charge,min_Mn_charge,max_Mn_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_MnO_BondL
mp-1002571,NaMn2O4,1.7080744756528072,0.607126891848678,Octahedron,1,"1a, 1e",2,"[0.6683867368335961, 1.322436078739249]",0.0,0.9954114077864226,AB2C4,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mn-Na-O,0.00513630107142,-1.973025846748768,0.5661,3,Triclinic,-1,P-1,oxide,Na,,Mn,,,,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.012371328025745
mp-1003312,KMn4O8,1.7888389299122305,0.4043561079681576,Octahedron,1,"1c, 1d, 2f",3,"[0.7282066323999301, 0.9549082046401751, 1.41919175437894]",0.0,1.0341021971396818,AB4C8,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,K-Mn-O,0.006818451410312,-1.936672633767241,0.1931,3,Monoclinic,2/m,C2/m,oxide,K,,Mn,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9933409135956568
mp-1003313,Li2Mn3O6,1.5764478519579097,0.9359410515508916,Octahedron,1,"2a, 4i",2,"[0.211611576749051, 1.6746905633681601]",0.0,0.9431510700586055,A2B3C6,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O,0.04418623909091,-2.060895768223616,0.0487,3,Monoclinic,2/m,C2/m,oxide,Li,,Mn,,,,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.019632509412956
mp-1003314,KMn2O4,1.6860056947311342,0.5848509970331629,Octahedron,1,"1a, 1e",2,"[0.749749719229698, 1.409603008579725]",0.0,1.0796763639047116,AB2C4,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,K-Mn-O,0.000468158571428,-1.964762960444581,0.435699999999999,3,Triclinic,-1,P-1,oxide,K,,Mn,,,,O,,,,,"B $\in$ [0.5, 1]",Positive B,1.977731698524949
mp-1003315,LiMn4O8,1.858658226815756,0.2183708092281747,Octahedron,1,4e,1,"[0.394425762600142, 0.8331436137973801, 0.7448397985683881, 0.666303960514675]",0.0,0.6596782838701463,AB4C8,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O,0.034245027826923,-1.923153954042882,0.1557,3,Monoclinic,2/m,P2_1/c,oxide,Li,,Mn,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.974087356143766
mp-1003316,KMn4O8,1.752481146917966,0.3646672837151948,Octahedron,1,4h,1,[0.56737587094608],0.0,0.56737587094608,AB4C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.75,3.75,3.75,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,K-Mn-O,0.007819124487236,-1.935671960690318,0.0,3,Tetragonal,4/m,I4/m,oxide,K,,Mn,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9226864392687049
mp-1003317,Mn3HO6,1.928635079438082,0.0771117532413889,Octahedron,1,1a,1,"[0.5185838287465501, 0.874881703061521, 0.673148165964901]",0.0,0.6888712325909907,AB3C6,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,H-Mn-O,0.03371158980208,-1.755285574504311,0.0,3,Monoclinic,m,Cm,oxide,,,Mn,,,,"H, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9736545172535749
mp-1003318,CaMn16O32,1.8631622394834264,0.1811734449959633,Octahedron,1,"1a, 2c, 1b",3,"[0.784448932747954, 0.384930388582916, 0.7402065942098021, 0.7136019446192731, 0.44923926740544906, 0.819739423330459, 0.6567937299623301, 0.700033123667393, 0.7050558460502541, 0.6756275787224171, 0.715891163716992, 0.6719599003505871]",0.0,0.6681273244471521,AB16C32,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mn-O,0.01762879895832,-1.9032839466713591,0.0,3,Monoclinic,m,Pm,oxide,,Ca,Mn,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.96475752147762
mp-1003319,CaMn8O16,1.8582305807625576,0.2126139945877026,Octahedron,1,2a,1,"[0.8536490403906921, 0.40329536681944406, 0.699330481761199, 0.6789613408936881, 0.37929739526377204, 0.921859621024915, 0.672723148418336, 0.743630654478533]",0.0,0.6690933811313224,AB8C16,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mn-O,0.016818115424978,-1.998544058937932,0.124499999999999,3,Monoclinic,m,Pc,oxide,,Ca,Mn,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9754684115761891
mp-1003403,Mn8HO16,1.8677127143256664,0.1784861208199362,Octahedron,1,2a,1,"[0.7509890053508511, 0.7421590784247011, 0.930839459812234, 0.656442023618233, 0.913922983192692, 0.505998805835965, 0.7262805184198301, 0.7152634749925161]",0.0,0.7427369187058779,AB8C16,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,H-Mn-O,0.026770354554162,-1.782345265587932,0.2828,3,Monoclinic,m,Pc,oxide,,,Mn,,,,"H, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.968415482782333
