material_id,chem_formula,R$_0$,B,Mo_chemenv,num_Mo_chemenvs,Mo_wyckoff,num_Mo_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Mo_sites,num_CN_env,num_charge_states,MoX_coordn,MoO_coordn,mean_coordn_Mo-X,min_coordn_Mo-X,max_coordn_Mo-X,mean_coordn_Mo-O,min_coordn_Mo-O,max_coordn_Mo-O,mean_Mo_charge,min_Mo_charge,max_Mo_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_MoO_BondL
mp-1012668,LiMo2P2O9,2.1673414706368863,-0.1166957145533666,Octahedron,1,"4c, 4a",2,"[1.039074810596919, 0.82239273771358]",0.0,0.9307337741552495,AB2C2D9,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mo-O-P,0.020993366607148,-2.441558773937076,1.8104,4,Orthorhombic,mmm,Pnma,oxide,Li,,Mo,,,,"O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,2.115309294648101
mp-1012678,NaMo3P3O13,2.058290065089308,0.0890246675799636,"Square pyramid, Octahedron",2,"2a, 2e",2,"[1.835603356432407, 0.6188665331905441, 0.8844268201290221]",0.0,1.1129655699173242,AB3C3D13,2,2,2,"[6.0, 5.0]","[6.0, 5.0]",5.5,5.0,6.0,5.5,5.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mo-Na-O-P,0.004734013291665,-2.417425916265394,1.5094999999999992,4,Monoclinic,2/m,P2_1/m,oxide,Na,,Mo,,,,"N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1185442105601116
mp-1013843,NaMo2P2O9,2.1850115960676684,-0.1405455005384922,Octahedron,1,"4c, 4a",2,"[0.8726079280930811, 0.993757019569909]",0.0,0.9331824738314951,AB2C2D9,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mo-Na-O-P,0.0,-2.451610620047502,1.807599999999999,4,Orthorhombic,mmm,Pnma,oxide,Na,,Mo,,,,"N, O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,2.117270791763188
mp-1013898,LiMo3P3O13,2.060252583288307,0.085237927179587,"Square pyramid, Octahedron",2,"2a, 2e",2,"[1.329045255288587, 0.6976344576615471, 0.779467299510274]",0.0,0.9353823374868027,AB3C3D13,2,2,2,"[6.0, 5.0]","[6.0, 5.0]",5.5,5.0,6.0,5.5,5.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mo-O-P,0.019016679791665,-2.410802314113096,1.238999999999999,4,Monoclinic,2/m,P2_1/m,oxide,Li,,Mo,,,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1178217715843557
mp-1040870,MgMo2P2O9,1.9888991153634272,0.2314615975960894,Octahedron,1,"4c, 4a",2,"[2.680512086283583, 2.050401976166406]",0.0,2.3654570312249943,AB2C2D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Mo-O-P,0.027840993829364,-2.4801578845918373,2.616799999999999,4,Orthorhombic,mmm,Pnma,oxide,,Mg,Mo,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.154339375960637
mp-1040876,CaMo2P2O9,1.929966221977084,0.3343273217538528,Octahedron,1,"4c, 4a",2,"[1.885129862371723, 1.809486394359281]",0.0,1.847308128365502,AB2C2D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mo-O-P,0.0,-2.647682957627552,2.7872999999999992,4,Orthorhombic,mmm,Pnma,oxide,,Ca,Mo,,,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.163402275736554
mp-1040930,Mo2P2O9,1.9625800593649545,0.2784023229731575,Octahedron,1,"4c, 4a",2,"[1.082749106399631, 1.090329304780737]",0.0,1.0865392055901841,A2B2C9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mo-O-P,0.030462025384613,-2.363916358214286,1.6233,3,Orthorhombic,mmm,Pnma,oxide,,,Mo,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.074414832366605
mp-1041036,ZnMo2P2O9,2.069473515653188,0.115665061183728,Octahedron,1,"4c, 4a",2,"[2.218428754005742, 1.427663478565513]",0.0,1.8230461162856275,AB2C2D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mo-O-P-Zn,0.038958647400796,-2.257001605663265,1.2143,4,Orthorhombic,mmm,Pnma,oxide,,,"Zn, Mo",,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.15340893077803
mp-1041103,HoMg(MoO3)2,2.128071875477091,-0.0155364023964794,Octahedron,1,2a,1,"[0.236402044358506, 0.28024662495553404]",0.0,0.25832433465702004,ABC2D6,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ho-Mg-Mo-O,0.046695613562498,-2.629172555499998,1.235199999999999,4,Monoclinic,m,Pc,oxide,,Mg,Mo,,,,"H, O",,,Ho,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.119272353927095
mp-1041241,CaHo(MoO3)2,2.265144340691454,-0.2629705301057732,Octahedron,1,2a,1,"[0.21760272697056102, 0.22861313171104103]",0.0,0.22310792934080104,ABC2D6,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Ho-Mo-O,0.0,-2.773120962499998,1.3182,4,Monoclinic,m,Pc,oxide,,Ca,Mo,,,,"H, C, O",,,Ho,,"B $\in$ [-1, -0.1]",Negative B,2.120405223669496
mp-1041428,ZnMo3P3O13,2.0585927687246,0.1241266307731771,"Square pyramid, Octahedron",2,"2a, 2e",2,"[1.478102884764533, 1.163472331605811, 0.8179160987046231]",0.0,1.1531637716916558,AB3C3D13,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mo-O-P-Zn,0.045766554972222,-2.267438117696429,0.397699999999999,4,Monoclinic,2/m,P2_1/m,oxide,,,"Zn, Mo",,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1463043456191913
mp-1041465,MgMo3P3O13,2.0151206001075765,0.1966203253961634,"Square pyramid, Octahedron",2,"2a, 2e",2,"[1.4261812705292831, 1.6798994175682802, 0.908813885408937]",0.0,1.3382981911688334,AB3C3D13,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Mo-O-P,0.04107028172222,-2.420561428696429,1.406899999999999,4,Monoclinic,2/m,P2_1/m,oxide,,Mg,Mo,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.145756558183588
mp-1042245,Ca(MoO2)2,1.93748346307856,0.3760427289681286,Octahedron,1,"4d, 4e",2,"[0.5600555550900951, 0.703679432777996]",0.0,0.6318674939340456,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mo-O,0.044656399285708,-2.259518095714285,2.0208,3,Orthorhombic,mmm,Pmmn,oxide,,Ca,Mo,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1925374154027617
mp-1042328,YMo(WO4)2,2.037991190829794,0.2084349845321157,Octahedron,1,2e,1,[0.66233052789919],0.0,0.66233052789919,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mo-O-W-Y,0.01357942322917,-2.484737683749999,1.8828,4,Monoclinic,2/m,P2/c,oxide,,,"Y, Mo, W",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.184014413720124
mp-1042794,MoAs2O7,1.924149214747985,0.3434003241165186,Trigonal bipyramid,1,4e,1,[1.86456623253829],0.0,1.86456623253829,AB2C7,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",r2SCAN,As-Mo-O,0.036485012999999,-1.6909678049999992,3.0129,3,Monoclinic,2/m,P2_1/c,oxide,,,Mo,,,As,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8765490571787105
mp-1042855,Ca2Mo3O8,1.939215289793638,0.3900795268219973,Octahedron,1,6c,1,[1.4237744546607751],0.0,1.4237744546607751,A2B3C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mo-O,0.030506312692306,-2.450912374230769,1.6928,3,Hexagonal,6mm,P6_3mc,oxide,,Ca,Mo,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.09554413741656
mp-1042928,Fe2(MoO4)3,1.923541253778116,0.3052522244967272,Tetrahedron,1,2i,1,"[0.40237397932836705, 0.082089889497583, 0.06676897335198201]",0.0,0.18374428072597734,A2B3C12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA_U,Fe-Mo-O,0.047272335441178,-1.850245995,2.437599999999999,3,Triclinic,-1,P-1,oxide,,,"Fe, Mo",,,,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8032530272132814
mp-1043118,Cu3(MoO3)4,2.094137659508584,-0.1449525563469065,Octahedron,1,"1d, 1h, 1c, 1b",4,"[0.084739765047689, 0.08663293650843701, 0.105542874241367, 0.12003324661603201]",0.0,0.09923720560338126,A3B4C12,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Cu-Mo-O,0.012061786240605,-1.648708938947369,0.542399999999999,3,Trigonal,-3,R-3,oxide,,,"Cu, Mo",,,,"C, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.015766381890052
mp-1043472,NiMoP2O9,1.951246111542472,0.4046792976688119,Octahedron,1,4c,1,[1.114607163559692],0.0,1.114607163559692,ABC2D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mo-Ni-O-P,0.043649754519221,-2.205641923791208,1.4081,4,Orthorhombic,mmm,Pnma,oxide,,,"Ni, Mo",,,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9528845363771794
mp-1043759,CaNiMoP2O9,1.8750705302160289,0.4704643944333024,Octahedron,1,4c,1,[1.057603550092627],0.0,1.057603550092627,ABCD2E9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mo-Ni-O-P,0.001701712440439,-2.573872554948979,1.6824,5,Orthorhombic,mmm,Pnma,oxide,,Ca,"Ni, Mo",,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.074574703285134
mp-1044000,CaLaFeMoO6,1.9116005740821929,0.3906669482720607,Octahedron,1,2a,1,[0.082634415285237],0.0,0.082634415285237,ABCDE6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Fe-La-Mo-O,0.023970996249999,-2.712180774,1.218599999999999,5,Monoclinic,m,Pc,oxide,,Ca,"Fe, Mo",,,,"C, O",F,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.070570000203731
mp-1044288,MgTiMo(PO4)3,1.9723430813307288,0.1704980355489262,Octahedron,1,2a,1,[0.642190339237486],0.0,0.642190339237486,ABCD3E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Mo-O-P-Ti,0.003548416071424,-2.814709046792327,1.0933,5,Trigonal,3m,R3c,phosphate,,Mg,"Ti, Mo",,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0936723289685286
mp-1044342,TiZnMo(PO4)3,1.9836176064452349,0.1535629170584168,Octahedron,1,2a,1,[0.5968730099212161],0.0,0.5968730099212161,ABCD3E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mo-O-P-Ti-Zn,0.012482194235017,-2.635828347903438,1.1144,5,Trigonal,3m,R3c,phosphate,,,"Ti, Zn, Mo",,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.092897163690305
mp-1044354,CaTiMo(PO4)3,1.9731435384475189,0.1746963889941949,Octahedron,1,2a,1,[0.240685724157695],0.0,0.240685724157695,ABCD3E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mo-O-P-Ti,0.0,-2.913297633736772,1.0023,5,Trigonal,3m,R3c,phosphate,,Ca,"Ti, Mo",,,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0974642747785905
mp-1044530,PrMg(MoO3)2,2.2284860761360163,-0.1911905762774612,Octahedron,1,2a,1,"[0.41905803403396, 0.47715416498810803]",0.0,0.44810609951103403,ABC2D6,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Mg-Mo-O-Pr,0.044072973874994,-2.562335871666666,1.2662,4,Monoclinic,m,Pc,oxide,,Mg,Mo,,,,"O, P",,,Pr,,"B $\in$ [-1, -0.1]",Negative B,2.122979339457326
mp-10447,Rb2TeMo2(PO7)2,1.9778594390456143,0.9397345182082676,Octahedron,1,8d,1,[0.574218200660879],0.0,0.574218200660879,AB2C2D2E14,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Mo-O-P-Rb-Te,0.0,-2.263805293378684,3.0151,5,Orthorhombic,mmm,Pbcn,oxide,Rb,,Mo,,,Te,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.9955769294438255
mp-1044742,CaPr(MoO3)2,2.236852780728111,-0.2098536017922024,Octahedron,1,2a,1,"[0.059774097882912006, 0.164276150130884]",0.0,0.11202512400689801,ABC2D6,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Mo-O-Pr,0.0,-2.731335463166666,1.2495,4,Monoclinic,m,Pc,oxide,,Ca,Mo,,,,"C, O, P",,,Pr,,"B $\in$ [-1, -0.1]",Negative B,2.121155436064183
mp-1044778,PrZn(MoO3)2,2.082029353645512,0.0903464150113325,Octahedron,1,2a,1,"[0.22989463521601503, 0.154006754635044]",0.0,0.19195069492552952,ABC2D6,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Mo-O-Pr-Zn,0.045965411874991,-2.310961422166666,1.2831,4,Monoclinic,m,Pc,oxide,,,"Zn, Mo",,,,"O, P",,,Pr,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1331921934019844
mp-10448,Tl2TeMo2(PO7)2,1.9427280095758448,0.9268409030310426,Octahedron,1,8d,1,[0.5980355976262061],0.0,0.5980355976262061,AB2C2D2E14,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Mo-O-P-Te-Tl,0.0,-2.064608524886646,2.8927,5,Orthorhombic,mmm,Pbcn,oxide,,,Mo,,Tl,Te,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.9602013426803964
mp-1045062,Zn2MoWO6,2.159918356445184,0.0117958974992541,Octahedron,1,1a,1,[0.09369060327786101],0.0,0.09369060327786101,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mo-O-W-Zn,0.046816149000001,-1.88701001,0.0,4,Trigonal,3,R3,oxide,,,"Zn, Mo, W",,,,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1735742796259507
