material_id,chem_formula,R$_0$,B,N_chemenv,num_N_chemenvs,N_wyckoff,num_N_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_N_sites,num_CN_env,num_charge_states,NX_coordn,NO_coordn,mean_coordn_N-X,min_coordn_N-X,max_coordn_N-X,mean_coordn_N-O,min_coordn_N-O,max_coordn_N-O,mean_N_charge,min_N_charge,max_N_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_NO_BondL
mp-1019733,Eu(NO3)3,1.717976089157883,0.9012516061744136,Trigonal plane,1,4e,1,"[0.016143765899700003, 0.003252158423163, 0.038288074110855004]",0.0,0.019227999477906002,AB3C9,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",r2SCAN,Eu-N-O,0.0,-1.321586514038462,0.0,3,Monoclinic,2/m,P2_1/c,nitrate,,,,,,,"N, O",,,Eu,,"B $\in$ [0.5, 1]",Positive B,1.2577154234338515
mp-1020193,KNO3,1.4966455897236488,0.4631095582403473,Trigonal plane,1,4e,1,[0.0026796924848490004],0.0,0.0026796924848490004,ABC3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",r2SCAN,K-N-O,0.013152605000001,-1.408985991949999,2.9530000000000003,3,Monoclinic,2/m,P2_1/c,nitrate,K,,,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2601015832522107
mp-1020630,Rb2Na(NO3)3,1.440170557525282,0.3311297834608464,"Hexagonal bipyramid, Trigonal plane",2,"2b, 2a",2,"[1.05925698004245, 0.004758961012592, 0.000467035319071, 0.0008999371004760001]",0.0,0.2663457283686473,AB2C3D9,2,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",GGA,N-Na-O-Rb,0.004414175999995,-1.397380374758622,3.014199999999999,4,Orthorhombic,mm2,Pmc2_1,nitrate,"Na, Rb",,,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2693898102060912
mp-1020671,Y(NO3)3,1.7923970747933935,1.0292993583638386,Trigonal plane,1,4e,1,"[0.019134875583061, 0.009636688789952, 0.053612420929492005]",0.0,0.027461328434168337,AB3C9,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,N-O-Y,0.0,-1.449513658653847,3.311099999999999,3,Monoclinic,2/m,P2_1/c,nitrate,,,Y,,,,"N, O",,,,,B > 1,Positive B,1.266744125457455
mp-1100878,YNO4,1.4178936356086005,0.3105404182925197,Trigonal plane,1,4c,1,[0.049443387966012005],0.0,0.049443387966012005,ABC4,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,N-O-Y,0.010502589097225,-2.1346661429166662,2.7487,3,Orthorhombic,mmm,Pcca,oxide,,,Y,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2622023297975227
mp-1105365,KNO3,1.539217381797047,0.5272391800112558,Trigonal plane,1,4e,1,[0.002655023610747],0.0,0.002655023610747,ABC3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",GGA,K-N-O,0.0463657585,-1.375772838449999,3.1418,3,Monoclinic,2/m,P2_1/c,nitrate,K,,,,,,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,1.2699736195632185
mp-1173447,Rb2SbN2(O2F)3,1.370894098563861,0.2163881333771098,Trigonal plane,1,2a,1,"[0.000618181749242, 0.011721073399624, 0.010635595989697, 0.0014710707175970002]",0.0,0.006111480464040001,AB2C2D3E6,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals",r2SCAN,F-N-O-Rb-Sb,0.042655120214285,-1.791132960535713,2.8173,5,Monoclinic,2,P2_1,fluoride,Rb,,,,,Sb,"N, O, S",F,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2605479576364698
mp-1178448,Cr(NO3)5,1.3115544326863782,0.1046759510337168,Trigonal plane,1,"6c, 3a",2,"[0.043278430395224006, 0.019606675903898002, 0.130326015167147]",0.0,0.064403707155423,AB5C15,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Cr-N-O,0.0,-0.8307433573015871,0.0,3,Trigonal,32,P3_221,nitrate,,,Cr,,,,"C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.2644539077149444
mp-1180897,K2PdN2(ClO2)2,1.333685509975438,0.2136308511299668,Angular,1,2i,1,[0.002578568451866],0.0,0.002578568451866,AB2C2D2E4,1,1,1,[3.0],[2.0],3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2,2,"Pd2+, O2-","Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Cl-K-N-O-Pd,0.048201761272725,-1.271297817681818,2.167099999999999,5,Triclinic,-1,P-1,chlorite,K,,Pd,,,,"C, N, O, P",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,1.254123362391511
mp-1182065,CdH8(NO5)2,1.3150098256835476,0.0931007328131172,Trigonal plane,1,1a,1,"[0.011058773884212001, 0.011067107205065001, 0.010233288065689001, 0.010068319280934001]",0.0,0.010606872108975002,AB2C8D10,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Cd-H-N-O,0.009504173392858,-1.1473211940476191,3.5725,4,Orthorhombic,mm2,Fdd2,oxide,,,Cd,,,,"H, C, N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.268332967625796
