material_id,chem_formula,R$_0$,B,Nb_chemenv,num_Nb_chemenvs,Nb_wyckoff,num_Nb_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Nb_sites,num_CN_env,num_charge_states,NbX_coordn,NbO_coordn,mean_coordn_Nb-X,min_coordn_Nb-X,max_coordn_Nb-X,mean_coordn_Nb-O,min_coordn_Nb-O,max_coordn_Nb-O,mean_Nb_charge,min_Nb_charge,max_Nb_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_NbO_BondL
mp-10062,Ba2NdNb(CuO4)2,1.9967618794807405,0.0196332189284944,Octahedron,1,1a,1,[2.231880463083556e-05],0.0,2.231880463083556e-05,ABC2D2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Cu-Nb-Nd-O,0.004804307678567,-2.675009604821428,0.0,5,Tetragonal,4/mmm,P4/mmm,oxide,,Ba,"Cu, Nb",,,B,"C, N, O",,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0003647642413296
mp-1022808,Ba2NbFeO6,1.8384990136570127,1.0636693095636685,Octahedron,1,4f,1,[0.032748893416984004],0.0,0.032748893416984004,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Fe-Nb-O,0.022298484499998,-2.8732552360000003,1.349799999999999,4,Hexagonal,6/mmm,P6_3/mmc,oxide,,Ba,"Fe, Nb",,,B,"N, O",F,,,,B > 1,Positive B,2.0337596623562533
mp-1022809,Ba4NbFeO8,1.684223229559088,2.0308118463214297,Octahedron,1,4e,1,[0.18130999669921402],0.0,0.18130999669921402,ABC4D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",r2SCAN,Ba-Fe-Nb-O,0.0,-2.904453096607131,2.7302,4,Monoclinic,2/m,P2_1/c,oxide,,Ba,"Fe, Nb",,,B,"N, O",F,,,,B > 1,Positive B,2.0431351992019895
mp-1046744,Mg2Nb2CoO8,1.948261373320306,0.7882775365360489,Octahedron,1,4f,1,[1.079136125682885],0.0,1.079136125682885,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-Mg-Nb-O,0.017575090961532,-2.797192030769231,2.852999999999999,4,Monoclinic,2/m,C2/c,oxide,,Mg,"Co, Nb",,,,"C, N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.062281217654942
mp-1046751,Nb2Zn2FeO8,1.953358306576776,0.6281131579473458,Octahedron,1,4f,1,[1.061215706403518],0.0,1.061215706403518,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA_U,Fe-Nb-O-Zn,0.023075569615391,-2.425479831538461,2.411,4,Monoclinic,2/m,C2/c,oxide,,,"Fe, Zn, Nb",,,,"N, O",F,,,,"B $\in$ [0.5, 1]",Positive B,2.0479193069880104
mp-1046836,Mg2Nb2VO8,1.9521576396102096,0.7739681393530393,Octahedron,1,4f,1,[1.090028457409612],0.0,1.090028457409612,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Nb-O-V,0.008688458360813,-2.944542561923077,1.091899999999999,4,Monoclinic,2/m,C2/c,oxide,,Mg,"V, Nb",,,,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.062626388435687
mp-1046839,Mg2Nb2CrO8,1.951312344844244,0.7344534637219478,Octahedron,1,2a,1,"[0.926429623770854, 1.2339268390892921]",0.0,1.080178231430073,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Mg-Nb-O,0.033031354642858,-2.900613825384617,1.188799999999999,4,Monoclinic,m,Cc,oxide,,Mg,"Cr, Nb",,,,"C, N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.057388565430323
mp-1046844,Mg2MnNb2O8,1.947015185936152,0.7958832961651636,Octahedron,1,4f,1,[1.097526416875641],0.0,1.097526416875641,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Mn-Nb-O,0.000203142564078,-2.9350206017639278,2.6442,4,Monoclinic,2/m,C2/c,oxide,,Mg,"Mn, Nb",,,,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.060573570668899
mp-1046848,Mg2Nb2NiO8,1.949319102164889,0.7948315807546437,Octahedron,1,4f,1,[1.128947611299214],0.0,1.128947611299214,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Nb-Ni-O,0.018592628076916,-2.787905901923078,3.317,4,Monoclinic,2/m,C2/c,oxide,,Mg,"Ni, Nb",,,,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.0602782220595333
mp-1046861,Nb2Zn2CoO8,1.959098558269441,0.6372006588453667,Octahedron,1,4f,1,[1.103587185758291],0.0,1.103587185758291,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Co-Nb-O-Zn,0.023723124038466,-2.374739018461539,2.6737,4,Monoclinic,2/m,C2/c,oxide,,,"Co, Zn, Nb",,,,"C, N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.051724005133259
