material_id,chem_formula,R$_0$,B,P_chemenv,num_P_chemenvs,P_wyckoff,num_P_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_P_sites,num_CN_env,num_charge_states,PX_coordn,PO_coordn,mean_coordn_P-X,min_coordn_P-X,max_coordn_P-X,mean_coordn_P-O,min_coordn_P-O,max_coordn_P-O,mean_P_charge,min_P_charge,max_P_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_PO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-10070,BaAg(PO3)3,1.62885392818523,0.30966139634892037,Tetrahedron,1,4a,1,"[0.23149652021743203, 0.141884156227176, 0.172198004261709]",0.0,0.181859560235439,ABC3D9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",1.5661169588657735,GGA,Ag-Ba-O-P,0.0,-2.6251055987925183,3.243999999999999,4,Orthorhombic,222,P2_12_12_1,phosphite,None,Ba,Ag,None,None,B,"O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1011858,Na2CoP2O7,1.642102560816762,0.39065619076513913,Tetrahedron,1,4c,1,"[0.051893953373939004, 0.111657260538603]",0.0,0.08177560695627101,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.5600170865481,GGA_U,Co-Na-O-P,0.04053490694445901,-2.429034242878694,1.681999999999999,4,Orthorhombic,mmm,Pnma,oxide,Na,None,Co,None,None,None,"C, N, O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1012678,NaMo3P3O13,1.5537243785667356,-0.007876083021086814,Tetrahedron,1,2e,1,"[0.09591229161356801, 0.129948861371999, 0.29101678289993105]",0.0,0.172292645295166,AB3C3D13,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.5510999650817994,GGA_U,Mo-Na-O-P,0.004734013291665001,-2.417425916265394,1.5094999999999992,4,Monoclinic,2/m,P2_1/m,oxide,Na,None,Mo,None,None,None,"N, O, P",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1013565,Na2CoP2O7,1.6374301628474819,0.3539464507991652,Tetrahedron,1,2i,1,"[0.058040905321257004, 0.05961311350948301, 0.059707038643003, 0.058815655750116005]",0.0,0.059044178305964756,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.5611665188464778,GGA_U,Co-Na-O-P,0.027097078611125,-2.442472071212028,2.3692,4,Monoclinic,-1,C2/c,oxide,Na,None,Co,None,None,None,"C, N, O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1013762,LiTi2P2O9,1.6284576103505262,0.35169367080667,Tetrahedron,1,4c,1,"[0.06184943781438101, 0.16225288074108202]",0.0,0.11205115927773152,AB2C2D9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.5491243546695617,GGA,Li-O-P-Ti,0.049960113505106006,-2.9977018776275512,0.043499999999999005,4,Orthorhombic,mmm,Pnma,oxide,Li,None,Ti,None,None,None,"O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1013850,LiV2P2O9,1.6205020874217866,0.3125136673243767,Tetrahedron,1,4c,1,"[0.11605733704461801, 0.186101572332407]",0.0,0.15107945468851253,AB2C2D9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.5493729824828113,GGA_U,Li-O-P-V,0.010699509821449,-2.670338375901361,1.5389,4,Orthorhombic,mmm,Pnma,oxide,Li,None,V,None,None,None,"O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1013898,LiMo3P3O13,1.5433336319290587,-0.055426840841243295,Tetrahedron,1,2e,1,"[0.088146835008474, 0.19181922266228701, 0.26444916831311]",0.0,0.18147174199462368,AB3C3D13,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.5507931939693744,GGA_U,Li-Mo-O-P,0.019016679791665003,-2.410802314113096,1.238999999999999,4,Monoclinic,2/m,P2_1/m,oxide,Li,None,Mo,None,None,None,"O, P",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1013922,LiCr2P2O9,1.6402547900420164,0.39619051982320863,Tetrahedron,1,4c,1,"[0.143882503809443, 0.23388879433619703]",0.0,0.18888564907282002,AB2C2D9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.5484819996124592,GGA_U,Cr-Li-O-P,0.022310733392867002,-2.517752778937073,0.6726000000000001,4,Orthorhombic,mmm,Pnma,oxide,Li,None,Cr,None,None,None,"C, O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019377,Al(PO3)3,1.5886969582964603,0.27473691880291373,Tetrahedron,1,4e,1,"[0.19300954454216301, 0.16585538360475802, 0.137424810590964]",0.0,0.16542991291262835,AB3C9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",1.533000542940519,SCAN,Al-O-P,0.0,-2.841152989725275,5.9631,3,Monoclinic,2/m,P2_1/c,phosphite,None,None,None,None,Al,None,"O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019525,Ba3ZnB5PO14,1.4739474412858633,-0.37573736059683055,Tetrahedron,1,2a,1,[0.06637026005801801],0.0,0.06637026005801801,ABC3D5E14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",1.5586140331083598,GGA,B-Ba-O-P-Zn,0.0,-3.017289100228173,4.8405000000000005,5,Orthorhombic,mm2,Pmn2_1,oxide,None,Ba,Zn,None,None,B,"O, P",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
