material_id,chem_formula,R$_0$,B,Pr_chemenv,num_Pr_chemenvs,Pr_wyckoff,num_Pr_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Pr_sites,num_CN_env,num_charge_states,PrX_coordn,PrO_coordn,mean_coordn_Pr-X,min_coordn_Pr-X,max_coordn_Pr-X,mean_coordn_Pr-O,min_coordn_Pr-O,max_coordn_Pr-O,mean_Pr_charge,min_Pr_charge,max_Pr_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_PrO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-10080,PrGeBO5,2.314942453939077,0.2500274245464521,Tricapped triangular prism (two square-face caps and one triangular-face cap),1,3a,1,[4.682057320931371],0.0,4.682057320931371,ABCD5,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",2.563246481947427,SCAN,B-Ge-O-Pr,0.0056120415625000005,-2.957194700104167,4.0149,4,Trigonal,3,P3_1,oxide,None,None,None,None,None,"B, Ge","O, P",None,None,Pr,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1044426,CaPrTi2O6,1.5828598336284128,0.7084486930726841,Tricapped triangular prism (two square-face caps and one triangular-face cap),1,2a,1,[4.018519127859205],0.0,4.018519127859205,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.568569047068286,GGA,Ca-O-Pr-Ti,0.0,-3.585082267833333,0.0,4,Orthorhombic,mm2,Pmn2_1,oxide,None,Ca,Ti,None,None,None,"C, O, P",None,None,Pr,None,"B $\in$ [0.5, 1]",Positive B
mp-1044464,CaPr(CuO3)2,2.4445953233636866,0.0654137804599624,Tricapped triangular prism (two square-face caps and one triangular-face cap),1,2a,1,[4.208278315222396],0.0,4.208278315222396,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,2.0,2,2,"O-, O2-","Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.5225126403092055,GGA,Ca-Cu-O-Pr,0.049100569687501004,-1.9161107490416651,0.0,4,Orthorhombic,mm2,Pmn2_1,oxide,None,Ca,Cu,None,None,None,"C, O, P",None,None,Pr,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1044530,PrMg(MoO3)2,0.365499031307964,2.2811012857063053,Square-face bicapped trigonal prism,1,2a,1,[1.944733789826628],0.0,1.944733789826628,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.5712057865902187,GGA_U,Mg-Mo-O-Pr,0.044072973874994,-2.562335871666666,1.2662,4,Monoclinic,m,Pc,oxide,None,Mg,Mo,None,None,None,"O, P",None,None,Pr,None,B > 1,Positive B
mp-1044723,CaPrCr2O6,1.6004269553406805,0.6701374717144934,Tricapped triangular prism (two square-face caps and one triangular-face cap),1,2a,1,[4.03110572923779],0.0,4.03110572923779,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.5349075730904165,GGA_U,Ca-Cr-O-Pr,0.046829072500003004,-2.855696057166667,0.0,4,Orthorhombic,mm2,Pmn2_1,oxide,None,Ca,Cr,None,None,None,"C, O, P",None,None,Pr,None,"B $\in$ [0.5, 1]",Positive B
mp-1044725,CaPrV2O6,2.088831941133999,0.32793798032607135,Square-face bicapped trigonal prism,1,2a,1,[3.042888511617996],0.0,3.042888511617996,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.5513125759706226,GGA_U,Ca-O-Pr-V,0.014988662705356,-3.055043548166668,0.0,4,Orthorhombic,mm2,Pmn2_1,oxide,None,Ca,V,None,None,None,"C, O, P",None,None,Pr,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1044733,CaPr(NiO3)2,1.7718344826527186,0.5437561639012294,Tricapped triangular prism (two square-face caps and one triangular-face cap),1,2a,1,[4.094790788343171],0.0,4.094790788343171,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.5294601298569637,GGA_U,Ca-Ni-O-Pr,0.019238472124991003,-2.096811694166666,0.0,4,Orthorhombic,mm2,Pmn2_1,oxide,None,Ca,Ni,None,None,None,"C, N, O, P",None,None,Pr,None,"B $\in$ [0.5, 1]",Positive B
mp-1044741,CaPr(CoO3)2,1.6210935636824988,0.9325387347304319,Tricapped triangular prism (two square-face caps and one triangular-face cap),1,2a,1,[4.098069625342812],0.0,4.098069625342812,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.5326543547322116,GGA_U,Ca-Co-O-Pr,0.046077371468753,-2.231611039166665,0.0,4,Monoclinic,m,Pc,oxide,None,Ca,Co,None,None,None,"C, O, P",None,None,Pr,None,"B $\in$ [0.5, 1]",Positive B
mp-1044742,CaPr(MoO3)2,0.8852853261936999,1.7445969122081224,Square-face bicapped trigonal prism,1,2a,1,[2.038073403985781],0.0,2.038073403985781,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.5765328826770153,GGA_U,Ca-Mo-O-Pr,0.0,-2.731335463166666,1.2495,4,Monoclinic,m,Pc,oxide,None,Ca,Mo,None,None,None,"C, O, P",None,None,Pr,None,B > 1,Positive B
mp-1044754,CaPr(FeO3)2,1.713574964263071,1.2492481608133694,Tricapped triangular prism (two square-face caps and one triangular-face cap),1,2a,1,[4.072180051386302],0.0,4.072180051386302,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",2.5532727290199215,GGA_U,Ca-Fe-O-Pr,0.0,-2.506947514166667,0.0,4,Orthorhombic,mm2,Pmn2_1,oxide,None,Ca,Fe,None,None,None,"C, O, P",F,None,Pr,None,B > 1,Positive B
