material_id,chem_formula,R$_0$,B,Re_chemenv,num_Re_chemenvs,Re_wyckoff,num_Re_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Re_sites,num_CN_env,num_charge_states,ReX_coordn,ReO_coordn,mean_coordn_Re-X,min_coordn_Re-X,max_coordn_Re-X,mean_coordn_Re-O,min_coordn_Re-O,max_coordn_Re-O,mean_Re_charge,min_Re_charge,max_Re_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ReO_BondL
mp-10094,Tm5(ReO6)2,1.85558389951746,0.7712906405964093,Octahedron,1,2g,1,[0.407597850907006],0.0,0.407597850907006,A2B5C12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Re-Tm,0.0,-3.3935364392105303,0.0,3,Monoclinic,2/m,C2/m,oxide,,,Re,,,,O,,,Tm,,"B $\in$ [0.5, 1]",Positive B,1.9983273689184202
mp-1016092,Re2O7,1.939720464035301,0.3092325725429793,"Tetrahedron, Octahedron",2,4a,1,"[0.5245534565207101, 0.106707691951004, 0.125921077480272, 0.505259598669294]",0.0,0.31561045615532,A2B7,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,7.0,7.0,7.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,O-Re,0.0,-2.025868364583333,2.7295,2,Orthorhombic,222,P2_12_12_1,oxide,,,Re,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.871780819508854
mp-10326,Zn(ReO4)2,1.7994983140771024,0.1095863164472836,Tetrahedron,1,2d,1,[0.002206699540474],0.0,0.002206699540474,AB2C8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,O-Re-Zn,0.0,-2.101178606818182,3.992,3,Trigonal,-3,P-3,oxide,,,"Zn, Re",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7385249717952131
mp-1041019,CuReO4,1.817563088002352,0.1178354292182303,Tetrahedron,1,4e,1,"[0.018022302117263002, 0.022974879339431]",0.0,0.020498590728347,ABC4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Cu-O-Re,0.007758370833333,-1.761377552291666,1.160999999999999,3,Monoclinic,2/m,P2_1/c,oxide,,,"Cu, Re",,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7698320733251416
mp-1042110,Re2O7,1.913291862987668,0.2714204788564761,Tetrahedron,1,4b,1,[0.33188021692264],0.0,0.33188021692264,A2B7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,O-Re,0.038839964583331,-1.987028399999999,3.4648,2,Orthorhombic,mm2,Cmc2_1,oxide,,,Re,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.77219072867828
mp-1096938,Cs2ReO4,2.286223196221989,1.1722600894136517,Tetrahedron,1,4c,1,[0.011013600384154],0.0,0.011013600384154,AB2C4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Cs-O-Re,0.022011150969382,-2.121571860258621,0.0,3,Orthorhombic,mmm,Pnma,oxide,Cs,,Re,,,,"C, O",,,,,B > 1,Positive B,1.8100484903657046
mp-1106155,Ca2MnReO6,1.942926210336314,-0.4272483982314211,Octahedron,1,4a,1,[0.035058093923538],0.0,0.035058093923538,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,Ca-Mn-O-Re,0.00076537870238,-2.655997039043107,0.1472,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,"Mn, Re",,,,"C, O",,,,,"B $\in$ [-1, -0.1]",Negative B,1.9427653023713922
mp-11207,Pr3ReO7,1.9715978696054104,0.1179547691181734,Octahedron,1,2a,1,[0.14806899986073999],0.0,0.14806899986073999,AB3C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,O-Pr-Re,0.040983677977273,-3.209051400681818,0.0,3,Orthorhombic,mmm,Cmcm,oxide,,,Re,,,,"O, P",,,Pr,,"B $\in$ [0.1, 0.5]",Positive B,1.99351521681961
mp-1188807,Sr2CaReO6,1.9460812129766405,0.0596789597515412,Octahedron,1,2c,1,[0.003683821124826],0.0,0.003683821124826,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Ca-O-Re-Sr,0.0,-2.920525596750001,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,"Ca, Sr",Re,,,,"C, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9461039575330945
mp-1188946,Re2BiO6,1.9503719871783944,0.1625583910954283,Octahedron,1,4f,1,[0.563027029308486],0.0,0.563027029308486,AB2C6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.5,4.5,4.5,1.0,1,1,Re4.50+-O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Bi-O-Re,0.0,-1.90503731888889,0.0,3,Monoclinic,2/m,C2/c,oxide,,,Re,,Bi,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9797716230360478
mp-1191971,FeRe2(H2O3)4,1.7600162867319131,0.009327499516145,Tetrahedron,1,2i,1,[0.003382119682726],0.0,0.003382119682726,AB2C8D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA_U,Fe-H-O-Re,0.0,-1.662810422826087,2.683799999999999,4,Triclinic,-1,P-1,oxide,,,"Fe, Re",,,,"H, O",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7551656448599655
mp-1191990,Dy3ReO7,1.948150024387528,0.1954491420974697,Octahedron,1,2a,1,[0.927917211067609],0.0,0.927917211067609,AB3C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Dy-O-Re,0.041385783484857,-3.362467477954543,0.0,3,Orthorhombic,222,C222_1,oxide,,,Re,,,,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,1.984467705012752
