material_id,chem_formula,R$_0$,B,Rh_chemenv,num_Rh_chemenvs,Rh_wyckoff,num_Rh_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Rh_sites,num_CN_env,num_charge_states,RhX_coordn,RhO_coordn,mean_coordn_Rh-X,min_coordn_Rh-X,max_coordn_Rh-X,mean_coordn_Rh-O,min_coordn_Rh-O,max_coordn_Rh-O,mean_Rh_charge,min_Rh_charge,max_Rh_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_RhO_BondL
mp-10320,La2MgRhO6,2.00504699007358,0.0721576065492159,Octahedron,1,2c,1,[0.011784588158879],0.0,0.011784588158879,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,La-Mg-O-Rh,0.0,-2.943168876,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Rh,,,,O,,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.034440312246256
mp-10321,La2ZnRhO6,2.001700133132549,0.0991553336719765,Octahedron,1,2c,1,[0.010515541305882],0.0,0.010515541305882,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,La-O-Rh-Zn,0.0,-2.662992525999999,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,"Zn, Rh",,,,O,,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0420919494604153
mp-1077875,Sr2RhO4,2.3508937169077613,-0.9211353311737436,Octahedron,1,1a,1,[0.06197994021428801],0.0,0.06197994021428801,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",SCAN,O-Rh-Sr,0.0257455875,-2.339764912857142,0.0,3,Tetragonal,4/mmm,I4/mmm,oxide,,Sr,Rh,,,,"O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,1.976074292154447
mp-1078659,CaRhO3,1.7369866663374798,0.6655789610980617,Octahedron,1,2a,1,[0.687910238654138],0.0,0.687910238654138,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,Ca-O-Rh,0.0,-1.9340741199999991,0.0,3,Orthorhombic,mmm,Cmcm,oxide,,Ca,Rh,,,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.0074205338808713
mp-1173251,Sr2RhO4,2.3067902699769047,-0.6627277061620424,Octahedron,1,4f,1,[0.047813150114998],0.0,0.047813150114998,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,O-Rh-Sr,0.004961761428571,-2.360548738928571,0.0,3,Monoclinic,2/m,C2/c,oxide,,Sr,Rh,,,,"O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,2.0316908411854633
mp-1173258,Sr2RhO4,2.2995401340454675,-0.6561163788759178,Octahedron,1,1a,1,"[0.040952905597219, 0.038907603903259, 0.034424638997110006, 0.04084060154992, 0.040102023516602005, 0.043139465045557004, 0.039602178403513, 0.038993587646346]",0.0,0.039620375582440755,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,O-Rh-Sr,0.004026474821428,-2.361484025535714,0.0,3,Triclinic,1,P1,oxide,,Sr,Rh,,,,"O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,2.032594091472074
mp-1181917,CaRhO3,1.91467047991788,0.2232324664000272,Octahedron,1,4b,1,[0.027018063444320003],0.0,0.027018063444320003,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,Ca-O-Rh,0.025026484500001,-1.909047635499999,0.0,3,Orthorhombic,mmm,Pnma,oxide,,Ca,Rh,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.004808541533349
mp-1193602,CaRhO3,1.9337278450451405,0.1546689260949375,Octahedron,1,2e,1,"[0.8148166334604751, 0.827833089643897, 0.9708458334209121]",0.0,0.871165185508428,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,Ca-O-Rh,0.005130363333334,-1.928943756666666,0.0,3,Monoclinic,2/m,P2_1/m,oxide,,Ca,Rh,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.004993266716058
mp-1200659,CeRh2O5,2.1660730209147725,-0.1717132568185382,Octahedron,1,8d,1,[0.69621015201528],0.0,0.69621015201528,AB2C5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Ce-O-Rh,0.0,-1.985038210937501,0.7865000000000001,3,Orthorhombic,mmm,Pnma,oxide,,,Rh,,,,"C, O",,,Ce,,"B $\in$ [-1, -0.1]",Negative B,2.0394374758063374
mp-1205366,LuRhO3,2.0207179950813714,0.0368854958095195,Octahedron,1,4b,1,[0.11988041006955001],0.0,0.11988041006955001,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Lu-O-Rh,0.0,-2.521613752333331,1.0887,3,Orthorhombic,mmm,Pnma,oxide,,,Rh,,,,O,,,Lu,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0460837542364207
mp-1206840,SrRhO3,2.040328514459916,-0.0191961003756287,Octahedron,1,2c,1,[4.7126143152111485e-05],0.0,4.7126143152111485e-05,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,O-Rh-Sr,0.030399611749996,-1.991144156999999,0.0,3,Tetragonal,4/mmm,I4/mcm,oxide,,Sr,Rh,,,,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.032495401306265
mp-1206846,SrRhO3,1.96960201694582,0.0840515097382756,Octahedron,1,2a,1,[0.058137868339677004],0.0,0.058137868339677004,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,O-Rh-Sr,0.017568513749996,-2.003975255,0.0,3,Orthorhombic,mmm,Imma,oxide,,Sr,Rh,,,,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0037653757903904
mp-1207629,YRhO3,1.9412231361264445,0.1677983792882304,Octahedron,1,4a,1,[0.11045023809526001],0.0,0.11045023809526001,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,O-Rh-Y,0.0,-2.547069845000006,9.999999999976698e-05,3,Orthorhombic,mmm,Pnma,oxide,,,"Y, Rh",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.055830163681616
