material_id,chem_formula,R$_0$,B,Ru_chemenv,num_Ru_chemenvs,Ru_wyckoff,num_Ru_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ru_sites,num_CN_env,num_charge_states,RuX_coordn,RuO_coordn,mean_coordn_Ru-X,min_coordn_Ru-X,max_coordn_Ru-X,mean_coordn_Ru-O,min_coordn_Ru-O,max_coordn_Ru-O,mean_Ru_charge,min_Ru_charge,max_Ru_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_RuO_BondL
mp-1025237,Ba2RuO4,2.2034665095305326,-0.441459954234274,Octahedron,1,1a,1,[0.013578547477217002],0.0,0.013578547477217002,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",r2SCAN,Ba-O-Ru,0.000604119285716,-2.391290938571427,0.0,3,Tetragonal,4/mmm,I4/mmm,oxide,,Ba,Ru,,,B,O,,,,,"B $\in$ [-1, -0.1]",Negative B,2.0238316023130687
mp-1079192,Sr2GdRuO6,1.9812126130571024,-0.0055178319430683,Octahedron,1,1b,1,[2.604906977356225e-06],0.0,2.604906977356225e-06,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Gd-O-Ru-Sr,0.014360915999999,-2.813931878,0.0,4,Tetragonal,4/m,I4/m,oxide,,Sr,Ru,,,,"O, S",,,Gd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9801983963693308
mp-1079352,SrRuO3,1.4101477606296275,1.5452085364337027,Octahedron,1,2a,1,[0.9975568473960301],0.0,0.9975568473960301,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,O-Ru-Sr,0.043007939000002,-2.018760265999995,0.0,3,Orthorhombic,mmm,Cmcm,oxide,,Sr,Ru,,,,"O, S",,,,,B > 1,Positive B,2.037987166636021
mp-1104173,Sr2GdCu2RuO8,2.1589075330041494,-1.0623542467389424,Octahedron,1,1a,1,[0.06755589843701501],0.0,0.06755589843701501,ABC2D2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Cu-Gd-O-Ru-Sr,0.048425310714264,-2.24115381142857,0.0,5,Tetragonal,4/mmm,P4/mmm,oxide,,Sr,"Cu, Ru",,,,"C, O, S",,,Gd,,B < -1,Negative B,1.9639761813386667
mp-1147774,Ba2NiRuO6,1.7420402117559743,1.3552438785406928,Octahedron,1,4e,1,[0.39202040086412704],0.0,0.39202040086412704,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Ni-O-Ru,0.025932189499994,-2.068848193000001,0.004,4,Hexagonal,6/mmm,P6_3/mmc,oxide,,Ba,"Ni, Ru",,,B,"N, O",,,,,B > 1,Positive B,1.990826380278559
mp-1173178,SrLaCuRuO6,1.9771116032951863,0.0545368390409771,Octahedron,1,2a,1,[0.17254413268151603],0.0,0.17254413268151603,ABCDE6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Cu-La-O-Ru-Sr,0.048692248666671,-2.3042750165,0.0137,5,Monoclinic,m,Pc,oxide,,Sr,"Cu, Ru",,,,"C, O, S",,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9871053706372404
mp-1173198,Sr6La4Zn3(RuO10)2,2.2305818787482865,-1.3956781282242152,Octahedron,1,1a,1,"[0.05528879231983801, 0.07272691519042501]",0.0,0.06400785375513152,A2B3C4D6E20,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,La-O-Ru-Sr-Zn,0.030588517571426,-2.785675031428572,0.6715,5,Triclinic,1,P1,oxide,,Sr,"Zn, Ru",,,,"O, S",,,La,,B < -1,Negative B,1.9759766511818668
mp-1173214,Sr4La2Mg(RuO6)2,2.399417434406524,-1.0202182769813788,Octahedron,1,2i,1,"[0.06364221122720201, 0.091381188444123]",0.0,0.0775116998356625,AB2C2D4E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",r2SCAN,La-Mg-O-Ru-Sr,0.039631734880952,-2.821209005952382,0.0,5,Monoclinic,2/m,C2/m,oxide,,"Mg, Sr",Ru,,,,"O, S",,,La,,B < -1,Negative B,1.9837521137132157
mp-1173222,Sr3LaCuRuO8,1.823965473236586,0.9645335205340988,Octahedron,1,1a,1,[0.14353000423223602],0.0,0.14353000423223602,ABCD3E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Cu-La-O-Ru-Sr,0.042917710446438,-2.5553334553571423,0.0,5,Monoclinic,m,Cm,oxide,,Sr,"Cu, Ru",,,,"C, O, S",,,La,,"B $\in$ [0.5, 1]",Positive B,1.9806886360580613
mp-1173238,Sr3La3Zn2RuO12,2.14928986005239,-0.8906160874703062,Octahedron,1,1a,1,[0.054360165257200006],0.0,0.054360165257200006,AB2C3D3E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,La-O-Ru-Sr-Zn,0.045340647797616,-2.848246662619048,0.4832,5,Monoclinic,m,Cm,oxide,,Sr,"Zn, Ru",,,,"O, S",,,La,,"B $\in$ [-1, -0.1]",Negative B,1.9748082140720802
