material_id,chem_formula,R$_0$,B,S_chemenv,num_S_chemenvs,S_wyckoff,num_S_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_S_sites,num_CN_env,num_charge_states,SX_coordn,SO_coordn,mean_coordn_S-X,min_coordn_S-X,max_coordn_S-X,mean_coordn_S-O,min_coordn_S-O,max_coordn_S-O,mean_S_charge,min_S_charge,max_S_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1005754,SmHSO5,1.619039179878159,0.32740498839599963,"Tetrahedron, Tricapped triangular prism (three square-face caps)",2,4e,1,"[1.835313861623829, 0.01437891556304]",0.0,0.9248463885934345,ABCD5,2,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",1.486657816931002,GGA,H-O-S-Sm,0.0,-2.523762909531251,5.6617,4,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,None,None,"H, O, S",None,None,Sm,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019509,B2S2O9,1.5840887435877757,0.2671930047346723,Tetrahedron,1,2c,1,[0.184111652472485],0.0,0.184111652472485,A2B2C9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Metalloids, Nonmetals",1.4801362417608144,r2SCAN,B-O-S,0.0,-2.088658286794872,6.6956,3,Monoclinic,2,C2,oxide,None,None,None,None,None,B,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019539,BaB2S3O13,1.6355114096379553,0.35542298267311606,Tetrahedron,1,"8d, 4c",2,"[0.10089148795974501, 0.051655266246267005]",0.0,0.07627337710300601,AB2C3D13,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",1.4944240368956194,GGA,B-Ba-O-S,0.0,-2.315292671359649,6.4104,4,Orthorhombic,mmm,Pnma,oxide,None,Ba,None,None,None,B,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019548,BaGe(S2O7)3,1.6244714591956566,0.3476374573962814,Tetrahedron,1,4a,1,"[0.227782003058833, 0.29141169677496703, 0.264669205117474, 0.23610279774651902, 0.284000096985696, 0.286692945205957]",0.0,0.26510979081490765,ABC6D21,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",1.4943231646173427,r2SCAN,Ba-Ge-O-S,0.0,-1.92300479051724,4.003,4,Orthorhombic,222,P2_12_12_1,oxide,None,Ba,None,None,None,"B, Ge","O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019557,BaS4O13,1.6651269767842336,0.4265292681178486,Tetrahedron,1,4f,1,"[0.30700503377305405, 0.737242213382248]",0.0,0.5221236235776511,AB4C13,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",1.51054355536948,r2SCAN,Ba-O-S,0.0,-2.002589673055556,4.6756,3,Monoclinic,2/m,C2/c,oxide,None,Ba,None,None,None,B,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019575,Ca4Al6SO16,1.5738937804754252,0.2028525755474085,Tetrahedron,1,4e,1,[0.031295426353843005],0.0,0.031295426353843005,AB4C6D16,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals",1.4920454310159694,GGA,Al-Ca-O-S,0.0,-3.295773933055555,4.6874,4,Orthorhombic,mm2,Pcc2,oxide,None,Ca,None,None,Al,None,"C, O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019581,CaS3O10,1.6625569917048328,0.3983948907787277,Tetrahedron,1,4e,1,"[0.24375485819553003, 0.48068195351222004, 0.49741026556403706]",0.0,0.4072823590905957,AB3C10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals",1.51545524208425,GGA,Ca-O-S,0.0,-2.086758551785713,5.0004,3,Monoclinic,2/m,P2_1/c,oxide,None,Ca,None,None,None,None,"C, O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019604,Cs2B2S3O13,1.7221298083999357,0.55347849219824,Tetrahedron,1,4e,1,"[0.15427141493367602, 0.14627189520132, 0.128282438972525]",0.0,0.14294191636917367,A2B2C3D13,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",1.5003161596464814,GGA,B-Cs-O-S,0.0,-2.221317662007185,6.0916999999999994,4,Monoclinic,2/m,P2_1/c,oxide,Cs,None,None,None,None,B,"C, O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1019717,CsBS3O11,1.6420545011341159,0.35011378936807763,Tetrahedron,1,4e,1,"[0.235959110867092, 0.322008957081486, 0.24154822167436701]",0.0,0.266505429874315,ABC3D11,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",1.509997080286088,GGA,B-Cs-O-S,0.0,-2.016975753520114,5.769,4,Monoclinic,2/m,P2_1/c,oxide,Cs,None,None,None,None,B,"C, O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019775,K2Ge(S2O7)3,1.6934553220380053,0.4656398885487774,Tetrahedron,1,6g,1,"[0.30390747752470604, 0.272416803644958]",0.0,0.288162140584832,AB2C6D21,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",1.5131378601147176,GGA,Ge-K-O-S,0.0,-1.8803132013166661,3.7824,4,Trigonal,-3,P-3,oxide,K,None,None,None,None,Ge,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
