material_id,chem_formula,R$_0$,B,Sb_chemenv,num_Sb_chemenvs,Sb_wyckoff,num_Sb_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Sb_sites,num_CN_env,num_charge_states,SbX_coordn,SbO_coordn,mean_coordn_Sb-X,min_coordn_Sb-X,max_coordn_Sb-X,mean_coordn_Sb-O,min_coordn_Sb-O,max_coordn_Sb-O,mean_Sb_charge,min_Sb_charge,max_Sb_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SbO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1039675,NaMg30SbO32,1.552831885655025,1.0031906943876954,Octahedron,1,1c,1,[0.001565920597186],0.0,0.001565920597186,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.2482296631346665,GGA,Mg-Na-O-Sb,0.049273044148437,-2.9149210884590513,2.812299999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,None,None,None,Sb,"N, O, S",None,None,None,None,B > 1,Positive B
mp-1040012,LiMg30SbO32,2.1373779549363277,0.1275471353910284,Octahedron,1,1b,1,[0.00046708201236200005],0.0,0.00046708201236200005,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.2258754097746514,r2SCAN,Li-Mg-O-Sb,0.039806806562500005,-2.9331593064583332,2.6566,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,None,None,None,Sb,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1040035,LiMg30SbO32,1.8141774598791383,0.6222515627975974,Octahedron,1,1c,1,[0.000603705324542],0.0,0.000603705324542,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.2455138488973305,GGA,Li-Mg-O-Sb,0.040453878281251,-2.932512234739582,2.8833,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,None,None,None,Sb,"O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1041730,YSb(WO4)2,1.9593674024906353,1.9191375928490335,Octahedron,1,2f,1,[3.157745580880659],0.0,3.157745580880659,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",2.319318736937382,GGA_U,O-Sb-W-Y,0.039379059895829,-2.434418105833332,0.0,4,Monoclinic,2/m,P2/c,oxide,None,None,"Y, W",None,None,Sb,"O, S",None,None,None,None,B > 1,Positive B
mp-1043556,SbPO5,1.9226245855912718,0.44762186860222064,Octahedron,1,4b,1,[0.212703378678775],0.0,0.212703378678775,ABC5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals",2.008279834339824,GGA,O-P-Sb,0.045575232142855006,-1.9351301504251701,2.2267,3,Orthorhombic,mm2,Fdd2,oxide,None,None,None,None,None,Sb,"O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1043864,CaLaFeSbO6,2.0006866177551816,0.0969861926676524,Octahedron,1,1a,1,"[0.040868708908601004, 0.03739998530876, 0.035886645460772006, 0.036680377659115006]",0.0,0.037708929334312004,ABCDE6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",2.018461208031947,GGA_U,Ca-Fe-La-O-Sb,0.0009757675000000001,-2.717953430499999,2.1012,5,Monoclinic,m,Pc,oxide,None,Ca,Fe,None,None,Sb,"C, O, S",F,None,La,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1044552,Al4Co13Si2(SbO14)2,1.9788488340686812,0.2852065352646421,Octahedron,1,2g,1,[0.622442484280477],0.0,0.622442484280477,A2B2C4D13E28,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",2.031573964385569,GGA_U,Al-Co-O-Sb-Si,0.017616564557838003,-2.070311625510204,1.8638,5,Monoclinic,2/m,C2/m,oxide,None,None,Co,None,Al,"Si, Sb","C, O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1044564,Al4Si2Ni13(SbO14)2,1.9718423276238792,0.3396600416043303,Octahedron,1,2g,1,[0.711837497542343],0.0,0.711837497542343,A2B2C4D13E28,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",2.034632681033403,GGA_U,Al-Ni-O-Sb-Si,0.013562062551019001,-2.01942869244898,2.347699999999999,5,Monoclinic,2/m,C2/m,oxide,None,None,Ni,None,Al,"Si, Sb","N, O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1044935,ZnSb2P2O9,1.9784937865153025,0.5676322755872837,"Square pyramid, Triangular non-coplanar",2,4a,1,"[10.41998816770106, 2.097129616892751]",0.5,6.2585588922969055,AB2C2D9,2,2,1,"[3.0, 5.0]","[3.0, 5.0]",4.0,3.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",2.1748612701652377,GGA,O-P-Sb-Zn,0.04764598023811,-1.972040894175159,3.721299999999999,4,Orthorhombic,222,P2_12_12_1,oxide,None,None,Zn,None,None,Sb,"O, P, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1045606,Sb(PO3)4,2.115940617689083,0.1401286214922704,Octahedron,1,"1b, 1c",2,"[0.602306965440027, 0.009623795825376001]",0.0,0.3059653806327015,AB4C12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals",2.146623395459526,GGA,O-P-Sb,0.031711891764679,-2.085497606067918,1.6871,3,Triclinic,-1,P-1,phosphite,None,None,None,None,None,Sb,"O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
