material_id,chem_formula,R$_0$,B,Se_chemenv,num_Se_chemenvs,Se_wyckoff,num_Se_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Se_sites,num_CN_env,num_charge_states,SeX_coordn,SeO_coordn,mean_coordn_Se-X,min_coordn_Se-X,max_coordn_Se-X,mean_coordn_Se-O,min_coordn_Se-O,max_coordn_Se-O,mean_Se_charge,min_Se_charge,max_Se_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SeO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-10798,HgSeO3,1.6353743414191382,-0.2875751577940093,Triangular non-coplanar,1,4e,1,[0.8179516923320571],0.0,0.8179516923320571,ABC3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.717988328780203,r2SCAN,Hg-O-Se,0.004895135499999001,-0.683390996312499,2.2784,3,Monoclinic,2/m,P2_1/c,oxide,None,None,Hg,None,None,None,"H, O, S, Se",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1095437,LuSeO3F,1.8411443345374372,0.39391607564185954,Triangular non-coplanar,1,2e,1,[1.222768881997136],0.0,1.222768881997136,ABCD3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals",1.7286141969349866,GGA,F-Lu-O-Se,0.0,-2.862012023168403,3.8707000000000003,4,Monoclinic,2/m,P2_1/m,fluoride,None,None,None,None,None,None,"O, S, Se",F,None,Lu,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1101793,YSeO3F,1.8176852499191487,0.3831940840163271,Triangular non-coplanar,1,2e,1,[1.105251212654514],0.0,1.105251212654514,ABCD3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",1.708217099875559,r2SCAN,F-O-Se-Y,0.0,-2.589210019010416,3.8843,4,Monoclinic,2/m,P2_1/m,fluoride,None,None,Y,None,None,None,"O, S, Se",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1102514,ScSeO3F,1.842474619769887,0.3846633915752268,Triangular non-coplanar,1,2i,1,[1.4248693313556902],0.0,1.4248693313556902,ABCD3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",1.732586653491122,GGA,F-O-Sc-Se,0.0021306466666760004,-2.710342881223958,3.6881,4,Triclinic,-1,P-1,fluoride,None,None,Sc,None,None,None,"O, S, Se",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1102846,H2SeO3,1.529209979394536,-0.6981406583520526,Triangular non-coplanar,1,1a,1,"[1.132833741063339, 1.276730589129272]",0.0,1.2047821650963053,AB2C3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,Nonmetals,1.728240185207383,r2SCAN,H-O-Se,0.000898862916665,-0.89143677609375,4.4331,3,Triclinic,1,P1,oxide,None,None,None,None,None,None,"H, O, S, Se",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1104157,Cu2Ag(SeO5)2,1.915203822857744,0.5735275913446015,Tetrahedron,1,2i,1,[0.04634564198647401],0.0,0.04634564198647401,AB2C2D10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.6950909848344187,GGA,Ag-Cu-O-Se,0.047962676937500004,-0.824965289756944,0.0,4,Monoclinic,2/m,C2/m,oxide,None,None,"Cu, Ag",None,None,None,"C, O, S, Se",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1105005,Ni3Se4(ClO5)2,1.7975023338522782,0.271993498818684,Triangular non-coplanar,1,4i,1,"[0.675626017245269, 0.689787144919749]",0.0,0.682706581082509,A2B3C4D10,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",1.724229250750179,r2SCAN,Cl-Ni-O-Se,0.0,-1.2335048220723681,3.1114,4,Monoclinic,2/m,C2/m,hypochlorite,None,None,Ni,None,None,None,"C, N, O, S, Se",Cl,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1105151,Co3Se4(ClO5)2,1.8305208519054292,0.29953052714937806,Triangular non-coplanar,1,8j,1,[0.611654450674039],0.0,0.611654450674039,A2B3C4D10,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",1.7498329381838271,GGA_U,Cl-Co-O-Se,0.001129719677032,-1.250369013914474,2.6502,4,Monoclinic,2/m,C2/m,hypochlorite,None,None,Co,None,None,None,"C, O, S, Se",Cl,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1106073,BiH(SeO3)2,1.8203839393986498,0.2796737852510593,Triangular non-coplanar,1,2a,1,"[0.721817229211536, 0.89413706887349]",0.0,0.8079771490425129,ABC2D6,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",1.742352505896865,GGA,Bi-H-O-Se,0.042604037999996,-0.980755214687503,3.659,4,Monoclinic,m,Cc,oxide,None,None,None,None,Bi,B,"H, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1173735,NaCo2H3(SeO5)2,1.8115252656542957,0.31709505694565854,Tetrahedron,1,2a,1,"[0.04911307541227, 0.036608619138360006]",0.0,0.042860847275315,AB2C2D3E10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.683093289917914,GGA_U,Co-H-Na-O-Se,0.028691572731486002,-1.371223808600933,2.3657,5,Monoclinic,m,Cm,oxide,Na,None,Co,None,None,None,"H, C, N, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1178328,Fe2H6(SeO4)3,1.7423444521186486,0.006568181359728417,Triangular non-coplanar,1,6b,1,[1.040747864034072],0.0,1.040747864034072,A2B3C6D12,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",1.7405673237535044,GGA_U,Fe-H-O-Se,0.012176019130438,-1.345835206066575,0.0,4,Trigonal,3m,R3c,oxide,None,None,Fe,None,None,None,"H, O, S, Se",F,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1179820,Rb2TeH6SeO10,1.6550497128920831,-0.06194638794556928,Tetrahedron,1,4e,1,[0.017507875759763],0.0,0.017507875759763,ABC2D6E10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",1.6799865640711251,GGA,H-O-Rb-Se-Te,0.0,-1.495781350450521,3.529,5,Monoclinic,2/m,P2_1/c,oxide,Rb,None,None,None,None,Te,"H, O, S, Se",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1179858,Rb2UH4(SeO6)2,1.7610151649459085,0.2062459907364615,Tetrahedron,1,4a,1,"[0.13241496601184402, 0.175152991242846]",0.0,0.153783978627345,AB2C2D4E12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals",1.6783950732944577,GGA,H-O-Rb-Se-U,0.0,-1.875872220580357,2.2639,5,Orthorhombic,mm2,Pna2_1,oxide,Rb,None,None,None,None,None,"H, O, S, Se",None,None,None,U,"B $\in$ [0.1, 0.5]",Positive B
mp-1179933,PrSe4O11,1.7385967099708541,0.036796957222558255,"Tetrahedron, Triangular non-coplanar",2,4e,1,"[0.547479212772748, 0.30881495986266405, 0.713520186697253, 1.482660997750094]",0.0,0.7631188392706898,AB4C11,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,4.5,4.5,4.5,1.0,1,1,Se4.50+-O2-,"Lanthanides, Nonmetals",1.73388065484209,GGA,O-Pr-Se,0.029683216067708,-1.530097264127603,0.036000000000000004,3,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,None,None,"O, P, S, Se",None,None,Pr,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1180593,KH3(SeO3)2,1.5563544153326767,-0.6751186878013059,Triangular non-coplanar,1,4e,1,"[0.48819821972431504, 0.687558251310562]",0.0,0.5878782355174386,AB2C3D6,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",1.7497583236696244,GGA,H-K-O-Se,0.0,-1.406013358182292,4.3334,4,Monoclinic,2/m,P2_1/c,oxide,K,None,None,None,None,None,"H, O, S, Se",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1181702,Cs3H(SeO4)2,2.486719597429628,1.9788832035925872,Tetrahedron,1,2e,1,"[0.026372703950196003, 0.130147501399656]",0.0,0.078260102674926,AB2C3D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",1.685690837941336,GGA,Cs-H-O-Se,0.0016321074999990001,-1.662171125350215,3.487999999999999,4,Monoclinic,2/m,P2_1/m,oxide,Cs,None,None,None,None,None,"H, C, O, S, Se",None,None,None,None,B > 1,Positive B
mp-1181715,NiH10(SeO5)2,1.6555769106125013,-0.3048991588651472,Triangular non-coplanar,1,4f,1,[0.8807195233811641],0.0,0.8807195233811641,AB2C10D10,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.7424984250927802,GGA_U,H-Ni-O-Se,0.0,-1.268271875747282,3.8277,4,Monoclinic,2/m,C2/c,oxide,None,None,Ni,None,None,None,"H, N, O, S, Se",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1181790,CoH4SeO5,1.5878596508962888,-0.5295637916651118,Triangular non-coplanar,1,4e,1,[0.511228762468246],0.0,0.511228762468246,ABC4D5,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.7401158682103581,GGA_U,Co-H-O-Se,0.011865727727274001,-1.283358010894887,3.0003,4,Monoclinic,2/m,P2_1/c,oxide,None,None,Co,None,None,None,"H, C, O, S, Se",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1182406,CrHSe3O8,1.8406777918471124,0.3295912176779019,Triangular non-coplanar,1,4e,1,"[0.9548028917849001, 0.493645913908455, 0.9429604874371421]",0.0,0.7971364310434991,ABC3D8,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.7498589289417676,GGA_U,Cr-H-O-Se,0.0,-1.45425028890625,3.000299999999999,4,Monoclinic,2/m,P2_1/c,oxide,None,None,Cr,None,None,None,"H, C, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1183876,CdHg2SeO6,1.7301037071755374,0.12354048153116685,Tetrahedron,1,2i,1,[0.037019902142656005],0.0,0.037019902142656005,ABC2D6,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.6803612679374498,GGA,Cd-Hg-O-Se,0.017101982999999002,-1.053374710234376,0.999,4,Triclinic,-1,P-1,oxide,None,None,"Cd, Hg",None,None,None,"H, C, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1189942,Li2H2SeO5,1.6841068093167895,0.027647436877460706,Tetrahedron,1,2a,1,[0.032329735601307],0.0,0.032329735601307,AB2C2D5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",1.6729536504017188,GGA,H-Li-O-Se,0.01727797791667,-1.662430756651042,4.007,4,Monoclinic,2,P2_1,oxide,Li,None,None,None,None,None,"H, O, S, Se",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1189952,Na2NiH4(SeO5)2,1.7252222510308115,0.11535209487112019,Tetrahedron,1,2i,1,[0.11401483030586201],0.0,0.11401483030586201,AB2C2D4E10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.6786969549895026,GGA_U,H-Na-Ni-O-Se,0.0,-1.440821779602427,3.1791,5,Triclinic,-1,P-1,oxide,Na,None,Ni,None,None,None,"H, N, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1190160,K2Se2O7,1.8089840317747878,0.3570952184199621,Tetrahedron,1,4f,1,[0.25964489357445003],0.0,0.25964489357445003,A2B2C7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",1.6721898956804804,r2SCAN,K-O-Se,0.0,-1.550804163107953,3.0355,3,Monoclinic,2/m,C2/c,oxide,K,None,None,None,None,None,"O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1190405,CaSeO4,1.855803045961912,0.4491767342522338,Tetrahedron,1,4e,1,[0.13257533829398999],0.0,0.13257533829398999,ABC4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals",1.6741621566578768,GGA,Ca-O-Se,0.034759202500014005,-1.785462060677079,3.4841,3,Monoclinic,2/m,P2_1/c,oxide,None,Ca,None,None,None,None,"C, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1190417,YV(SeO4)2,1.7304079987640129,-0.06200974822106335,no_data,1,no_data,1,no_data,0.0,no_data,ABC2D8,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.7451352233608421,GGA_U,O-Se-V-Y,0.01608760125,-2.153044592473958,1.3221999999999992,4,Orthorhombic,mm2,Aem2,oxide,None,None,"V, Y",None,None,None,"O, S, Se",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1190423,Na2Se2O7,1.8055047959545014,0.35180809204222674,Tetrahedron,1,2i,1,"[0.26979575447923604, 0.48336352698066404]",0.0,0.37657964072995004,A2B2C7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",1.670813727806411,r2SCAN,Na-O-Se,0.0,-1.160061405284091,2.8061,3,Triclinic,-1,P-1,oxide,Na,None,None,None,None,None,"N, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1190442,FeSeO3F,1.8609034144456857,0.4062382890172761,Triangular non-coplanar,1,4e,1,[0.7938573809927201],0.0,0.7938573809927201,ABCD3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",1.745089226743776,GGA_U,F-Fe-O-Se,0.0,-1.691983683307289,1.4261,4,Monoclinic,2/m,P2_1/c,fluoride,None,None,Fe,None,None,None,"O, S, Se",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1190450,NaNbSe2O7,1.9084121014570106,0.5826748806902126,Triangular non-coplanar,1,4b,1,[0.6374833776827491],0.0,0.6374833776827491,ABC2D7,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.7429821085665615,GGA,Na-Nb-O-Se,0.0,-1.9789484219151632,2.9067,4,Orthorhombic,mm2,Cmc2_1,oxide,Na,None,Nb,None,None,None,"N, O, S, Se",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1190543,Rb2Se2O7,1.8130848159258757,0.3641269181640209,Tetrahedron,1,4f,1,[0.24413051835903302],0.0,0.24413051835903302,A2B2C7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",1.6735806868091543,r2SCAN,O-Rb-Se,0.0,-1.553559318607953,3.0932,3,Monoclinic,2/m,C2/c,oxide,Rb,None,None,None,None,None,"O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
