material_id,chem_formula,R$_0$,B,Si_chemenv,num_Si_chemenvs,Si_wyckoff,num_Si_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Si_sites,num_CN_env,num_charge_states,mean_coordn_Si-X,min_coordn_Si-X,max_coordn_Si-X,mean_coordn_Si-O,min_coordn_Si-O,max_coordn_Si-O,mean_Si_charge,min_Si_charge,max_Si_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_SiO_BondL,SiX_coordn,SiO_coordn
mp-1019518,Ba2CaSi4(BO7)2,1.6391630824271035,0.2931768452983078,Tetrahedron,1,8j,1,[0.11068418292257293],0.0,0.11068418292257293,AB2C2D4E14,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Ba-Ca-O-Si,0.0,-3.309788640144927,4.8764,5,Tetragonal,-42m,I-42m,oxide,,"Ca, Ba",,,,"B, Si","C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.638154097270882,[4.0],[4.0]
mp-1019523,Ba3NaY3(Si3O10)2,1.6470839622864424,0.3400532370627506,Tetrahedron,1,"2b, 4c",2,"[0.24639939211295075, 0.2910162569464341, 0.16129590871261618, 0.4080010322993357]",0.0,0.2766781475178342,AB3C3D6E20,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Na-O-Si-Y,0.0,-3.486692405496344,4.7986,5,Orthorhombic,mm2,Ama2,oxide,Na,Ba,Y,,,"B, Si","N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6469253044329104,[4.0],[4.0]
mp-1019526,Ba3Si2(B3O8)2,1.6431849889568793,0.1673701720294322,Tetrahedron,1,2i,1,[0.16710946107317554],0.0,0.16710946107317554,A2B3C6D16,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Ba-O-Si,0.0,-3.1493520072222214,5.4031,4,Triclinic,-1,P-1,oxide,,Ba,,,,"B, Si","O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6432321753395254,[4.0],[4.0]
mp-1019531,BaAl2Si3(NO)4,1.5831545165799976,1.9493760176839885,Tetrahedron,1,"2a, 4b",2,"[0.13460740637163138, 0.1537388589066285]",0.0,0.14417313263912995,AB2C3D4E4,1,1,1,4.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,2,2,"N3-, O2-","Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ba-N-O-Si,0.0,-2.381240046428572,3.5521000000000003,5,Orthorhombic,mm2,Cmc2_1,oxide,,Ba,,,Al,"B, Si","N, O, S",,,,,B > 1,Positive B,1.6739956059087555,[4.0],[1.0]
mp-1019533,Ba9Y2(SiO4)6,1.653250699298789,0.1898900421481816,Tetrahedron,1,6f,1,[0.14191555853044535],0.0,0.14191555853044535,A2B6C9D24,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Si-Y,0.0053502997865768,-3.4416693685365845,4.5047,4,Trigonal,-3,R-3,silicate,,Ba,Y,,,"B, Si","O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6546810137486547,[4.0],[4.0]
mp-1019535,BaAl2(SiO4)2,1.6384675973668217,0.3252294288454585,Tetrahedron,1,2d,1,[0.03445500931362027],0.0,0.03445500931362027,AB2C2D8,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ba-O-Si,0.0046539800000005,-3.446998751538461,4.911300000000001,4,Trigonal,-3,P-3,silicate,,Ba,,,Al,"B, Si","O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.639272103792189,[4.0],[4.0]
mp-1019537,BaAlSi4N5O3,1.663042662302523,0.259782399484419,Tetrahedron,1,"2a, 4b",2,"[0.14083652459473697, 0.10618025671274363, 0.07026582690265094]",0.0,0.10576086940337719,ABC3D4E5,1,2,1,4.0,4.0,4.0,1.0,0.0,1.0,4.0,4.0,4.0,1.5,1,2,"N3-, O2-","Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ba-N-O-Si,0.0368108280462617,-2.068027145178571,3.2165,5,Orthorhombic,mm2,Cmc2_1,oxide,,Ba,,,Al,"B, Si","N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6467764655569432,[4.0],"[0, 1.0]"
mp-1019546,BaY4Si5O17,1.647218855252931,0.3542133047809334,Tetrahedron,1,"2e, 4f",2,"[0.04236126182615105, 0.10687269576164686, 0.03569948131135282]",0.0,0.06164447963305023,AB4C5D17,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Si-Y,0.0051847046604951,-3.614151349351852,4.8104,4,Monoclinic,2/m,P2_1/m,oxide,,Ba,Y,,,"B, Si","O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6478573699896208,[4.0],[4.0]
mp-1019549,BaMg2Si2O7,1.632427209335215,0.3890336372789005,Tetrahedron,1,4f,1,"[0.22144452995232672, 0.2642195371372497]",0.0,0.24283203354478822,AB2C2D7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",R2SCAN,Ba-Mg-O-Si,0.0,-3.292188313750001,4.5563,4,Monoclinic,2/m,C2/c,oxide,,"Mg, Ba",,,,"B, Si","O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6328855903156891,[4.0],[4.0]
mp-1019558,BaSr2Mg(SiO4)2,1.649002359441302,0.4450626105405213,Tetrahedron,1,2d,1,[0.12293325660762923],0.0,0.12293325660762923,ABC2D2E8,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Ba-Mg-O-Si-Sr,0.0,-3.3742351275,4.759,5,Trigonal,-3m,P-3m1,silicate,,"Mg, Sr, Ba",,,,"B, Si","O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6493698359344804,[4.0],[4.0]
