material_id,chem_formula,R$_0$,B,Sm_chemenv,num_Sm_chemenvs,Sm_wyckoff,num_Sm_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Sm_sites,num_CN_env,num_charge_states,SmX_coordn,SmO_coordn,mean_coordn_Sm-X,min_coordn_Sm-X,max_coordn_Sm-X,mean_coordn_Sm-O,min_coordn_Sm-O,max_coordn_Sm-O,mean_Sm_charge,min_Sm_charge,max_Sm_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SmO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1005754,SmHSO5,2.0005219726539396,0.5063130537212757,Tricapped triangular prism (three square-face caps),1,4e,1,[1.835313861623829],0.0,1.835313861623829,ABCD5,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",2.521743293300123,GGA,H-O-S-Sm,0.0,-2.523762909531251,5.6617,4,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,None,None,"H, O, S",None,None,Sm,None,"B $\in$ [0.5, 1]",Positive B
mp-1012835,SmCu(WO4)2,2.5411617665697412,-0.053020823368851076,Square-face bicapped trigonal prism,1,2i,1,[3.499794959769038],0.0,3.499794959769038,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.4639951695193254,GGA_U,Cu-O-Sm-W,0.041642194531256005,-2.359475323333333,1.4827,4,Triclinic,-1,P-1,oxide,None,None,"Cu, W",None,None,None,"C, O, S",None,None,Sm,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-10560,Sm3AuO6,1.9801166067642826,0.543383738337225,"Cube, Square-face capped trigonal prism",2,"1b, 2i",2,"[2.9175828058819633, 2.13519362231271]",0.0,2.5263882140973366,AB3C6,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.3896120247707593,r2SCAN,Au-O-Sm,0.0,-3.077528223500002,1.7477,3,Triclinic,-1,P-1,oxide,None,None,Au,None,None,None,"O, S",None,None,Sm,None,"B $\in$ [0.5, 1]",Positive B
mp-10733,Sm2O3,1.8891302289364216,0.6780925901558785,Face-capped octahedron,1,2d,1,[2.853283930347975],0.0,2.853283930347975,A2B3,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",2.439228548386562,r2SCAN,O-Sm,0.017037217749997002,-3.736310308000003,3.9371,2,Trigonal,-3m,P-3m1,oxide,None,None,None,None,None,None,"O, S",None,None,Sm,None,"B $\in$ [0.5, 1]",Positive B
mp-1101371,SmLuO3,0.3808438086379085,2.4969342894618674,Square-face bicapped trigonal prism,1,4c,1,[1.937978761214652],0.0,1.937978761214652,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",2.6001264062565914,GGA,Lu-O-Sm,0.039545404249999,-3.869507581708331,4.7782,3,Orthorhombic,mmm,Pnma,oxide,None,None,None,None,None,None,"O, S",None,None,"Sm, Lu",None,B > 1,Positive B
mp-1101390,SmHO2,2.1477286417954473,0.32135815850266536,Octahedron,1,4c,1,[1.46382542039534],0.0,1.46382542039534,ABC2,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",2.3788174994705056,GGA,H-O-Sm,0.036684101875023,-2.778513336562477,4.4747,3,Orthorhombic,mmm,Pnma,oxide,None,None,None,None,None,None,"H, O, S",None,None,Sm,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1101397,SmHO2,2.0857103847106635,0.4000084605676305,Square-face capped trigonal prism,1,2e,1,[2.6372712787681563],0.0,2.6372712787681563,ABC2,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",2.4042885822566347,r2SCAN,H-O-Sm,0.0,-2.815197438437501,3.9025,3,Monoclinic,2/m,P2_1/m,oxide,None,None,None,None,None,None,"H, O, S",None,None,Sm,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1105337,Sm3B(SO)3,2.0866060338574437,0.4007017447270357,"Face-capped octahedron, Square-face capped trigonal prism, Tricapped triangular prism (three square-face caps)",3,2i,1,"[1.538216726502869, 2.688065948725549, 2.323828922700142]",0.0,2.1833705326428534,AB3C3D3,3,3,1,"[4.0, 1.0, 3.0]","[4.0, 1.0, 3.0]",2.6666666666666665,1.0,4.0,2.6666666666666665,1.0,4.0,3.0,3.0,3.0,2.0,2,2,O2-,"Lanthanides, Metalloids, Nonmetals",2.468525405488138,GGA,B-O-S-Sm,0.0,-2.931194147666666,1.5301,4,Triclinic,-1,P-1,oxide,None,None,None,None,None,B,"O, S",None,None,Sm,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1105484,Sm3FeO6,1.872278030146435,0.638220862705223,Square-face capped trigonal prism,1,"4b, 2a",2,"[2.379022263208854, 3.848363382134304]",0.0,3.113692822671579,AB3C6,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",2.415256644524491,r2SCAN,Fe-O-Sm,0.0,-3.335018942500001,1.4942,3,Orthorhombic,mm2,Cmc2_1,oxide,None,None,Fe,None,None,None,"O, S",F,None,Sm,None,"B $\in$ [0.5, 1]",Positive B
mp-1105788,SmCrO3,1.2497941961545975,1.3787189558084798,Square-face bicapped trigonal prism,1,4c,1,[2.167535791962705],0.0,2.167535791962705,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.476581188384235,r2SCAN,Cr-O-Sm,0.0,-3.1710719595,2.4802,3,Orthorhombic,mmm,Pnma,oxide,None,None,Cr,None,None,None,"C, O, S",None,None,Sm,None,B > 1,Positive B
