material_id,chem_formula,R$_0$,B,Ti_chemenv,num_Ti_chemenvs,Ti_wyckoff,num_Ti_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ti_sites,num_CN_env,num_charge_states,mean_coordn_Ti-X,min_coordn_Ti-X,max_coordn_Ti-X,mean_coordn_Ti-O,min_coordn_Ti-O,max_coordn_Ti-O,mean_Ti_charge,min_Ti_charge,max_Ti_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_TiO_BondL,TiX_coordn,TiO_coordn
mp-1013762,LiTi2P2O9,1.9075911129217336,0.2107481097181741,Octahedron,1,"4c, 4a",2,"[1.1384660418267059, 0.9518903698806971]",0.0,1.0451782058537016,AB2C2D9,1,2,2,6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Li-O-P-Ti,0.0499601135050919,-2.9949358449489805,0.0425000000000004,4,Orthorhombic,mmm,Pnma,oxide,Li,,Ti,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.022479376729814,[6.0],[6.0]
mp-1025200,Eu2TiO4,2.218072492738671,-0.6153261275275131,Octahedron,1,1a,1,[0.02790288996405677],0.0,0.02790288996405677,AB2C4,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",R2SCAN,Eu-O-Ti,0.0,-3.452008724761908,0.0,3,Tetragonal,4/mmm,I4/mmm,oxide,,,Ti,,,,O,,,Eu,,"B $\in$ [-1, -0.1]",Negative B,1.9676896151408307,[6.0],[6.0]
mp-1031344,LiMg6TiO8,1.919865360543266,0.2663872941129037,Octahedron,1,1a,1,[0.0014243632665015972],0.0,0.0014243632665015972,ABC6D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Li-Mg-O-Ti,0.0433063828125002,-2.978113372916666,0.0,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Ti,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.104624595129021,[6.0],[6.0]
mp-1034083,NaMg14TiO16,1.652843198396662,0.6044750216915423,Octahedron,1,1a,1,[0.019582508015659333],0.0,0.019582508015659333,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",R2SCAN,Mg-Na-O-Ti,0.0494057628077104,-2.9558295779597694,0.0,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,Ti,,,,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.0725204082784363,[6.0],[6.0]
mp-1034101,NaMg14TiO16,1.4324072735888975,0.9356191252051816,Octahedron,1,1a,1,[0.09776639052538497],0.0,0.09776639052538497,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Mg-Na-O-Ti,0.0421750131202109,-2.963060327647269,0.0,4,Orthorhombic,mmm,Pmmm,oxide,Na,Mg,Ti,,,,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.0830083918049165,[6.0],[6.0]
mp-1034182,LiMg14TiO16,1.6598976431009311,0.6070702383759452,Octahedron,1,1a,1,[0.03980972285173332],0.0,0.03980972285173332,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Li-Mg-O-Ti,0.02646991640625,-3.002318867083333,0.0,4,Orthorhombic,mmm,Pmmm,oxide,Li,Mg,Ti,,,,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.082034424056859,[6.0],[6.0]
mp-1034187,LiMg14TiO16,1.7374075308797063,0.5033596406153273,Octahedron,1,1a,1,[0.013392300728466665],0.0,0.013392300728466665,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Li-Mg-O-Ti,0.03251607484375,-2.996272708645833,0.0,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Ti,,,,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.0868831346555883,[6.0],[6.0]
mp-1040361,LiMg30TiO32,4.379370976510737,-3.308084555185012,Octahedron,1,1a,1,[0.019842042733764137],0.0,0.019842042733764137,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Li-Mg-O-Ti,0.0168938158593752,-3.015579481510416,0.2337999999999995,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,Ti,,,,O,,,,,B < -1,Negative B,2.0862724803373327,[6.0],[6.0]
mp-1041196,Ti3P3O13,1.794605480771235,0.4582956033836051,"Square pyramid, Octahedron",2,"2a, 2e",2,"[2.193000640574041, 1.0734808654308892, 0.6771851011482908]",0.0,1.3145555357177403,A3B3C13,2,3,2,5.666666666666667,5.0,6.0,5.666666666666667,5.0,6.0,3.6666666666666665,3.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,O-P-Ti,0.0319231371140418,-2.8116041747982434,0.0,3,Monoclinic,2/m,P2_1/m,oxide,,,Ti,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.014885853653918,"[5.0, 6.0]","[5.0, 6.0]"
mp-1042395,Mg2Ti3O8,1.843015884707496,0.3353042281253195,Octahedron,1,6c,1,[0.7576476266004043],0.0,0.7576476266004043,A2B3C8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Mg-O-Ti,0.044405029230738,-3.352565332692307,2.6527,3,Hexagonal,6mm,P6_3mc,oxide,,Mg,Ti,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.985299617865784,[6.0],[6.0]
mp-1042495,Ti3Zn2O8,1.8439959413020564,0.3375312023816011,Octahedron,1,6c,1,[0.7428887859275576],0.0,0.7428887859275576,A2B3C8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,O-Ti-Zn,0.0453203067307805,-2.9317315223076914,2.2935,3,Hexagonal,6mm,P6_3mc,oxide,,,"Ti, Zn",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9882809761619644,[6.0],[6.0]
mp-1042864,Ti(GeO3)2,1.7128483379366906,0.8394656879378708,Octahedron,1,2e,1,[1.7193706752768025],0.0,1.7193706752768025,AB2C6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,Ge-O-Ti,0.0278612514814824,-2.3130377214814817,3.0372000000000003,3,Monoclinic,2/m,C2/c,oxide,,,Ti,,,Ge,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.0163799398529405,[6.0],[6.0]
mp-1042982,CaTi(GeO3)2,2.1027858984251377,-0.0703390628114911,Octahedron,1,4e,1,[2.0717532678366712],0.0,2.0717532678366712,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ca-Ge-O-Ti,0.0440159855000024,-2.7162548658333323,2.1745000000000005,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,Ti,,,Ge,"C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.99981064143744,[6.0],[6.0]
mp-1043031,MgTiNiP2O9,1.7433205843578232,0.5842665715743104,Octahedron,1,4c,1,[1.1862957577561908],0.0,1.1862957577561908,ABCD2E9,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Ni-O-P-Ti,0.0468535140476191,-2.767855729115646,2.9911,5,Orthorhombic,mmm,Pnma,oxide,,Mg,"Ti, Ni",,,,"N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.983859376809989,[6.0],[6.0]
mp-1043032,Ti(GeO3)2,1.7181781304867454,0.7905593901135207,Octahedron,1,4e,1,[2.3594104386791575],0.0,2.3594104386791575,AB2C6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,Ge-O-Ti,0.0281855289814814,-2.3127134439814814,3.2157,3,Monoclinic,2/m,P2_1/c,oxide,,,Ti,,,Ge,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.009713713357426,[6.0],[6.0]
mp-1043092,CaTiNiP2O9,1.736919559019049,0.6323627455189219,Octahedron,1,4c,1,[1.0179896326797193],0.0,1.0179896326797193,ABCD2E9,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Ni-O-P-Ti,0.0,-2.9168153384013604,2.9967,5,Orthorhombic,mmm,Pnma,oxide,,Ca,"Ti, Ni",,,,"C, N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.001167024848129,[6.0],[6.0]
mp-1043685,MgTi2(PO4)3,1.6810401671661288,0.5857363708214696,Octahedron,1,4c,1,[0.6831328129404126],0.0,0.6831328129404126,AB2C3D12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.5,3.5,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Mg-O-P-Ti,0.0119852252817391,-3.0328280933664025,0.1680999999999999,4,Trigonal,-3m,R-3c,phosphate,,Mg,Ti,,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.0027874772084044,[6.0],[6.0]
mp-1043719,Ti2Zn(PO4)3,1.6930056782071603,0.5553028272035703,Octahedron,1,4c,1,[0.6167132138814971],0.0,0.6167132138814971,AB2C3D12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.5,3.5,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,O-P-Ti-Zn,0.0191460501009501,-2.85354524614418,0.1631,4,Trigonal,-3m,R-3c,phosphate,,,"Ti, Zn",,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.998036111379735,[6.0],[6.0]
mp-1043730,CaTiCu(PO4)3,1.6722741295538497,0.7289883208193412,Octahedron,1,2a,1,[0.36893826899405097],0.0,0.36893826899405097,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Ca-Cu-O-P-Ti,0.0307716877777819,-2.711938416236772,0.0,5,Trigonal,3m,R3c,phosphate,,Ca,"Ti, Cu",,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.9720613300193863,[6.0],[6.0]
mp-1043825,CaLaTiFeO6,1.9702492844467947,0.0204478519261175,Octahedron,1,4a,1,[0.021776541317312433],0.0,0.021776541317312433,ABCDE6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Fe-La-O-Ti,0.0037362585,-3.198188591583334,0.0,5,Monoclinic,m,Pc,oxide,,Ca,"Ti, Fe",,,,"C, O",F,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.978569604391772,[6.0],[6.0]
mp-1044222,CaTiCo(PO4)3,1.6551083124807122,0.7761428577434745,Octahedron,1,2a,1,[0.3432567763094445],0.0,0.3432567763094445,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Co-O-P-Ti,0.0433306428125161,-2.763183928736772,0.9571,5,Trigonal,3m,R3c,phosphate,,Ca,"Ti, Co",,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.974288523059496,[6.0],[6.0]
mp-1044226,MgTiNi(PO4)3,1.591952230173927,0.9386374781594944,Octahedron,1,2a,1,[0.6811881441411293],0.0,0.6811881441411293,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Ni-O-P-Ti,0.0498544607330311,-2.663465151236772,0.0,5,Trigonal,3m,R3c,phosphate,,Mg,"Ti, Ni",,,,"N, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.977955331836652,[6.0],[6.0]
mp-1044237,CaTiV(PO4)3,1.6502765481254271,0.8201098662942128,Octahedron,1,2a,1,[0.41942854938554236],0.0,0.41942854938554236,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-O-P-Ti-V,0.02006519666668,-2.988885703736772,1.3963,5,Trigonal,3m,R3c,phosphate,,Ca,"Ti, V",,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.987536916681616,[6.0],[6.0]
mp-1044277,CaTiMn(PO4)3,1.6829963897111917,0.7375040840124781,Octahedron,1,2a,1,[0.38101490478817807],0.0,0.38101490478817807,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mn-O-P-Ti,0.014759313715297,-2.907084693621829,0.0,5,Trigonal,3m,R3c,phosphate,,Ca,"Ti, Mn",,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.9862857494916408,[6.0],[6.0]
mp-1044279,TiZnFe(PO4)3,1.6409671606196825,0.7721234540663777,Octahedron,1,2a,1,[0.6480452174623399],0.0,0.6480452174623399,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",R2SCAN,Fe-O-P-Ti-Zn,0.0188278268672608,-2.625404308458993,2.3714,5,Trigonal,3m,R3c,phosphate,,,"Ti, Fe, Zn",,,,"O, P",F,,,,"B $\in$ [0.5, 1]",Positive B,1.9584953417955224,[6.0],[6.0]
mp-1044282,MgTiFe(PO4)3,1.5807408474458282,0.9668846907509442,Octahedron,1,2a,1,[0.7044887198585392],0.0,0.7044887198585392,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Fe-Mg-O-P-Ti,0.0102781049999993,-2.8043126759589936,2.3679,5,Trigonal,3m,R3c,phosphate,,Mg,"Ti, Fe",,,,"O, P",F,,,,"B $\in$ [0.5, 1]",Positive B,1.978362506993901,[6.0],[6.0]
mp-1044288,MgTiMo(PO4)3,1.5673181185066871,1.0850519854480225,Octahedron,1,2a,1,[0.9110601372371706],0.0,0.9110601372371706,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Mo-O-P-Ti,0.0035484160714442,-2.8118405684589933,1.0805000000000002,5,Trigonal,3m,R3c,phosphate,,Mg,"Ti, Mo",,,,"O, P",,,,,B > 1,Positive B,2.013533683888383,[6.0],[6.0]
mp-1044303,MgTiCr(PO4)3,1.601736727237188,0.9095576353820812,Octahedron,1,2a,1,[0.6887786657326354],0.0,0.6887786657326354,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Mg-O-P-Ti,0.0021816893055355,-2.8939378984589936,2.3987000000000003,5,Trigonal,3m,R3c,phosphate,,Mg,"Ti, Cr",,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.975780703423479,[6.0],[6.0]
mp-1044309,MgTiV(PO4)3,1.6101202582793768,0.9094502233712712,Octahedron,1,2a,1,[0.7349761029035584],0.0,0.7349761029035584,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-O-P-Ti-V,0.0341424901388869,-2.89681786262566,1.4562,5,Trigonal,3m,R3c,phosphate,,Mg,"Ti, V",,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.98412139224072,[6.0],[6.0]
mp-1044311,TiZnCr(PO4)3,1.630398885409661,0.833037611446888,Octahedron,1,2a,1,[0.6677399109259158],0.0,0.6677399109259158,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Cr-O-P-Ti-Zn,0.0105643692283834,-2.715196572903438,2.3403,5,Trigonal,3m,R3c,phosphate,,,"Ti, Cr, Zn",,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.9729744720933784,[6.0],[6.0]
mp-1044314,CaTiCr(PO4)3,1.6335029769847291,0.8410532895788811,Octahedron,1,2a,1,[0.40181228144760894],0.0,0.40181228144760894,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Cr-O-P-Ti,0.0,-2.9839234973478828,2.3575,5,Trigonal,3m,R3c,phosphate,,Ca,"Ti, Cr",,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.979379109518824,[6.0],[6.0]
mp-1044316,TiMnZn(PO4)3,1.6175693078058195,0.8815687865852457,Octahedron,1,2a,1,[0.7170616707310766],0.0,0.7170616707310766,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mn-O-P-Ti-Zn,0.0428487857329669,-2.636848135010718,0.0,5,Trigonal,3m,R3c,phosphate,,,"Ti, Mn, Zn",,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.9801035613125828,[6.0],[6.0]
mp-1044342,TiZnMo(PO4)3,1.574577796251819,1.0610243997496376,Octahedron,1,2a,1,[0.8922626979473589],0.0,0.8922626979473589,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mo-O-P-Ti-Zn,0.0124821942350017,-2.632959869570104,1.0987,5,Trigonal,3m,R3c,phosphate,,,"Ti, Zn, Mo",,,,"O, P",,,,,B > 1,Positive B,2.010912525124588,[6.0],[6.0]
mp-1044354,CaTiMo(PO4)3,1.6253613888128975,0.948279451711056,Octahedron,1,2a,1,[0.6437396782654498],0.0,0.6437396782654498,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mo-O-P-Ti,0.0,-2.910429155403438,0.9905,5,Trigonal,3m,R3c,phosphate,,Ca,"Ti, Mo",,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.015329875268669,[6.0],[6.0]
mp-1044357,MgTiMn(PO4)3,1.62963835859185,0.8664221526192218,Octahedron,1,2a,1,[0.7173199881488065],0.0,0.7173199881488065,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Mn-O-P-Ti,0.029328002141213,-2.8156673836218298,0.0,5,Trigonal,3m,R3c,phosphate,,Mg,"Ti, Mn",,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,1.985943184461456,[6.0],[6.0]
mp-1044375,MgTiP3WO12,1.5395684670353804,1.1640187240114794,Octahedron,1,2a,1,[0.9667844987535512],0.0,0.9667844987535512,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-O-P-Ti-W,0.049880670879622,-2.770341314847882,0.8754999999999997,5,Trigonal,3m,R3c,oxide,,Mg,"Ti, W",,,,"O, P",,,,,B > 1,Positive B,2.018256733769204,[6.0],[6.0]
mp-1044377,CaTiP3WO12,1.6232758627686672,0.9615281730531664,Octahedron,1,2a,1,[0.67171687692608],0.0,0.67171687692608,ABCD3E12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-O-P-Ti-W,0.0259843428125012,-2.869946849014549,0.6847999999999996,5,Trigonal,3m,R3c,oxide,,Ca,"Ti, W",,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.0186940516632563,[6.0],[6.0]
