material_id,chem_formula,R$_0$,B,Tl_chemenv,num_Tl_chemenvs,Tl_wyckoff,num_Tl_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Tl_sites,num_CN_env,num_charge_states,TlX_coordn,TlO_coordn,mean_coordn_Tl-X,min_coordn_Tl-X,max_coordn_Tl-X,mean_coordn_Tl-O,min_coordn_Tl-O,max_coordn_Tl-O,mean_Tl_charge,min_Tl_charge,max_Tl_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_TlO_BondL
mp-1025154,UTl2O4,3.074706935776933,-0.0015211272409708,Tricapped triangular prism (three square-face caps),1,2e,1,[5.683748383084909],1.0,5.683748383084909,AB2C4,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Actinides, Nonmetals, Post-Transition Metals",r2SCAN,O-Tl-U,0.0,-2.5246934652380952,1.511299999999999,3,Tetragonal,4/mmm,I4/mmm,oxide,,,,,Tl,,O,,,,U,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.0449183818826544
mp-1105306,TlCrO3,0.5592569334851503,2.147525066320596,Square-face bicapped trigonal prism,1,4c,1,[2.221000937754681],0.0,2.221000937754681,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Cr-O-Tl,0.039864296500002,-1.6936482416666672,0.4346,3,Orthorhombic,mmm,Pnma,oxide,,,Cr,,Tl,,"C, O",,,,,B > 1,Positive B,2.4820769850453335
mp-1173221,Sr4Ca2TlCu4PbO14,1.5438985944306705,1.311499176413586,Octahedron,1,1b,1,[1.302971206181261],0.0,1.302971206181261,ABC2D4E4F14,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Ca-Cu-O-Pb-Sr-Tl,0.025706914182693,-2.076023019743589,0.0,6,Tetragonal,4/mmm,I4/mmm,oxide,,"Ca, Sr",Cu,,"Tl, Pb",,"C, O, P, S",,,,,B > 1,Positive B,2.4854350920800012
mp-1178146,K2TlPCO7,1.4061213129185712,1.2997593431925631,Octahedron,1,2e,1,[3.021814078663591],0.0,3.021814078663591,ABCD2E7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",GGA,C-K-O-P-Tl,0.0,-2.131824557498015,1.2579,5,Monoclinic,2/m,P2_1/m,oxide,K,,,,Tl,,"C, O, P",,,,,B > 1,Positive B,2.321136365926144
mp-1178147,K3TlPCO7,3.687767907928253,-1.6098680974318094,Octahedron,1,2e,1,[4.197754859086194],0.0,4.197754859086194,ABCD3E7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",GGA,C-K-O-P-Tl,0.021112891378209,-2.164944368632784,0.0,5,Monoclinic,2/m,P2_1/m,oxide,K,,,,Tl,,"C, O, P",,,,,B < -1,Negative B,2.5807500327064488
mp-1190230,TlPHO3,3.158689123705634,-0.009880640291445,Square-face capped trigonal prism,1,4e,1,[8.950653658084747],1.0,8.950653658084747,ABCD3,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",GGA,H-O-P-Tl,0.029287795913465,-1.882859039871032,3.3362,4,Monoclinic,2/m,P2_1/c,oxide,,,,,Tl,,"H, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.0464159202775325
mp-1191720,TlAgTeO3,2.511987987480869,0.228886682605567,Octahedron,1,4c,1,[5.071721438373221],1.0,5.071721438373221,ABCD3,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Ag-O-Te-Tl,0.044003400231478,-1.085615026527779,2.254299999999999,4,Orthorhombic,mm2,Iba2,oxide,,,Ag,,Tl,Te,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.8346460100385555
mp-1191858,Tl4CuTeO6,2.302824221147516,0.3089904149000785,"See-saw, Square pyramid, Triangular non-coplanar",3,2i,1,"[11.523278455246949, 10.636088887139573, 6.884010178193418, 19.0377864092372]",1.0,12.020290982454284,ABC4D6,3,3,1,"[2.0, 3.0, 5.0]","[2.0, 3.0, 5.0]",3.333333333333333,2.0,5.0,3.333333333333333,2.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Cu-O-Te-Tl,0.0,-1.151453162083336,0.469799999999999,4,Triclinic,-1,P-1,oxide,,,Cu,,Tl,Te,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.719898570652836
mp-1191912,NaTl3Cu4(TeO6)2,2.0470663537639133,0.4769878664960892,Octahedron,1,"2h, 1b",2,"[8.081950123988282, 13.805875493101608]",1.0,10.943912808544944,AB2C3D4E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Cu-Na-O-Te-Tl,0.009565423285987,-1.232399806123302,0.0,5,Monoclinic,2/m,C2/m,oxide,Na,,Cu,,Tl,Te,"C, N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.904312777096794
mp-1194570,TlBi(SO4)2,3.1911637548155545,0.038698813391164,no_data,1,no_data,1,no_data,0.0,no_data,ABC2D8,2,2,1,"[12.0, 14.0]","[12.0, 14.0]",13.0,12.0,14.0,13.0,12.0,14.0,1.0,1.0,1.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-O-S-Tl,0.0,-1.829690252986112,4.0547,4,Triclinic,-1,P-1,sulfate,,,,,"Tl, Bi",B,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.292280537006113
mp-1194829,Tl2PO3,2.2846456363741647,0.3649221744079254,Square pyramid,1,8c,1,"[14.398974795192965, 6.405464960221144]",1.0,10.402219877707054,AB2C3,1,2,1,"[3.0, 5.0]","[3.0, 5.0]",4.0,3.0,5.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",GGA,O-P-Tl,0.028914922580131,-1.6678431178357722,2.465799999999999,3,Orthorhombic,mmm,Pbca,phosphite,,,,,Tl,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.76634864770858
mp-1194874,TlB3O5,1.4735791346016318,0.8385630932425345,End-trigonal-face capped trigonal prism,1,4f,1,[12.437157329511688],1.0,12.437157329511688,AB3C5,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",r2SCAN,B-O-Tl,0.0,-2.350777592500001,3.7297,3,Monoclinic,2/m,C2/c,oxide,,,,,Tl,B,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.816157742902187
mp-1194963,Tl2P4Pd3O14,2.110575592548239,0.4852660322016886,Bicapped square prism (opposite faces),1,4h,1,[8.165321857329623],1.0,8.165321857329623,A2B3C4D14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,O-P-Pd-Tl,0.0,-1.996893419575592,1.1747,4,Orthorhombic,mmm,Imma,oxide,,,Pd,,Tl,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.070852393637227
mp-1196113,TlP(HO2)2,2.122792485079388,0.4662498841167705,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",2,2i,1,"[5.491097957099244, 5.573985191893394, 5.389220989607399, 5.166392937650996]",1.0,5.405174269062758,ABC2D4,2,3,1,"[6.0, 7.0, 8.0]","[6.0, 7.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",GGA,H-O-P-Tl,0.00153724765625,-1.922689690215774,4.179,4,Triclinic,-1,P-1,oxide,,,,,Tl,,"H, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.037564733560553
mp-1196566,Tl2TeH6SeO10,3.235066733785225,-0.0553522977634628,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)",2,4e,1,"[5.778921808678858, 4.18015892090306]",0.5,4.979540364790958,ABC2D6E10,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",GGA,H-O-Se-Te-Tl,0.015918454895836,-1.268327897158855,3.1641,5,Monoclinic,2/m,P2_1/c,oxide,,,,,Tl,Te,"H, O, S, Se",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.1048967718289098
mp-1199029,TlP2HO7,2.05684135922228,0.3091076169873854,Octahedron,1,4e,1,[2.531293871681555],0.0,2.531293871681555,ABC2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",GGA,H-O-P-Tl,0.0,-2.125657485579004,1.9415,4,Monoclinic,2/m,P2_1/c,oxide,,,,,Tl,,"H, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.271666023300879
mp-1199100,Al2Tl3(PO4)3,2.63175088773932,0.2315414549566942,"Tricapped octahedron (all 3 cap faces share one atom), Tricapped octahedron (cap faces are aligned), Truncated tetrahedron",3,4a,1,"[8.934533079647958, 7.500195921883715, 7.518310570644552]",1.0,7.984346524058741,A2B3C3D12,3,3,1,"[12.0, 2.0, 5.0]","[12.0, 2.0, 5.0]",6.333333333333333,2.0,12.0,6.333333333333333,2.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",GGA,Al-O-P-Tl,0.008192954208321,-2.62586793782143,3.4362999999999992,4,Orthorhombic,mm2,Pna2_1,phosphate,,,,,"Al, Tl",,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.116352532788277
mp-1204480,Tl2Ag3(PO4)3,1.8272969369965728,0.6520331111092597,Octahedron,1,4f,1,[1.820081704914799],0.0,1.820081704914799,A2B3C3D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,Ag-O-P-Tl,0.008406575499998,-1.7903666617797611,0.333899999999999,4,Monoclinic,2/m,C2/c,phosphate,,,Ag,,Tl,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.27744639530751
mp-1207730,YTl(MoO4)2,2.711412915443572,0.2024160605854005,Pentagonal-face capped pentagonal antiprism,1,4c,1,[10.425446429751783],1.0,10.425446429751783,ABC2D8,1,1,1,[11.0],[11.0],11.0,11.0,11.0,11.0,11.0,11.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Mo-O-Tl-Y,0.007501660729158,-2.365936122361111,3.9713,4,Orthorhombic,mmm,Pnma,oxide,,,"Y, Mo",,Tl,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,3.234479069837548
mp-1207819,TmTl(MoO4)2,2.7627471048044243,0.1722450165206516,Pentagonal-face capped pentagonal antiprism,1,4c,1,[10.419459772928],1.0,10.419459772928,ABC2D8,1,1,1,[11.0],[11.0],11.0,11.0,11.0,11.0,11.0,11.0,1.0,1.0,1.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Mo-O-Tl-Tm,0.0,-2.387890309444446,3.9679,4,Orthorhombic,mmm,Pnma,oxide,,,Mo,,Tl,,O,,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,3.2117227149993384
mp-1208013,TlV(SO4)2,2.8658881266398355,0.1417334015316493,Cuboctahedron,1,1b,1,[8.81842219079434],1.0,8.81842219079434,ABC2D8,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,O-S-Tl-V,0.0,-1.972944637361112,2.0345,4,Trigonal,32,P321,sulfate,,,V,,Tl,,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.2597345496800116
mp-1208039,TlGa(SO4)2,2.528354579832228,0.2492265441397031,Icosahedron,1,1b,1,[11.347223113041926],1.0,11.347223113041926,ABC2D8,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",GGA,Ga-O-S-Tl,0.006104220729167,-1.859545412152778,4.3111,4,Trigonal,32,P321,sulfate,,,,,"Ga, Tl",,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.220905814582416
mp-1208041,TlCr(SO4)2,2.596633434610345,0.2368686313347284,Cuboctahedron,1,1b,1,[11.250929434884851],1.0,11.250929434884851,ABC2D8,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Cr-O-S-Tl,0.0089790178125,-1.905152224027778,2.7522,4,Trigonal,32,P321,sulfate,,,Cr,,Tl,,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.254843087452627
