material_id,chem_formula,R$_0$,B,Tm_chemenv,num_Tm_chemenvs,Tm_wyckoff,num_Tm_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Tm_sites,num_CN_env,num_charge_states,TmX_coordn,TmO_coordn,mean_coordn_Tm-X,min_coordn_Tm-X,max_coordn_Tm-X,mean_coordn_Tm-O,min_coordn_Tm-O,max_coordn_Tm-O,mean_Tm_charge,min_Tm_charge,max_Tm_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_TmO_BondL
mp-10094,Tm5(ReO6)2,2.332123224492064,-0.034838911895338,"Octahedron, Square-face capped trigonal prism",2,"1d, 2i",2,"[2.760330138923121, 3.9655744064810463, 0.995035692017553]",0.0,2.5736467458072405,A2B5C12,2,2,2,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,2.5,2.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Re-Tm,0.0,-3.3935364392105303,0.0,3,Monoclinic,2/m,C2/m,oxide,,,Re,,,,O,,,Tm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.262794707435877
mp-10342,Tm6ReO12,1.5403153918166097,1.0144831535101364,Square-face capped trigonal prism,1,6f,1,[3.850562397787866],0.0,3.850562397787866,AB6C12,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Re-Tm,0.0,-3.681282751710513,0.064599999999999,3,Trigonal,-3,R-3,oxide,,,Re,,,,O,,,Tm,,B > 1,Positive B,2.301304302323854
mp-1079670,TmSb(PbO3)2,2.208369221482676,0.0168349305961232,Octahedron,1,1a,1,[0.06940878107289901],0.0,0.06940878107289901,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",GGA,O-Pb-Sb-Tm,0.009356901843744,-2.320420396000001,2.3522,4,Monoclinic,2/m,C2/m,oxide,,,,,Pb,Sb,"O, P, S",,,Tm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.2201503593061567
mp-1100986,Tm2CuO4,1.6495142155149662,0.8616821880501033,Square-face capped trigonal prism,1,4e,1,[4.5479155023473545],0.0,4.5479155023473545,AB2C4,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Cu-O-Tm,0.033648118214287,-3.066230518392856,0.2054,3,Monoclinic,2/m,P2_1/c,oxide,,,Cu,,,,"C, O",,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.3219945449787316
mp-1101257,Tm2Pt2O7,1.843619402740272,0.4920433359237756,Cube,1,4c,1,[1.059529599489312],0.0,1.059529599489312,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Pt-Tm,0.0,-2.310007725909093,1.4709,3,Cubic,m-3m,Fd-3m,oxide,,,Pt,,,,"O, P",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.3343098022073345
mp-1103683,TmWClO4,1.8938339785868727,0.4610619891068666,Square-face capped trigonal prism,1,2i,1,[2.626393026794209],0.0,2.626393026794209,ABCD4,1,1,1,[7.0],[5.0],7.0,7.0,7.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,2,2,"Cl-, O2-","Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Cl-O-Tm-W,0.034078757797621,-2.760945222857143,3.5891,4,Triclinic,-1,P-1,perchlorate,,,W,,,,"C, O",Cl,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.2914415218652033
mp-1106304,TmNiO3,0.9019135718294892,1.6294014800972374,Square-face bicapped trigonal prism,1,4e,1,[1.506424541243685],0.0,1.506424541243685,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Ni-O-Tm,0.006301209416666,-2.527218608000002,0.0,3,Monoclinic,2/m,P2_1/c,oxide,,,Ni,,,,"N, O",,,Tm,,B > 1,Positive B,2.3752710358870326
mp-1173701,Na3TmTi2Nb2O12,3.259675600627202,-0.9057292716974852,Square-face bicapped trigonal prism,1,2a,1,[2.10673832163313],0.0,2.10673832163313,AB2C2D3E12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Na-Nb-O-Ti-Tm,0.011922018062502,-3.14146571429023,2.1266,5,Orthorhombic,mm2,Pmc2_1,oxide,Na,,"Ti, Nb",,,,"N, O",,,Tm,,"B $\in$ [-1, -0.1]",Negative B,2.377097207551561
mp-1176564,LiTmO2,2.055699254121064,0.2920140488696821,Octahedron,1,4e,1,[2.008126567847825],0.0,2.008126567847825,ABC2,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",r2SCAN,Li-O-Tm,0.0,-3.349264163958334,0.0001,3,Monoclinic,2/m,P2_1/c,oxide,Li,,,,,,O,,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.2278486532871393
mp-1190351,Tm2CuTe2(SO7)2,2.0586277669927937,0.335970847321795,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[3.092005519711611],0.0,3.092005519711611,AB2C2D2E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Cu-O-S-Te-Tm,0.019873987301604,-2.285249686587301,0.875599999999999,5,Triclinic,-1,P-1,oxide,,,Cu,,,Te,"C, O, S",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.373130984772992
mp-1192398,K3Tm(PO4)2,2.20286669534042,0.2014238658433655,Square-face capped trigonal prism,1,2e,1,[1.58324937810902],0.0,1.58324937810902,AB2C3D8,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,K-O-P-Tm,0.0,-2.982160333645408,5.1379,4,Monoclinic,2/m,P2_1/m,phosphate,K,,,,,,"O, P",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.3463384394084996
mp-1192455,TmWBrO4,2.050452218230314,0.2432276300264476,Square-face capped trigonal prism,1,2i,1,"[3.435991433657705, 2.984272992128336]",0.0,3.2101322128930203,ABCD4,1,2,1,"[7.0, 7.0]","[4.0, 6.0]",7.0,7.0,7.0,5.0,4.0,6.0,3.0,3.0,3.0,2.0,2,2,"O2-, Br-","Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Br-O-Tm-W,0.049805546130949,-2.671049450714285,2.6794,4,Triclinic,-1,P-1,perbromate,,,W,,,B,O,Br,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.2780801614838175
