material_id,chem_formula,R$_0$,B,W_chemenv,num_W_chemenvs,W_wyckoff,num_W_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_W_sites,num_CN_env,num_charge_states,WX_coordn,WO_coordn,mean_coordn_W-X,min_coordn_W-X,max_coordn_W-X,mean_coordn_W-O,min_coordn_W-O,max_coordn_W-O,mean_W_charge,min_W_charge,max_W_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_WO_BondL
mp-1012835,SmCu(WO4)2,1.980038843342976,0.6232103684504994,Octahedron,1,2i,1,"[0.99637799824796, 1.136890632032408]",0.0,1.066634315140184,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Cu-O-Sm-W,0.041642194531256,-2.359475323333333,1.4827,4,Triclinic,-1,P-1,oxide,,,"Cu, W",,,,"C, O, S",,,Sm,,"B $\in$ [0.5, 1]",Positive B,1.9888182868625062
mp-1039781,NaMg30WO32,1.69801806737353,0.6727257954233836,Octahedron,1,1c,1,[0.0007597509569650001],0.0,0.0007597509569650001,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Na-O-W,0.033927380742188,-2.9356158401778023,3.1153,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,W,,,,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.1643423191360056
mp-1039782,NaMg30WO32,1.644667782587407,0.741977691459781,Octahedron,1,1b,1,[0.016874593810523],0.0,0.016874593810523,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Na-O-W,0.033376873085938,-2.9361663478340523,2.917899999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,W,,,,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.159502073915999
mp-1040082,LiMg30WO32,1.9960464435692995,0.2392635925515688,Octahedron,1,1b,1,[0.001750765036162],0.0,0.001750765036162,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Li-Mg-O-W,0.022795330957031,-2.954541314739584,3.1002,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,W,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.162063741919996
mp-1040095,LiMg30WO32,1.912063290087444,0.3671149325002708,Octahedron,1,1c,1,[0.00022688690673300003],0.0,0.00022688690673300003,ABC30D32,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Li-Mg-O-W,0.023849473925781,-2.953487171770833,3.215699999999999,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,W,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1665396806280053
mp-1040961,P2W2O9,1.9788921338385008,0.2671458059672559,Octahedron,1,"4a, 4c",2,"[1.183227986507749, 1.141359264190516]",0.0,1.1622936253491325,A2B2C9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,O-P-W,0.042919399358966,-2.3783694224450542,2.8499,3,Orthorhombic,mmm,Pnma,oxide,,,W,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0857064295683836
mp-1041730,YSb(WO4)2,1.8772690595736363,0.4292174042013996,Octahedron,1,4g,1,[3.402196531156915],0.0,3.402196531156915,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA_U,O-Sb-W-Y,0.039379059895829,-2.434418105833332,0.0,4,Monoclinic,2/m,P2/c,oxide,,,"Y, W",,,Sb,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.035527747024412
mp-1041757,YBi(WO4)2,1.9090182481483684,0.9061132832022776,Octahedron,1,4g,1,[2.9800496977528033],0.0,2.9800496977528033,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Bi-O-W-Y,0.018504666562503,-2.453547619166666,1.7894,4,Monoclinic,2/m,P2/c,oxide,,,"Y, W",,Bi,B,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.0366159418969
mp-1041805,AlCr(WO4)2,1.8794516212494063,0.7613839170748053,Octahedron,1,1a,1,"[0.48557158137558404, 0.485839475457471, 0.48935101982590407, 0.48637788616926403]",0.0,0.4867849907070558,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Al-Cr-O-W,0.045965922916666,-2.435889494583334,0.0,4,Monoclinic,2/m,P2/c,oxide,,,"Cr, W",,Al,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.0201162125624106
mp-1042105,AlV(WO4)2,1.8697784823276584,0.8223058568152972,Octahedron,1,2e,1,"[0.547084825931699, 0.541345657299173]",0.0,0.544215241615436,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Al-O-V-W,0.021675599166677,-2.484224144166666,1.316999999999999,4,Monoclinic,2/m,P2/c,oxide,,,"V, W",,Al,,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.021698084396465
