material_id,chem_formula,R$_0$,B,Zn_chemenv,num_Zn_chemenvs,Zn_wyckoff,num_Zn_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Zn_sites,num_CN_env,num_charge_states,ZnX_coordn,ZnO_coordn,mean_coordn_Zn-X,min_coordn_Zn-X,max_coordn_Zn-X,mean_coordn_Zn-O,min_coordn_Zn-O,max_coordn_Zn-O,mean_Zn_charge,min_Zn_charge,max_Zn_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ZnO_BondL
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"Tetrahedron, Trigonal bipyramid",2,"4f, 2e",2,"[0.921576419671966, 0.17274788783018602, 0.19777495846984003, 1.013807379002318]",0.0,0.5764766612435775,A2B3C6,2,2,1,"[4.0, 5.0]","[4.0, 5.0]",4.5,4.0,5.0,4.5,4.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-O-Zn,0.037391287499998,-1.703691008977271,1.285799999999999,3,Monoclinic,2/m,P2_1/m,oxide,,,Zn,,In,,O,I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0715726257694427
mp-1019612,Cs4ZnO3,1.9507402622429644,-0.1048022079347103,Trigonal plane,1,4e,1,[0.008447001297479],0.0,0.008447001297479,AB3C4,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,Cs-O-Zn,0.0,-1.338782089062501,1.6802,3,Monoclinic,2/m,P2_1/c,oxide,Cs,,Zn,,,,"C, O",,,,,"B $\in$ [-1, -0.1]",Negative B,1.9081677345211447
mp-1019723,CsZn4(BO3)3,1.7674781401419053,0.3148933833337172,Tetrahedron,1,4g,1,"[0.255856032746899, 0.250023225550133]",0.0,0.252939629148516,AB3C4D9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,B-Cs-O-Zn,0.006494925784302,-2.143287123627461,2.825999999999999,4,Monoclinic,2/m,P2/c,orthoborate,Cs,,Zn,,,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.986459018163146
mp-1019730,EuZn(BO2)5,1.74500551689132,0.4110248118090093,Trigonal prism,1,4e,1,[5.571688646469154],1.0,5.571688646469154,ABC5D10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,B-Eu-O-Zn,0.013567536004906,-2.801632591225491,0.0,4,Monoclinic,2/m,P2_1/c,metaborate,,,Zn,,,B,O,,,Eu,,"B $\in$ [0.1, 0.5]",Positive B,2.17704160866367
mp-1019786,K3Zn(BO2)5,1.8092292367279388,0.3039659541312671,Tetrahedron,1,4e,1,[0.31696096927070405],0.0,0.31696096927070405,AB3C5D10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,B-K-O-Zn,0.0,-2.648206880135965,4.3815,4,Monoclinic,2/m,P2_1/c,metaborate,K,,Zn,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.020299906184312
mp-1019787,K2NaZn(BO2)5,1.7980776065004516,0.2863131530785084,Tetrahedron,1,4f,1,[0.07158581721224501],0.0,0.07158581721224501,ABC2D5E10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,B-K-Na-O-Zn,0.0,-2.645673866011192,4.2359,5,Monoclinic,2/m,C2/c,metaborate,"Na, K",,Zn,,,B,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9967516878404168
mp-1019791,K2Zn(PO3)4,1.5022422594526947,0.586736130040863,Octahedron,1,2a,1,[1.4682898944440161],0.0,1.4682898944440161,AB2C4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,K-O-P-Zn,0.006197255921053,-2.592679571214285,4.849699999999999,4,Monoclinic,m,Cc,phosphite,K,,Zn,,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.1552860272936774
mp-1019968,LaZn(BO2)5,1.1492722746704975,0.9494909128817076,Trigonal prism,1,4e,1,[4.746779832841267],0.0,4.746779832841267,ABC5D10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,B-La-O-Zn,0.004692114852925,-2.935606226078431,4.731199999999999,4,Monoclinic,2/m,P2_1/c,metaborate,,,Zn,,,B,O,,,La,,"B $\in$ [0.5, 1]",Positive B,2.188286825951021
mp-1020160,Na3Zn(BO2)5,1.8964262687291389,0.1372271833325584,Tetrahedron,1,8c,1,[0.539817500785296],0.0,0.539817500785296,AB3C5D10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,B-Na-O-Zn,0.001394865394789,-2.6195551121037512,4.4531,4,Orthorhombic,mmm,Pbca,metaborate,Na,,Zn,,,B,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9922025475993843
mp-1020181,Na2ZnB6O11,1.6829561735291254,0.5853269899983633,Trigonal bipyramid,1,2e,1,[11.38876226243177],1.0,11.38876226243177,AB2C6D11,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,B-Na-O-Zn,0.002875950472223,-2.68501419838793,4.7511,4,Monoclinic,2/m,C2/c,oxide,Na,,Zn,,,B,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,1.9212635000769656
mp-1020643,Rb3Zn(BO2)5,1.760436254338566,0.3317209510383267,Tetrahedron,1,4e,1,[0.520431294083423],0.0,0.520431294083423,AB3C5D10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,B-O-Rb-Zn,0.0,-2.638003073464913,4.314,4,Monoclinic,2/m,P2_1/c,metaborate,Rb,,Zn,,,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9907718774914254
mp-10321,La2ZnRhO6,1.9357669265540167,0.1656112091277154,Octahedron,1,2b,1,[0.026049426187348002],0.0,0.026049426187348002,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,La-O-Rh-Zn,0.0,-2.662992525999999,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,"Zn, Rh",,,,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.1189357795188664
mp-1040979,Zn(NiO2)2,1.8712849892204595,0.1677519230372897,"Tetrahedron, Octahedron",2,1a,1,"[0.108059454067637, 0.013097639876017001, 0.9626848504115071, 0.08867198490233101, 0.031505861357635, 0.049200295577570004]",0.0,0.2088700143654495,AB2C4,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Ni-O-Zn,0.030190923095238,-1.200087112619047,0.0,3,Triclinic,1,P1,oxide,,,"Ni, Zn",,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0038537179278495
