material_id,chem_formula,R$_0$,B,Pb_chemenv,num_Pb_chemenvs,Pb_wyckoff,num_Pb_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Pb_sites,num_CN_env,num_charge_states,PbX_coordn,PbO_coordn,mean_coordn_Pb-X,min_coordn_Pb-X,max_coordn_Pb-X,mean_coordn_Pb-O,min_coordn_Pb-O,max_coordn_Pb-O,mean_Pb_charge,min_Pb_charge,max_Pb_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_PbO_BondL
mp-1078392,YSb(PbO3)2,2.666183137557426,0.0109748045403294,Diminished icosahedron,1,2i,1,[7.10589020927853],1.0,7.10589020927853,ABC2D6,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,O-Pb-Sb-Y,0.02189566451041,-2.086140399656284,2.2943,4,Monoclinic,2/m,C2/m,oxide,,,Y,,Pb,Sb,"O, P, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.6506758680848757
mp-1079056,ZrTi(PbO3)2,2.584545715160525,0.1424697869143463,Cuboctahedron,1,2c,1,[0.666745179598585],0.0,0.666745179598585,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,O-Pb-Ti-Zr,0.01879757440626,-2.638286598760396,2.3681,4,Tetragonal,4mm,P4mm,oxide,,,"Ti, Zr",,Pb,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.723706715525218
mp-1079416,ZrTi(PbO3)2,2.6169759311873326,0.0724130213254067,"Cuboctahedron, Square-face bicapped trigonal prism",2,1a,1,"[0.266127690545576, 3.656186046452823]",0.0,1.9611568684991993,ABC2D6,2,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,O-Pb-Ti-Zr,0.035689023406259,-2.621395149760394,1.7537,4,Tetragonal,4mm,P4mm,oxide,,,"Ti, Zr",,Pb,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.7200865123625007
mp-1079670,TmSb(PbO3)2,2.511328236025142,0.1832686412245396,Diminished icosahedron,1,2i,1,[6.757467890165321],1.0,6.757467890165321,ABC2D6,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",GGA,O-Pb-Sb-Tm,0.009356901843744,-2.320420396000001,2.3522,4,Monoclinic,2/m,C2/m,oxide,,,,,Pb,Sb,"O, P, S",,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,2.6624007362136886
mp-1100803,ZrPbO3,2.142098954460408,0.4947581041933032,"Bicapped square prism (adjacent faces), Square-face monocapped antiprism, Square-face bicapped trigonal prism",3,"1b, 1a",2,"[4.8931880750298795, 5.173517358397727, 6.922559931023568, 2.618298680167719]",0.5,4.901891011154723,ABC3,3,2,1,"[6.0, 9.0]","[6.0, 9.0]",7.5,6.0,9.0,7.5,6.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,O-Pb-Zr,0.036062705812501,-2.735734189187513,2.6291,3,Monoclinic,m,Pm,oxide,,,Zr,,Pb,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.7341601155595976
mp-1100812,Zr4FeBiPb4O15,2.148224432499746,0.4372616391197411,"Diminished icosahedron, Square-face bicapped trigonal prism, Cuboctahedron, Square antiprism",4,2a,1,"[6.428479698193847, 6.462431099391375, 5.885056526729887, 1.302211753260172]",0.75,5.0195447693938195,ABC4D4E15,4,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Bi-Fe-O-Pb-Zr,0.034414068849995,-2.6013954582,2.3058,5,Monoclinic,m,Cc,oxide,,,"Fe, Zr",,"Pb, Bi",B,"O, P",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.6206818818486632
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"Square non-coplanar, Pentagonal pyramid",2,"1c, 2g, 2h",3,"[0.880101706728436, 0.8727865573730381, 0.863982418670425, 8.420262869095154, 0.8728294148887641, 0.8660384467557231, 0.863747906955412, 0.9061993922607271]",0.125,1.8182435890909598,AB15C17,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,O-Pb-Ti,0.006906696969696,-1.444641979292927,1.6896,3,Orthorhombic,mm2,Pmm2,oxide,,,Ti,,Pb,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.3760770577157038
mp-1101267,V3Pb2O9,2.576538971650059,0.0999132428393718,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism",2,2i,1,"[4.810407304850491, 4.835635252692137, 5.382666635724337, 5.368028313286752]",0.5,5.09918437663843,A2B3C9,2,2,1,"[7.0, 9.0]","[7.0, 9.0]",8.0,7.0,9.0,8.0,7.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,O-Pb-V,0.0253980853571,-2.20054111267857,1.7264,3,Triclinic,-1,P-1,oxide,,,V,,Pb,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.732810408031971
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron",3,"2c, 2d, 2e",3,"[4.058249854910103, 15.747866781935901, 15.960361338559848, 15.96135534600703, 4.069713868058805, 1.9871844668190262, 15.638894107365395]",0.571,10.489089394808015,A10B14C39,3,3,1,"[6.0, 7.0, 8.0]","[6.0, 7.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,Nb-O-Pb,0.0,-2.412029320079364,1.751799999999999,3,Orthorhombic,mm2,Amm2,oxide,,,Nb,,Pb,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.654828741329102
mp-1105235,BH(PbO2)2,2.2641515391608364,0.0913762510587356,"Triangular non-coplanar, Octahedron",2,2i,1,"[5.93157664004261, 10.979667422250683]",1.0,8.455622031146646,ABC2D4,2,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",GGA,B-H-O-Pb,0.0,-1.9099985425520831,3.0854,4,Monoclinic,2/m,C2/m,oxide,,,,,Pb,B,"H, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3066021026607695
