material_id,chem_formula,R$_0$,B,Sn_chemenv,num_Sn_chemenvs,Sn_wyckoff,num_Sn_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Sn_sites,num_CN_env,num_charge_states,mean_coordn_Sn-X,min_coordn_Sn-X,max_coordn_Sn-X,mean_coordn_Sn-O,min_coordn_Sn-O,max_coordn_Sn-O,mean_Sn_charge,min_Sn_charge,max_Sn_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_SnO_BondL,SnX_coordn,SnO_coordn
mp-1024073,K2Sn3O7,1.9465256689847337,0.4401232637937175,Octahedron,1,4c,1,"[0.7697440635344243, 0.5584775171986158, 0.6466641603255372]",0.0,0.6582952470195257,A2B3C7,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",GGA,K-O-Sn,0.0,-2.083336391208333,1.5671000000000004,3,Orthorhombic,mmm,Pnma,oxide,K,,,,Sn,,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1265643471399573,[6.0],[6.0]
mp-10349,Na2SnTeO6,2.10314683877551,-0.0260257290249241,Octahedron,1,2b,1,[0.028129182389828453],0.0,0.028129182389828453,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Na-O-Sn-Te,0.0386125358750009,-1.858005971442528,1.2432999999999996,4,Monoclinic,2/m,P2_1/c,oxide,Na,,,,Sn,Te,"N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.092588875530636,[6.0],[6.0]
mp-1042442,Mg2Sn3O8,2.0050071448686886,0.2553133411629506,Octahedron,1,6c,1,[0.831957201438765],0.0,0.831957201438765,A2B3C8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Mg-O-Sn,0.0437283411538418,-2.3602296207692297,1.9335000000000004,3,Hexagonal,6mm,P6_3mc,oxide,,Mg,,,Sn,,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.111795975246337,[6.0],[6.0]
mp-1042873,Sn(GeO3)2,1.9488245447687205,0.4163228296403467,Octahedron,1,2e,1,[1.3014073579670244],0.0,1.3014073579670244,AB2C6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",GGA,Ge-O-Sn,0.0422015620370377,-1.8206192107407384,2.0843,3,Monoclinic,2/m,C2/c,oxide,,,,,Sn,Ge,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.10604896692313,[6.0],[6.0]
mp-1042980,MgSn2O5,1.9449306237379127,0.5088264749850528,Octahedron,1,4f,1,[3.5959119363844474],0.0,3.5959119363844474,AB2C5,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Mg-O-Sn,0.0314727424999983,-2.3163581378125,1.7777000000000005,3,Orthorhombic,mmm,Cmcm,oxide,,Mg,,,Sn,,"O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.1074817705382336,[6.0],[6.0]
mp-1043455,CaNiSnP2O9,1.8319733549951784,0.6330630232038175,Octahedron,1,4c,1,[1.3328250731653086],0.0,1.3328250731653086,ABCD2E9,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Ca-Ni-O-P-Sn,0.0178216978095271,-2.57471018887755,2.823500000000001,5,Orthorhombic,mmm,Pnma,oxide,,Ca,Ni,,Sn,,"C, N, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.0892704214686595,[6.0],[6.0]
mp-1043948,CaLaFeSnO6,2.0888186455574607,0.0081226307821529,Octahedron,1,2a,1,[0.04210418808643767],0.0,0.04210418808643767,ABCDE6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Ca-Fe-La-O-Sn,0.0327443697500013,-2.738414425,2.1986000000000008,5,Monoclinic,m,Pc,oxide,,Ca,Fe,,Sn,,"C, O, S",F,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.092123645571152,[6.0],[6.0]
mp-1044868,MgSnP2O7,0.6716708865787206,1.9720348956147915,Square-face capped trigonal prism,1,4e,1,[4.084757620221537],0.0,4.084757620221537,ABC2D7,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Mg-O-P-Sn,0.0297019190909129,-2.6420673606168816,3.7419,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,,,Sn,,"O, P, S",,,,,B > 1,Positive B,2.479721988497627,[5.0],[5.0]
mp-1045579,CaSn(PO3)4,2.3118311146698245,0.1323836072178523,Octahedron,1,2c,1,[0.16766365309200104],0.0,0.16766365309200104,ABC4D12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Ca-O-P-Sn,0.0234426834723162,-2.6808685915873003,3.9961,4,Monoclinic,2/m,C2/c,phosphite,,Ca,,,Sn,,"C, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.45978512455251,[6.0],[6.0]
mp-1045939,Ta2Zn2SnO8,2.42718510564212,0.0559729074185648,Octahedron,1,2e,1,[1.4974964668490196],0.0,1.4974964668490196,AB2C2D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,O-Sn-Ta-Zn,0.0457291493589764,-2.3653014009038467,2.5394000000000005,4,Monoclinic,2/m,C2/c,oxide,,,"Zn, Ta",,Sn,,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.478182662585022,[6.0],[6.0]
mp-1047057,Sn3(P2O7)2,2.199621139880538,-0.2371950086265219,"See-saw, Octahedron",2,"2c, 4e",2,"[12.718656817425014, 0.3818340383410052]",0.5,6.550245427883009,A3B4C14,2,2,2,4.5,3.0,6.0,4.5,3.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",GGA,O-P-Sn,0.0283058259523798,-2.41290903707483,2.8992,3,Monoclinic,2/m,P2_1/c,oxide,,,,,Sn,,"O, P, S",,,,,"B $\in$ [-1, -0.1]",Negative B,2.147767406822951,"[3.0, 6.0]","[3.0, 6.0]"
mp-1047992,ZnSnP2O7,0.4655324183047546,2.186548993160299,Square-face capped trigonal prism,1,4e,1,[3.955628845569602],0.0,3.955628845569602,ABC2D7,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,O-P-Sn-Zn,0.0394384564204655,-2.358786957889609,3.5479000000000003,4,Monoclinic,2/m,P2_1/c,oxide,,,Zn,,Sn,,"O, P, S",,,,,B > 1,Positive B,2.462684608615376,[5.0],[5.0]
mp-1048919,CaLaCrSnO6,2.086162476927289,-0.0003104425262689,Octahedron,1,2a,1,[0.03840730797579339],0.0,0.03840730797579339,ABCDE6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Ca-Cr-La-O-Sn,0.0355740558333268,-2.90716406325,2.3656,5,Monoclinic,m,Pc,oxide,,Ca,Cr,,Sn,,"C, O, S",,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.086036772164914,[6.0],[6.0]
mp-1101467,SnP4O11,2.2406842396499385,0.2028426198727776,Octahedron,1,4e,1,[0.6280073157754927],0.0,0.6280073157754927,AB4C11,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",GGA,O-P-Sn,0.0125252428125,-2.440086367098214,4.1253,3,Monoclinic,2/m,P2_1/c,oxide,,,,,Sn,,"O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.467056754738962,[6.0],[6.0]
mp-1101722,V3Cu2Sn(PO4)6,1.83686521752648,0.5158658104260668,Octahedron,1,1a,1,[0.4540393921428379],0.0,0.4540393921428379,AB2C3D6E24,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Cu-O-P-Sn-V,0.021139790833331,-2.412468740357143,0.0,5,Trigonal,3,R3,phosphate,,,"V, Cu",,Sn,,"C, O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.0470406924418163,[6.0],[6.0]
mp-1101728,Sn2(SO4)3,2.6228163581964283,-0.6091857962090067,"Square-face capped trigonal prism, Octahedron",2,8c,1,"[6.382087001496727, 1.0448947011500451]",0.5,3.7134908513233857,A2B3C12,2,2,1,5.5,5.0,6.0,5.5,5.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",GGA,O-S-Sn,0.0427389500735273,-1.4513328527205862,1.4068999999999998,3,Orthorhombic,mmm,Pbca,sulfate,,,,,Sn,,"O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,2.2472464951238025,"[5.0, 6.0]","[5.0, 6.0]"
mp-1102308,BaSn(PO4)2,1.8755377846824224,0.46374901598698,Octahedron,1,1c,1,[0.2963925653882387],0.0,0.2963925653882387,ABC2D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Ba-O-P-Sn,0.0,-2.8271223495238087,3.7035,4,Monoclinic,2/m,C2/m,phosphate,,Ba,,,Sn,B,"O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0641928057226138,[6.0],[6.0]
