material_id,chem_formula,R$_0$,B,Cs_chemenv,num_Cs_chemenvs,Cs_wyckoff,num_Cs_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Cs_sites,num_CN_env,num_charge_states,CsX_coordn,CsO_coordn,mean_coordn_Cs-X,min_coordn_Cs-X,max_coordn_Cs-X,mean_coordn_Cs-O,min_coordn_Cs-O,max_coordn_Cs-O,mean_Cs_charge,min_Cs_charge,max_Cs_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CsO_BondL
mp-1019602,Cs2Al2B2O7,2.794450241761472,0.3335963965831043,Pentagonal-face capped pentagonal antiprism,1,4e,1,[14.304347528865542],1.0,14.304347528865542,A2B2C2D7,1,1,1,[11.0],[11.0],11.0,11.0,11.0,11.0,11.0,11.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-B-Cs-O,0.0,-2.9746650486648982,4.249,4,Monoclinic,2/m,P2_1/c,oxide,Cs,,,,Al,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.417018304574954
mp-1019606,Cs2Li2B2P4O15,3.4699020038114328,-0.0474094813108445,"Square-face capped hexagonal prism, Pentagonal-face capped pentagonal antiprism",2,2i,1,"[8.935315487918647, 11.762981079470324]",1.0,10.349148283694486,A2B2C2D4E15,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Cs-Li-O-P,0.0,-2.756388813915271,5.601,5,Triclinic,-1,P-1,oxide,"Li, Cs",,,,,B,"C, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.3602216460433416
mp-1019607,Cs2Li5(BO2)7,2.771833260516836,0.2111525532520374,Bicapped square prism (opposite faces),1,4c,1,[7.927209075906022],1.0,7.927209075906022,A2B5C7D14,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Cs-Li-O,0.003907451617076,-2.710408573040845,4.534599999999999,4,Orthorhombic,mm2,Ama2,metaborate,"Li, Cs",,,,,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.173238644154189
mp-1019608,Cs3BO3,2.349736506083219,0.4464478551579949,"Trigonal bipyramid, Octahedron, Trigonal prism",3,"4f, 4h, 8i, 4e, 4g",5,"[8.188869222396148, 17.052003840281966, 17.15923170033033, 12.37856204710351, 11.709018453028627]",1.0,13.297537052628115,AB3C3,3,3,1,"[3.0, 5.0, 6.0]","[3.0, 5.0, 6.0]",4.666666666666667,3.0,6.0,4.666666666666667,3.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",r2SCAN,B-Cs-O,0.0,-2.041111086964284,2.6073,3,Orthorhombic,mmm,Pbam,orthoborate,Cs,,,,,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.1006915518847435
mp-1019609,Cs2Sr2Li3B3(PO4)6,3.4238198320872977,-0.0495308556245407,no_data,1,no_data,1,no_data,0.0,no_data,A2B2C3D3E6F24,2,2,1,"[6.0, 9.0]","[6.0, 9.0]",7.5,6.0,9.0,7.5,6.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Cs-Li-O-P-Sr,0.0,-2.901800295804188,5.6206,6,Cubic,23,P2_13,phosphate,"Li, Cs",Sr,,,,B,"C, O, P, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.318554017503255
mp-1019610,Cs2MgSi5O12,3.226416761003585,0.0882628178628757,"Bicapped square prism (adjacent faces), Pentagonal-face capped pentagonal antiprism",2,8c,1,"[10.581633674896299, 9.133868088850505]",1.0,9.857750881873402,AB2C5D12,2,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,Cs-Mg-O-Si,0.0,-3.137505602403017,4.9135,4,Orthorhombic,mmm,Pbca,oxide,Cs,Mg,,,,Si,"C, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.446964822944016
mp-1019611,Cs2Na2Sr(B3O5)6,3.1382068973927844,0.0803982933999088,Metabidiminished icosahedron,1,4e,1,[10.529710825359107],1.0,10.529710825359107,AB2C2D18E30,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",GGA,B-Cs-Na-O-Sr,0.0,-2.8723684126805478,5.7745,5,Monoclinic,2/m,P2_1/c,oxide,"Na, Cs",Sr,,,,B,"C, N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,3.3211242842522317
mp-1019612,Cs4ZnO3,2.703356390279782,0.2550108086415438,"See-saw, Trigonal bipyramid, Tetrahedron",3,4e,1,"[9.234551436273417, 3.2686307313084653, 4.390109581010599, 5.630635851235953]",0.5,5.630981899957108,AB3C4,3,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,Cs-O-Zn,0.0,-1.338782089062501,1.6802,3,Monoclinic,2/m,P2_1/c,oxide,Cs,,Zn,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.9954558680554393
mp-1019614,Cs3Y(PO4)2,3.018444900907911,0.1373187565985792,"Tricapped octahedron (cap faces are aligned), Bicapped octahedron (cap faces with one edge in common), Bicapped octahedron (cap faces with one atom in common), Triangular-face bicapped trigonal prism, Bicapped square prism (adjacent faces)",5,2a,1,"[7.342085403851081, 10.16855465149293, 5.325817040823351, 5.065596254588564, 13.297433693772511, 11.54272139967299]",1.0,8.790368074033571,AB2C3D8,5,2,1,"[10.0, 8.0]","[10.0, 8.0]",9.0,8.0,10.0,9.0,8.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Cs-O-P-Y,0.0,-2.949137237553659,4.588900000000001,4,Monoclinic,2,P2_1,phosphate,Cs,,Y,,,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.315585732110201
mp-1019615,Cs3Li4(BO2)7,3.0839916246554524,0.1215792634167328,"Tricapped octahedron (cap faces are aligned), Bicapped square prism (adjacent faces)",2,"6c, 3b",2,"[8.125089311457376, 8.263270156109678]",1.0,8.194179733783528,A3B4C7D14,2,2,1,"[10.0, 6.0]","[10.0, 6.0]",8.0,6.0,10.0,8.0,6.0,10.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals",GGA,B-Cs-Li-O,0.0,-2.693396767611863,4.5305,4,Trigonal,32,P3_121,metaborate,"Li, Cs",,,,,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,3.3629870059069673
