material_id,chem_formula,R$_0$,B,Li_chemenv,num_Li_chemenvs,Li_wyckoff,num_Li_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Li_sites,num_CN_env,num_charge_states,mean_coordn_Li-X,min_coordn_Li-X,max_coordn_Li-X,mean_coordn_Li-O,min_coordn_Li-O,max_coordn_Li-O,mean_Li_charge,min_Li_charge,max_Li_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_LiO_BondL,LiX_coordn,LiO_coordn,elements
mp-1003313,Li2Mn3O6,1.3582552485405437,0.436879045813087,Octahedron,1,4i,1,[0.9311349939444932],0.0,0.9311349939444932,A2B3C6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-Mn-O,0.0441862390909104,-2.0585488314054343,0.0164999999999997,3,Monoclinic,2/m,C2/m,oxide,Li,,Mn,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.120180221045548,[6.0],[6.0],"Alkali Metals, Nonmetals, Transition Metals"
mp-1003315,LiMn4O8,1.657176696655577,0.318627068830151,Square pyramid,1,4e,1,[1.7180693005979144],0.0,1.7180693005979144,AB4C8,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-Mn-O,0.0342450278269232,-1.9205061278890367,0.1379999999999999,3,Monoclinic,2/m,P2_1/c,oxide,Li,,Mn,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1795433469743526,[5.0],[5.0],"Alkali Metals, Nonmetals, Transition Metals"
mp-1003549,LiMn16O32,2.029248995539276,-0.0346065613139619,Angular,1,1a,1,[0.015407750497848226],0.0,0.015407750497848226,AB16C32,1,1,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-Mn-O,0.0217666152908275,-1.8337334881679568,0.0,3,Monoclinic,m,Pm,oxide,Li,,Mn,,,,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.00509644755141,[2.0],[2.0],"Alkali Metals, Nonmetals, Transition Metals"
mp-1003637,LiMn3O6,3.625707620830714,-0.826184168264021,Octahedron,1,1a,1,[2.6976029083487467],0.0,2.6976029083487467,AB3C6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-Mn-O,0.0293789975083287,-1.965899671212644,0.0,3,Monoclinic,m,Cm,oxide,Li,,Mn,,,,O,,,,,"B $\in$ [-1, -0.1]",Negative B,2.178222282746687,[6.0],[6.0],"Alkali Metals, Nonmetals, Transition Metals"
mp-1004762,LiMn4O8,1.953974913191528,0.0888310762068092,Octahedron,1,2a,1,[2.490332029801988],0.0,2.490332029801988,AB4C8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-Mn-O,0.0454957899423078,-1.9092553657736528,0.0019,3,Orthorhombic,mm2,Cmc2_1,oxide,Li,,Mn,,,,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.15150348811493,[6.0],[6.0],"Alkali Metals, Nonmetals, Transition Metals"
mp-1012668,LiMo2P2O9,0.8121772490662866,0.9367303750177914,Square pyramid,1,4c,1,[3.7069041720030107],0.0,3.7069041720030107,AB2C2D9,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-Mo-O-P,0.02099336660714,-2.438792741258503,1.5289,4,Orthorhombic,mmm,Pnma,oxide,Li,,Mo,,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.381018517536108,[5.0],[5.0],"Alkali Metals, Nonmetals, Transition Metals"
mp-1012789,LiCr3P3O13,4.267514506194854,-1.2534162177333916,Square pyramid,1,2e,1,[2.657320913336039],0.0,2.657320913336039,AB3C3D13,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Cr-Li-O-P,0.0363211235000004,-2.5177782829880955,0.0,4,Monoclinic,2/m,P2_1/m,oxide,Li,,Cr,,,,"C, O, P",,,,,B < -1,Negative B,2.257238543298439,[5.0],[5.0],"Alkali Metals, Nonmetals, Transition Metals"
mp-1013762,LiTi2P2O9,3.703546046384485,-0.7344126419395872,Trigonal prism,1,4c,1,[6.730750828459832],1.0,6.730750828459832,AB2C2D9,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA,Li-O-P-Ti,0.0499601135050919,-2.9949358449489805,0.0425000000000004,4,Orthorhombic,mmm,Pnma,oxide,Li,,Ti,,,,"O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,2.392017700408935,[6.0],[6.0],"Alkali Metals, Nonmetals, Transition Metals"
mp-1013850,LiV2P2O9,2.910341263215068,-0.403201756747809,Square pyramid,1,4c,1,[2.9784662411955036],0.0,2.9784662411955036,AB2C2D9,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-O-P-V,0.0106995098214373,-2.667572343222789,1.0916,4,Orthorhombic,mmm,Pnma,oxide,Li,,V,,,,"O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,2.2981024004345008,[5.0],[5.0],"Alkali Metals, Nonmetals, Transition Metals"
mp-1013878,LiV3P3O13,4.3287694401485615,-1.2837877958899957,Square pyramid,1,2e,1,[2.7039350651156244],0.0,2.7039350651156244,AB3C3D13,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,GGA_U,Li-O-P-V,0.0151655153750063,-2.6689726409880947,0.0,4,Monoclinic,2/m,P2_1/m,oxide,Li,,V,,,,"O, P",,,,,B < -1,Negative B,2.2696295458554285,[5.0],[5.0],"Alkali Metals, Nonmetals, Transition Metals"
