material_id,chem_formula,R$_0$,B,Na_chemenv,num_Na_chemenvs,Na_wyckoff,num_Na_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Na_sites,num_CN_env,num_charge_states,NaX_coordn,NaO_coordn,mean_coordn_Na-X,min_coordn_Na-X,max_coordn_Na-X,mean_coordn_Na-O,min_coordn_Na-O,max_coordn_Na-O,mean_Na_charge,min_Na_charge,max_Na_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_NaO_BondL
mp-1003636,NaMn4O8,2.4260144721964987,0.0355580634442545,Square-face capped trigonal prism,1,4e,1,[11.79426622195885],1.0,11.79426622195885,AB4C8,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mn-Na-O,0.005272852569946,-1.9106918002387272,0.075699999999999,3,Monoclinic,2/m,P2_1/c,oxide,Na,,Mn,,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.484299489802414
mp-1003766,NaMn2O4,2.589620885296705,-0.0252194631567046,Square-face capped trigonal prism,1,2b,1,[1.405918171474073],0.0,1.405918171474073,AB2C4,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mn-Na-O,0.04576415607142,-1.932397991748768,0.0,3,Orthorhombic,mm2,Pmc2_1,oxide,Na,,Mn,,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.4891511405987075
mp-1003767,NaMn2O4,2.002533894917467,0.263737526764372,Octahedron,1,2a,1,"[3.928080215114102, 3.786370497532968, 5.797493986686897]",0.333,4.503981566444655,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mn-Na-O,0.021602307738087,-1.956559840082102,0.6130999999999991,3,Monoclinic,m,Cc,oxide,Na,,Mn,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4872190824235414
mp-1004376,NaMn2O4,2.3639960464472383,-0.1267811823504442,Tetrahedron,1,"2b, 2a",2,"[0.199822496136073, 0.840157460460869]",0.0,0.519989978298471,AB2C4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mn-Na-O,0.028956483214278,-1.949205664605911,0.6132000000000001,3,Orthorhombic,222,C222_1,oxide,Na,,Mn,,,,"N, O",,,,,"B $\in$ [-1, -0.1]",Negative B,2.187712176715414
mp-1011858,Na2CoP2O7,2.4723423926177484,0.0827459657784865,"Tricapped triangular prism (two square-face caps and one triangular-face cap), End-trigonal-face capped trigonal prism",2,4c,1,"[6.957925825646664, 13.256209189115637]",1.0,10.107067507381151,AB2C2D7,2,2,1,"[7.0, 9.0]","[7.0, 9.0]",8.0,7.0,9.0,8.0,7.0,9.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Co-Na-O-P,0.040534906944459,-2.429034242878694,1.681999999999999,4,Orthorhombic,mmm,Pnma,oxide,Na,,Co,,,,"C, N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.7043796573552057
mp-1011860,Na2CoP2O7,1.7721946112342892,0.4307379907692345,"Hexagonal bipyramid, Square-face capped trigonal prism",2,4e,1,"[4.833018891342466, 4.145919003255272]",0.0,4.489468947298869,AB2C2D7,2,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Co-Na-O-P,0.006010801319458,-2.4635583485036943,2.5179,4,Monoclinic,2/m,P2_1/c,oxide,Na,,Co,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.5695101044576245
mp-1012678,NaMo3P3O13,2.485034753102583,0.0695713126953902,Square antiprism,1,2e,1,[4.999341388266086],0.0,4.999341388266086,AB3C3D13,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mo-Na-O-P,0.004734013291665,-2.417425916265394,1.5094999999999992,4,Monoclinic,2/m,P2_1/m,oxide,Na,,Mo,,,,"N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.660695912635106
mp-1012742,NaMn3P3O13,2.1797133515068587,0.1972472070990652,Square antiprism,1,2e,1,[5.132332314251375],1.0,5.132332314251375,AB3C3D13,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mn-Na-O-P,0.005076928625002,-2.395925765705049,0.934999999999999,4,Monoclinic,2/m,P2_1/m,oxide,Na,,Mn,,,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.561574181609916
mp-1012791,NaV3P3O13,3.1510859135668268,-0.2684597829799175,Square-face capped trigonal prism,1,2e,1,[3.854346445090722],0.0,3.854346445090722,AB3C3D13,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Na-O-P-V,0.007806566749998,-2.671626947015394,1.4356,4,Monoclinic,2/m,P2_1/m,oxide,Na,,V,,,,"N, O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,2.6188031097766404
mp-1013565,Na2CoP2O7,2.246525838850556,0.1248194096977558,Trigonal prism,1,2i,1,"[6.04467933207277, 6.071831485163685, 6.071101912761942, 6.068285919384969]",1.0,6.063974662345841,AB2C2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Co-Na-O-P,0.027097078611125,-2.442472071212028,2.3692,4,Monoclinic,-1,C2/c,oxide,Na,,Co,,,,"C, N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4653954540027674
