material_id,chem_formula,R$_0$,B,Sr_chemenv,num_Sr_chemenvs,Sr_wyckoff,num_Sr_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Sr_sites,num_CN_env,num_charge_states,SrX_coordn,SrO_coordn,mean_coordn_Sr-X,min_coordn_Sr-X,max_coordn_Sr-X,mean_coordn_Sr-O,min_coordn_Sr-O,max_coordn_Sr-O,mean_Sr_charge,min_Sr_charge,max_Sr_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SrO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1019558,BaSr2Mg(SiO4)2,0.9252836899958392,1.1688406971324548,Bicapped square prism (adjacent faces),1,2d,1,[7.850670417839624],1.0,7.850670417839624,ABC2D2E8,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.768732442671646,GGA,Ba-Mg-O-Si-Sr,0.0,-3.376693823214286,4.759,5,Trigonal,-3m,P-3m1,silicate,None,"Mg, Sr, Ba",None,None,None,"B, Si","O, S",None,None,None,None,B > 1,Positive B
mp-1019609,Cs2Sr2Li3B3(PO4)6,2.1639657560322054,0.3859571275509663,no_data,1,no_data,1,no_data,0.0,no_data,A2B2C3D3E6F24,2,2,1,"[6.0, 9.0]","[6.0, 9.0]",7.5,6.0,9.0,7.5,6.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.7076578503038844,GGA,B-Cs-Li-O-P-Sr,0.0,-2.901800295804188,5.6206,6,Cubic,23,P2_13,phosphate,"Li, Cs",Sr,None,None,None,B,"C, O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1019611,Cs2Na2Sr(B3O5)6,1.3393654935802795,0.9127925558311697,Pentagonal antiprism,1,2a,1,[2.375934156896551],0.0,2.375934156896551,AB2C2D18E30,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.8222438933093823,GGA,B-Cs-Na-O-Sr,0.0,-2.8723684126805473,5.7745,5,Monoclinic,2/m,P2_1/c,oxide,"Na, Cs",Sr,None,None,None,B,"C, N, O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1020180,Na2SrMg(PO4)2,4.259457856384669,-0.8565122264888153,Square-face bicapped square antiprism,1,4e,1,[5.044302478171722],1.0,5.044302478171722,ABC2D2E8,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",2.7803891446382507,GGA,Mg-Na-O-P-Sr,0.000171755535713,-2.962684391931737,5.2433,5,Monoclinic,2/m,P2_1/c,phosphate,Na,"Mg, Sr",None,None,None,None,"N, O, P, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1020606,SrBe2(PO4)2,2.602193301352729,0.021953681872607288,Cube,1,4e,1,[5.211619230997251],1.0,5.211619230997251,AB2C2D8,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.629701070710911,GGA,Be-O-P-Sr,0.0,-3.136603073598899,5.9252,4,Monoclinic,2/m,P2_1/c,phosphate,None,"Be, Sr",None,None,None,B,"O, P, S",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1020611,SrGe2(BO4)2,2.2537853415775504,0.29111066888678505,Square-face capped square prism,1,4c,1,[7.567918601469484],1.0,7.567918601469484,AB2C2D8,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.6200567886101456,GGA,B-Ge-O-Sr,0.011907617115383,-2.665151319102563,3.813099999999999,4,Orthorhombic,mmm,Pnma,oxide,None,Sr,None,None,None,"B, Ge","O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020612,Sr2Si(S2O7)4,2.0272083888024204,0.4352943278751571,Tricapped triangular prism (three square-face caps),1,4e,1,[1.154776947534729],0.0,1.154776947534729,AB2C8D28,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.695502751359618,GGA,O-S-Si-Sr,0.0,-2.100874562051282,5.0797,4,Monoclinic,2/m,P2_1/c,oxide,None,Sr,None,None,None,Si,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020622,SrZrO3,1.8719067986243156,0.633497520433067,Cuboctahedron,1,2d,1,[1.5348891854759672],0.0,1.5348891854759672,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",2.7630509882334717,r2SCAN,O-Sr-Zr,0.017242587,-3.598478376,3.168099999999999,3,Tetragonal,4/mmm,P4/mbm,oxide,None,Sr,Zr,None,None,None,"O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1020628,SrGe(PO4)2,2.8464843187097775,-0.1134997494344157,Square antiprism,1,2e,1,[4.626651408052748],0.0,4.626651408052748,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.650785833603373,SCAN,Ge-O-P-Sr,0.0,-2.793862971190475,4.0991,4,Monoclinic,2/m,C2/c,phosphate,None,Sr,None,None,None,Ge,"O, P, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1020634,SrMgB2O5,2.8788481353423885,-0.10497650758661178,Square-face capped square prism,1,4e,1,[4.453450450052024],0.0,4.453450450052024,ABC2D5,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.72295843243239,GGA,B-Mg-O-Sr,0.0,-3.118267839537037,4.9917,4,Monoclinic,2/m,P2_1/c,diborate,None,"Mg, Sr",None,None,None,B,"O, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1020637,Sr3BeB6O13,2.468818274449958,0.1530286153591745,"Cube, Square-face capped square prism",2,"8d, 4c",2,"[5.328074621590879, 6.71443611453693]",1.0,6.021255368063905,AB3C6D13,2,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.6885596822227167,GGA,B-Be-O-Sr,0.0,-3.130190325217392,5.0139,4,Orthorhombic,mmm,Pnma,oxide,None,"Be, Sr",None,None,None,B,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020642,Sr3Y2(BO3)4,1.5426592470950806,0.7680981300170743,"Dodecahedron with triangular faces - p2345 plane normalized, Tricapped triangular prism (three square-face caps)",2,"8d, 4c",2,"[4.370475954352878, 5.503539993642863]",0.5,4.93700797399787,A2B3C4D12,2,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",2.6798203046301685,GGA,B-O-Sr-Y,0.039512839007930005,-3.337392145436507,4.5432,4,Orthorhombic,mmm,Pnma,orthoborate,None,Sr,Y,None,None,B,"O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1020647,Sr2LiBeB3O8,2.2029661668847504,0.34208629698856596,"Square antiprism, Dodecahedron with triangular faces - p2345 plane normalized",2,4e,1,"[1.734890592208137, 5.285166943477143]",0.5,3.51002876784264,ABC2D3E8,2,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.6616199267535086,r2SCAN,B-Be-Li-O-Sr,0.0,-3.085197766055584,4.9369,5,Monoclinic,2/m,P2_1/c,oxide,Li,"Be, Sr",None,None,None,B,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020650,Sr3Ge2(B3O8)2,1.958881123535147,0.5197214548900948,"Tricapped triangular prism (two square-face caps and one triangular-face cap), Bicapped octahedron (opposed cap faces)",2,"2i, 1g",2,"[4.5185542892021875, 3.166557242244632]",0.0,3.84255576572341,A2B3C6D16,2,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.7243319242242054,GGA,B-Ge-O-Sr,0.002331577685189,-2.906017702037037,4.4323999999999995,4,Triclinic,-1,P-1,oxide,None,Sr,None,None,None,"B, Ge","O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1020654,SrBeB2O5,2.9447979425442767,-0.1299250994278299,Tricapped triangular prism (three square-face caps),1,4e,1,[3.750710892290725],0.0,3.750710892290725,ABC2D5,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.692304253798045,GGA,B-Be-O-Sr,0.0,-3.126296300092594,5.681,4,Monoclinic,2/m,P2_1/c,diborate,None,"Be, Sr",None,None,None,B,"O, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1020657,NaSr(PO3)3,1.8810220762335745,0.5780292662022506,Square-face bicapped trigonal prism,1,2i,1,[1.28734904368658],0.0,1.28734904368658,ABC3D9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",2.646222309059312,GGA,Na-O-P-Sr,0.0,-2.870435700736278,5.4112,4,Triclinic,-1,P-1,phosphite,Na,Sr,None,None,None,None,"N, O, P, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1020670,SrB4O7,2.169092401058861,0.37107598234756456,"Triangular cupola, Anticuboctahedron, Square-face monocapped antiprism, Metabidiminished icosahedron",4,"3d, 1b, 1c, 1a",4,"[4.746653494434971, 7.011766693280548, 4.6788864818140645, 7.511954308232838, 5.558764261725257]",0.6,5.901605047897536,AB4C7,4,3,1,"[10.0, 6.0, 9.0]","[10.0, 6.0, 9.0]",8.333333333333334,6.0,10.0,8.333333333333334,6.0,10.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.731512423472724,GGA,B-O-Sr,0.008882567905123,-3.014835824027777,5.1774000000000004,3,Trigonal,3,P3,tetraborate,None,Sr,None,None,None,B,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020704,Sr2Ge(S2O7)4,2.089241270564952,0.35630446914883934,Tricapped triangular prism (three square-face caps),1,4e,1,[1.066697152639858],0.0,1.066697152639858,AB2C8D28,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",2.6362645179379456,r2SCAN,Ge-O-S-Sr,0.0,-2.026927817435899,3.4847,4,Monoclinic,2/m,P2_1/c,oxide,None,Sr,None,None,None,Ge,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020706,SrY2Si3O10,2.582890036044838,0.07898671379438318,Square antiprism,1,2i,1,[2.928680987394011],0.0,2.928680987394011,AB2C3D10,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",2.6798446544577823,GGA,O-Si-Sr-Y,0.012435645989588,-3.5867759590625,4.9314,4,Triclinic,-1,P-1,oxide,None,Sr,Y,None,None,Si,"O, S",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1020709,Sr5(Ga3O7)2,2.195707596028388,0.3807046192067568,"Square-face capped trigonal prism, Square antiprism, Octahedron",3,"4e, 2c",2,"[3.202627274643638, 1.5015855312455542, 2.9196821786604383]",0.0,2.54129832818321,A5B6C14,3,3,1,"[6.0, 7.0, 8.0]","[6.0, 7.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals",2.6760846990267773,GGA,Ga-O-Sr,0.0116649292,-2.549163575199999,3.151799999999999,3,Monoclinic,2/m,P2_1/c,oxide,None,Sr,None,None,Ga,None,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020715,Sr6Y2Al4O15,2.0053823863965143,0.5505552390700288,"Dodecahedron with triangular faces, Hexagonal bipyramid, Square-face monocapped antiprism, Tricapped triangular prism (three square-face caps)",4,"1b, 1a, 2c",3,"[4.116762349705142, 5.132217209031156, 3.592623482359903, 3.408896700688809]",0.25,4.0626249354462525,A2B4C6D15,4,2,1,"[8.0, 9.0]","[8.0, 9.0]",8.5,8.0,9.0,8.5,8.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",2.7992465385818908,GGA,Al-O-Sr-Y,0.007723411836419,-3.447766316481481,3.9869,4,Monoclinic,2,C2,oxide,None,Sr,Y,None,Al,None,"O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1020723,Sr2Ga2O5,2.307606779412846,0.29048977137864856,"Face-capped octahedron, Pentagonal bipyramid",2,8c,1,"[2.907549114544282, 2.023794590527633]",0.0,2.4656718525359578,A2B2C5,2,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals",2.6447624286922715,GGA,Ga-O-Sr,0.011779743333333,-2.579650198888891,3.1468,3,Orthorhombic,mmm,Pbca,oxide,None,Sr,None,None,Ga,None,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020725,Sr4Li2B12O23,2.5325174785832942,0.13593792121878198,"Tricapped triangular prism (two square-face caps and one triangular-face cap), Square-face monocapped antiprism",2,4e,1,"[7.262142917519057, 4.684894232569462]",0.5,5.97351857504426,A2B4C12D23,2,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals",2.7241156833897593,GGA,B-Li-O-Sr,0.004719955447168,-3.019715565528455,4.877599999999999,4,Monoclinic,2/m,P2_1/c,oxide,Li,Sr,None,None,None,B,"O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1025349,Sr2ZrO4,3.5076413321485553,-0.40095207111816766,Tricapped triangular prism (three square-face caps),1,2e,1,[3.540275133267778],0.0,3.540275133267778,AB2C4,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",2.835447299166213,GGA,O-Sr-Zr,0.034574683928568,-3.397782551071429,2.7749,3,Tetragonal,4/mmm,I4/mmm,oxide,None,Sr,Zr,None,None,None,"O, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-10254,Sr2IrO4,3.1118331835318145,-0.245933438709305,Tricapped triangular prism (three square-face caps),1,2e,1,[3.389009979509884],0.0,3.389009979509884,AB2C4,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",2.6986055933017425,SCAN,Ir-O-Sr,0.033991946428571,-2.331170354285714,0.0,3,Tetragonal,4/mmm,I4/mmm,oxide,None,Sr,Ir,None,None,None,"O, S",I,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1046153,SrMgCu(PO4)2,2.35001644120942,0.2518874893158864,Square antiprism,1,2i,1,[1.673836444117891],0.0,1.673836444117891,ABCD2E8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",2.672767805266278,GGA,Cu-Mg-O-P-Sr,0.034975329038412,-2.7487346849450542,0.879799999999999,5,Triclinic,-1,P-1,phosphate,None,"Mg, Sr",Cu,None,None,None,"C, O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1046155,SrZnCu(PO4)2,2.491525877972726,0.1526964568150191,Square antiprism,1,2i,1,[1.7334506825730611],0.0,1.7334506825730611,ABCD2E8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",2.6851045983689428,GGA,Cu-O-P-Sr-Zn,0.038126174903851,-2.52207390032967,0.8401000000000001,5,Triclinic,-1,P-1,phosphate,None,Sr,"Cu, Zn",None,None,None,"C, O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1046226,Sr2YCu2BiO7,3.67088235498383,-0.5615241946010535,Tricapped triangular prism (three square-face caps),1,4c,1,[2.34287162635328],0.0,2.34287162635328,ABC2D2E7,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",2.79176413328321,GGA,Bi-Cu-O-Sr-Y,0.043183516874994006,-2.3169824026923083,0.0,5,Orthorhombic,mm2,Ima2,oxide,None,Sr,"Cu, Y",None,Bi,B,"C, O, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1046249,SrCaCu(PO4)2,2.078144371011187,0.457505442762666,Square antiprism,1,2i,1,[1.599353479225192],0.0,1.599353479225192,ABCD2E8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",2.711304164521957,GGA,Ca-Cu-O-P-Sr,0.036026465096154,-2.837925794175823,0.8914999999999991,5,Triclinic,-1,P-1,phosphate,None,"Ca, Sr",Cu,None,None,None,"C, O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1046354,SrMgMn(PO4)2,2.4514727516854786,0.18867395357045058,Square antiprism,1,4i,1,[1.8737372444441642],0.0,1.8737372444441642,ABCD2E8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",2.7021771766386267,GGA_U,Mg-Mn-O-P-Sr,0.018778636378208,-2.9623618086320582,3.7898,5,Triclinic,-1,P-1,phosphate,None,"Mg, Sr",Mn,None,None,None,"O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1046375,SrMgCo(PO4)2,2.226555187820705,0.351179323074391,Square antiprism,1,2i,1,"[1.758592226410793, 1.748407109266383]",0.0,1.7534996678385881,ABCD2E8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",2.689217356888215,GGA_U,Co-Mg-O-P-Sr,0.02395892363249,-2.8371376326373623,3.0854,5,Triclinic,-1,P-1,phosphate,None,"Mg, Sr",Co,None,None,None,"C, O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1046379,SrZnCo(PO4)2,2.5257520641212716,0.13618329612842625,Square antiprism,1,4i,1,[1.818798809165721],0.0,1.818798809165721,ABCD2E8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",2.693096681511661,GGA_U,Co-O-P-Sr-Zn,0.034463117980768,-2.614760241291208,3.1025,5,Triclinic,-1,P-1,phosphate,None,Sr,"Co, Zn",None,None,None,"C, O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1046402,SrMnZn(PO4)2,2.4664022441401334,0.18449113425732588,Square antiprism,1,4i,1,[2.026717487038878],0.0,2.026717487038878,ABCD2E8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",2.7085738738368113,GGA_U,Mn-O-P-Sr-Zn,0.028021840769224003,-2.74431135593975,3.2563,5,Triclinic,-1,P-1,phosphate,None,Sr,"Mn, Zn",None,None,None,"O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
