element,method,R0_star,B_star,spread_var_star,spread_std_star,n_lines
Sc,OLS,1.9543034781938566,0.2819375114253099,0.0008198218736552526,0.028632531736737018,5
Ti,OLS,1.8991018330689875,0.16129558913616063,0.0035942155018883004,0.05995177646982865,7
V,OLS,1.8412731493158092,0.5263641171689906,0.02525736059510565,0.1589256448629536,7
Cr,OLS,1.861707624410773,0.2626852111644749,0.007424842947486896,0.08616752838213997,5
Mn,OLS,1.8061647044197415,0.3844191433040507,0.0008559956149000304,0.029257402736743918,8
Fe,OLS,1.7989139079028622,0.341051052950241,0.0019413110575637093,0.04406031159176827,6
Co,OLS,1.7017821537608369,0.47711442322672026,0.010421350158178659,0.10208501436635378,6
Ni,OLS,1.8905771127827657,0.18263225292434504,3.6385007413338204e-05,0.006031998625110769,4
Cu,OLS,1.8249678356490486,0.21943815512206716,0.0033812223376077574,0.058148278887751766,6
Zn,OLS,1.818923582471816,0.25024675653635237,0.0014690941886010827,0.03832876450658282,5
Y,OLS,2.0008512582926152,0.4156437298624918,0.0005076972387425511,0.02253213790883038,9
Zr,OLS,2.001605655302291,0.3277324551646153,0.000637283122296321,0.025244467162059907,8
Nb,OLS,1.9819500513836799,0.3222529799904088,0.003501027069935457,0.05916947751954091,8
Mo,OLS,1.9553828457998326,0.38673369654390655,0.004278391290362002,0.06540941285749324,4
Ru,OLS,1.9248804019705712,0.48894140495693217,0.03838159327086762,0.19591220807001186,3
Pd,OLS,1.4500693042217037,0.8437926004660037,0.0,0.0,2
Ag,OLS,1.9820476793443438,0.3487800501512442,0.0002059386980215463,0.014350564379896224,7
Cd,OLS,2.015981296401227,0.3341400530328089,0.000351270875248953,0.018742221726597758,5
La,OLS,2.168048150788809,0.4098534259114761,0.0006891636373534349,0.02625192635509697,12
Hf,OLS,1.9504256976849494,0.3608139736180319,0.0006523951291185618,0.025542026723002265,8
Ta,OLS,1.939491921824198,0.3432348953546331,0.051703231770142244,0.22738344656140264,8
W,OLS,1.9404632625005425,0.356634057908813,0.006415464282366744,0.08009659345045046,4
Re,OLS,2.0291928325806747,0.5419971059729277,0.0026153952003306214,0.0511409346837797,3
Pt,OLS,1.954216614231102,0.21865053699361692,0.004777371654992572,0.06911853336835622,3
Au,OLS,2.016090798275517,0.06464232496284841,4.391120273202897e-32,2.095500005536363e-16,3
Hg,OLS,2.191947385016171,0.32828505768126526,0.004076444028441875,0.06384703617586235,8
Sc,Huber,1.9632185733073095,0.2605373059632059,0.0005306100478365679,0.023034974448359342,5
