material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ag_wyckoff,num_Ag_chemenvs,CN,element,charge_range,is_single_charge
mp-10070,BaAg(PO3)3,1.8305971438761737,0.4214160960300739,[6.0],1.0,1.0,1.0,Square-face capped trigonal prism,4a,1,6.0,Ag,0.0,True
mp-1041246,CaAg3P3O13,1.758115646101023,0.6964604194606206,[6.0],3.0,3.0,3.0,Octahedron,"2a, 2e",1,6.0,Ag,0.0,True
mp-1047110,YAg(WO4)2,3.508058495952768,-0.7480035319632036,[4.0],1.0,1.0,1.0,Octahedron,1f,1,4.0,Ag,0.0,True
mp-1096845,BaAgO2,4.229769286350544,-1.3775561557670843,[4.0],1.0,1.0,1.0,Square plane,"1d, 1c",1,4.0,Ag,0.0,True
mp-1100940,VCu6AgMo5O24,2.3091646200960425,-0.0302453923470076,[4.0],1.0,1.0,1.0,Square pyramid,1a,1,4.0,Ag,0.0,True
mp-1100952,V16Ag7O40,1.889185710772042,0.4066993470526386,"[5.0, 6.0, 7.0]",1.0,1.0,1.0,"Square pyramid, Square-face capped trigonal prism, Trigonal prism",1a,3,5.0,Ag,0.0,True
mp-1100952,V16Ag7O40,1.889185710772042,0.4066993470526386,"[5.0, 6.0, 7.0]",1.0,1.0,1.0,"Square pyramid, Square-face capped trigonal prism, Trigonal prism",1a,3,6.0,Ag,0.0,True
mp-1100952,V16Ag7O40,1.889185710772042,0.4066993470526386,"[5.0, 6.0, 7.0]",1.0,1.0,1.0,"Square pyramid, Square-face capped trigonal prism, Trigonal prism",1a,3,7.0,Ag,0.0,True
mp-1101326,Ta3AgO8,2.3001862835853446,0.1649090801388029,[8.0],1.0,1.0,1.0,Cube,2a,1,8.0,Ag,0.0,True
mp-1101933,AgClO4,1.8231920563653852,0.5171489492332179,[9.0],1.0,1.0,1.0,Tricapped octahedron (all 3 cap faces are sharingone edge of a face),2e,1,9.0,Ag,0.0,True
mp-1103452,RbV2Fe(AgO4)2,2.445353119381925,-0.0616124633975492,[4.0],1.0,1.0,1.0,Tetrahedron,4d,1,4.0,Ag,0.0,True
mp-1103811,KV2Fe(AgO4)2,2.321845384201837,0.0159726193288725,[4.0],1.0,1.0,1.0,Tetrahedron,4d,1,4.0,Ag,0.0,True
mp-1104157,Cu2Ag(SeO5)2,2.552870719262505,0.1698334698056341,[8.0],3.0,3.0,3.0,Bicapped octahedron (opposed cap faces),1d,1,8.0,Ag,0.0,True
mp-1173558,NaMn2FeAg(PO4)3,1.773909781813711,0.45983928727081,[8.0],1.0,1.0,1.0,Hexagonal bipyramid,"1b, 1a",1,8.0,Ag,0.0,True
mp-1178578,Ag2CO3,1.924081924151465,0.339065098013709,"[4.0, 5.0]",1.0,1.0,1.0,"Tetrahedron, Square pyramid","2a, 2b, 4c",2,4.0,Ag,0.0,True
mp-1178578,Ag2CO3,1.924081924151465,0.339065098013709,"[4.0, 5.0]",1.0,1.0,1.0,"Tetrahedron, Square pyramid","2a, 2b, 4c",2,5.0,Ag,0.0,True
mp-1178815,VAgO3,1.655709777870746,0.4710124437013518,"[4.0, 6.0]",1.0,1.0,1.0,"See-saw, Octahedron",2e,2,4.0,Ag,0.0,True
mp-1178815,VAgO3,1.655709777870746,0.4710124437013518,"[4.0, 6.0]",1.0,1.0,1.0,"See-saw, Octahedron",2e,2,6.0,Ag,0.0,True
mp-1183033,AgSO4,1.7437684976660672,0.6087089002749961,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Ag,0.0,True
mp-1188566,VAg2AsO6,2.9082392363151284,-0.111390507368981,"[6.0, 7.0]",1.0,1.0,1.0,"Square-face capped trigonal prism, Octahedron",2i,2,6.0,Ag,0.0,True
mp-1188566,VAg2AsO6,2.9082392363151284,-0.111390507368981,"[6.0, 7.0]",1.0,1.0,1.0,"Square-face capped trigonal prism, Octahedron",2i,2,7.0,Ag,0.0,True
mp-1189708,Na3Ag3W2(OF)6,1.989372914101572,0.2819178829238636,"[3.0, 6.0]",1.0,1.0,1.0,Octahedron,"2c, 1a",1,3.0,Ag,0.0,True
mp-1189708,Na3Ag3W2(OF)6,1.989372914101572,0.2819178829238636,"[3.0, 6.0]",1.0,1.0,1.0,Octahedron,"2c, 1a",1,6.0,Ag,0.0,True
mp-1190325,Ag2P2PdO7,2.802990108795464,-0.0947841588115578,[6.0],1.0,1.0,1.0,Octahedron,4f,1,6.0,Ag,0.0,True
mp-1191267,AgClO4,2.12232032576001,0.3001809781738376,[6.0],1.0,1.0,1.0,Bicapped octahedron (cap faces with one atom in common),4c,1,6.0,Ag,0.0,True
mp-1191720,TlAgTeO3,1.4906295633283295,0.6680872982100581,[6.0],1.0,1.0,1.0,Octahedron,4c,1,6.0,Ag,0.0,True
mp-1192057,Ag2S2O7,1.8515296731669757,0.3781741615218527,"[6.0, 8.0]",1.0,1.0,1.0,"Octahedron, Dodecahedron with triangular faces - p2345 plane normalized",2i,2,6.0,Ag,0.0,True
mp-1192057,Ag2S2O7,1.8515296731669757,0.3781741615218527,"[6.0, 8.0]",1.0,1.0,1.0,"Octahedron, Dodecahedron with triangular faces - p2345 plane normalized",2i,2,8.0,Ag,0.0,True
mp-1192472,CuAgPO4,3.059350521625025,-0.2188125100441399,[6.0],1.0,1.0,1.0,Trigonal prism,4e,1,6.0,Ag,0.0,True
mp-1192534,MgVAgO4,1.889325589352363,0.3495424884219041,[4.0],1.0,1.0,1.0,Square-face monocapped antiprism,4c,1,4.0,Ag,0.0,True
mp-1192650,V2FeAg3O8,2.2534461712752334,0.1479656978228276,"[4.0, 5.0]",1.0,1.0,1.0,"Trigonal prism, Octahedron","4f, 2e",2,4.0,Ag,0.0,True
mp-1192650,V2FeAg3O8,2.2534461712752334,0.1479656978228276,"[4.0, 5.0]",1.0,1.0,1.0,"Trigonal prism, Octahedron","4f, 2e",2,5.0,Ag,0.0,True
mp-1192702,BaV2Cu(AgO4)2,1.925014095306605,0.345476583538684,"[4.0, 5.0]",1.0,1.0,1.0,"Square-face capped trigonal prism, Octahedron",2i,2,4.0,Ag,0.0,True
mp-1192702,BaV2Cu(AgO4)2,1.925014095306605,0.345476583538684,"[4.0, 5.0]",1.0,1.0,1.0,"Square-face capped trigonal prism, Octahedron",2i,2,5.0,Ag,0.0,True
mp-1193238,Ag2Te(H2O3)2,2.253601233194978,0.1086132133094846,[4.0],1.0,1.0,1.0,Trigonal bipyramid,4b,1,4.0,Ag,0.0,True
mp-1193494,MnAgPO4,1.6409567238956213,0.6120086090923927,"[4.0, 5.0]",1.0,1.0,1.0,Trigonal bipyramid,2i,1,4.0,Ag,0.0,True
mp-1193494,MnAgPO4,1.6409567238956213,0.6120086090923927,"[4.0, 5.0]",1.0,1.0,1.0,Trigonal bipyramid,2i,1,5.0,Ag,0.0,True
mp-1194068,Ag5HgSbO6,1.861060912044096,0.4049838753631397,"[2.0, 3.0]",1.0,1.0,1.0,"Linear, Triangular non-coplanar","4e, 6g",2,2.0,Ag,0.0,True
mp-1194068,Ag5HgSbO6,1.861060912044096,0.4049838753631397,"[2.0, 3.0]",1.0,1.0,1.0,"Linear, Triangular non-coplanar","4e, 6g",2,3.0,Ag,0.0,True
mp-1194585,AgP(OF)2,1.264695773358043,0.7991339791365959,[5.0],1.0,1.0,1.0,"Trigonal bipyramid, Trigonal prism",4f,2,5.0,Ag,0.0,True
mp-1194638,Ag3B5O9,1.9697595006923492,0.3755903876719337,"[2.0, 4.0]",1.0,1.0,1.0,"See-saw, Pentagonal plane, Trigonal prism",4a,3,2.0,Ag,0.0,True
mp-1194638,Ag3B5O9,1.9697595006923492,0.3755903876719337,"[2.0, 4.0]",1.0,1.0,1.0,"See-saw, Pentagonal plane, Trigonal prism",4a,3,4.0,Ag,0.0,True
mp-1194640,Mn3V3(AgO6)2,2.3767434522063637,0.1795746518244514,"[4.0, 8.0]",1.0,1.0,1.0,"Cube, Hexagonal bipyramid","2b, 2e",2,4.0,Ag,0.0,True
mp-1194640,Mn3V3(AgO6)2,2.3767434522063637,0.1795746518244514,"[4.0, 8.0]",1.0,1.0,1.0,"Cube, Hexagonal bipyramid","2b, 2e",2,8.0,Ag,0.0,True
mp-1194753,AgB3O5,2.3385517834824805,0.0666415441007,[4.0],1.0,1.0,1.0,Square-face capped trigonal prism,4a,1,4.0,Ag,0.0,True
mp-1195349,Cu3Ag2P2O9,1.77789683427749,0.4570519370201183,"[4.0, 6.0]",1.0,1.0,1.0,"Tetrahedron, Square pyramid, See-saw, Octahedron",4e,4,4.0,Ag,0.0,True
mp-1195349,Cu3Ag2P2O9,1.77789683427749,0.4570519370201183,"[4.0, 6.0]",1.0,1.0,1.0,"Tetrahedron, Square pyramid, See-saw, Octahedron",4e,4,6.0,Ag,0.0,True
mp-1195618,Ag9P14(OF)28,2.083730780000317,0.2550429921825559,"[6.0, 5.0, 6.0]",1.6666666666666667,1.0,2.0,"Square pyramid, Pentagonal bipyramid, Octahedron","4e, 2a",3,6.0,Ag,1.0,False
mp-1195618,Ag9P14(OF)28,2.083730780000317,0.2550429921825559,"[6.0, 5.0, 6.0]",1.6666666666666667,1.0,2.0,"Square pyramid, Pentagonal bipyramid, Octahedron","4e, 2a",3,5.0,Ag,1.0,False
mp-1195618,Ag9P14(OF)28,2.083730780000317,0.2550429921825559,"[6.0, 5.0, 6.0]",1.6666666666666667,1.0,2.0,"Square pyramid, Pentagonal bipyramid, Octahedron","4e, 2a",3,6.0,Ag,1.0,False
mp-1195759,Ag2P2H2O7,1.8068422786770335,0.3981634883842083,[6.0],1.0,1.0,1.0,Octahedron,8h,1,6.0,Ag,0.0,True
mp-1196546,Ag2Ge(S2O7)3,1.209525158369125,0.7980348128564698,[7.0],1.0,1.0,1.0,"Square-face bicapped trigonal prism, Pentagonal bipyramid",6g,2,7.0,Ag,0.0,True
mp-1196678,InAgP2(HO4)2,2.53959724207485,-0.0054360966140809,[5.0],1.0,1.0,1.0,Trigonal prism,4e,1,5.0,Ag,0.0,True
mp-1197464,Ag2Te4MoO12,2.4944657128906185,0.0498190048980365,[7.0],1.0,1.0,1.0,Square-face capped trigonal prism,4f,1,7.0,Ag,0.0,True
mp-1197599,Ag2Sn(S2O7)3,0.9194358741794156,0.943979004813013,[7.0],1.0,1.0,1.0,"Square-face bicapped trigonal prism, Pentagonal bipyramid",6g,2,7.0,Ag,0.0,True
mp-1198966,SiAg2(S2O7)3,1.354597468506986,0.7175943443033261,[7.0],1.0,1.0,1.0,"Square-face bicapped trigonal prism, Pentagonal bipyramid",6g,2,7.0,Ag,0.0,True
mp-1199256,Ag13As3(IO3)4,2.309101617262244,0.0953548159464728,"[2.0, 2.0, 3.0, 3.0, 4.0]",1.0,1.0,1.0,"Tetrahedron, Trigonal bipyramid, See-saw, Octahedron","4f, 2e",4,2.0,Ag,0.0,True
mp-1199256,Ag13As3(IO3)4,2.309101617262244,0.0953548159464728,"[2.0, 2.0, 3.0, 3.0, 4.0]",1.0,1.0,1.0,"Tetrahedron, Trigonal bipyramid, See-saw, Octahedron","4f, 2e",4,2.0,Ag,0.0,True
mp-1199256,Ag13As3(IO3)4,2.309101617262244,0.0953548159464728,"[2.0, 2.0, 3.0, 3.0, 4.0]",1.0,1.0,1.0,"Tetrahedron, Trigonal bipyramid, See-saw, Octahedron","4f, 2e",4,3.0,Ag,0.0,True
mp-1199256,Ag13As3(IO3)4,2.309101617262244,0.0953548159464728,"[2.0, 2.0, 3.0, 3.0, 4.0]",1.0,1.0,1.0,"Tetrahedron, Trigonal bipyramid, See-saw, Octahedron","4f, 2e",4,3.0,Ag,0.0,True
mp-1199256,Ag13As3(IO3)4,2.309101617262244,0.0953548159464728,"[2.0, 2.0, 3.0, 3.0, 4.0]",1.0,1.0,1.0,"Tetrahedron, Trigonal bipyramid, See-saw, Octahedron","4f, 2e",4,4.0,Ag,0.0,True
mp-1199508,AgSO4,1.8647779125950048,0.4869917108132572,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Ag,0.0,True
mp-1199607,Ag4TeSO4,2.316583634567538,0.1274150930751824,"[3.0, 2.0]",1.0,1.0,1.0,"Square pyramid, Triangular non-coplanar","4a, 12b",2,3.0,Ag,0.0,True
mp-1199607,Ag4TeSO4,2.316583634567538,0.1274150930751824,"[3.0, 2.0]",1.0,1.0,1.0,"Square pyramid, Triangular non-coplanar","4a, 12b",2,2.0,Ag,0.0,True
mp-1201018,Ag3S4(O3F)4,2.160741758836066,0.2415161685282085,"[6.0, 7.0, 6.0]",1.3333333333333333,1.0,2.0,"Pentagonal bipyramid, Octahedron",4e,2,6.0,Ag,1.0,False
mp-1201018,Ag3S4(O3F)4,2.160741758836066,0.2415161685282085,"[6.0, 7.0, 6.0]",1.3333333333333333,1.0,2.0,"Pentagonal bipyramid, Octahedron",4e,2,7.0,Ag,1.0,False
mp-1201018,Ag3S4(O3F)4,2.160741758836066,0.2415161685282085,"[6.0, 7.0, 6.0]",1.3333333333333333,1.0,2.0,"Pentagonal bipyramid, Octahedron",4e,2,6.0,Ag,1.0,False
mp-1202188,AgIO3,2.4965685859915583,0.0424497775923858,[5.0],1.0,1.0,1.0,Trigonal prism,8c,1,5.0,Ag,0.0,True
mp-1202934,Ag3SbO4,1.8729815642727108,0.4220324956328315,"[4.0, 6.0]",1.0,1.0,1.0,"See-saw, Octahedron","4b, 4a",2,4.0,Ag,0.0,True
mp-1202934,Ag3SbO4,1.8729815642727108,0.4220324956328315,"[4.0, 6.0]",1.0,1.0,1.0,"See-saw, Octahedron","4b, 4a",2,6.0,Ag,0.0,True
mp-1203083,Tl3Cr4AgO14,2.3937767312644627,0.0477887167808961,[6.0],1.0,1.0,1.0,Octahedron,2e,1,6.0,Ag,0.0,True
mp-1203404,Ag2Mo(I2O7)2,2.4754981607366435,0.0549687981943643,[6.0],1.0,1.0,1.0,Face-capped octahedron,4f,1,6.0,Ag,0.0,True
mp-1203481,NbAgO3,2.1561671924053805,0.2772012079376765,"[5.0, 8.0]",1.0,1.0,1.0,"Bicapped square prism (adjacent faces), Tricapped triangular prism (two square-face caps and one triangular-face cap), Tridiminished icosahedron","2a, 2b, 4c",3,5.0,Ag,0.0,True
mp-1203481,NbAgO3,2.1561671924053805,0.2772012079376765,"[5.0, 8.0]",1.0,1.0,1.0,"Bicapped square prism (adjacent faces), Tricapped triangular prism (two square-face caps and one triangular-face cap), Tridiminished icosahedron","2a, 2b, 4c",3,8.0,Ag,0.0,True
mp-1204480,Tl2Ag3(PO4)3,2.83361177627545,-0.0398235151527349,"[6.0, 8.0]",1.0,1.0,1.0,"Octahedron, Bicapped square prism (adjacent faces), Dodecahedron with triangular faces - p2345 plane normalized","2b, 2e",3,6.0,Ag,0.0,True
mp-1204480,Tl2Ag3(PO4)3,2.83361177627545,-0.0398235151527349,"[6.0, 8.0]",1.0,1.0,1.0,"Octahedron, Bicapped square prism (adjacent faces), Dodecahedron with triangular faces - p2345 plane normalized","2b, 2e",3,8.0,Ag,0.0,True
mp-1205049,SiAg5O4,2.3759692496511713,0.2950018851939929,"[2.0, 3.0, 4.0]",2.4,2.4,2.4,"See-saw, Angular, Triangular non-coplanar","4g, 8h",3,2.0,Ag,0.0,True
mp-1205049,SiAg5O4,2.3759692496511713,0.2950018851939929,"[2.0, 3.0, 4.0]",2.4,2.4,2.4,"See-saw, Angular, Triangular non-coplanar","4g, 8h",3,3.0,Ag,0.0,True
mp-1205049,SiAg5O4,2.3759692496511713,0.2950018851939929,"[2.0, 3.0, 4.0]",2.4,2.4,2.4,"See-saw, Angular, Triangular non-coplanar","4g, 8h",3,4.0,Ag,0.0,True
mp-1207494,ZnAgPO4,2.4036648105662812,0.0470291268033755,"[1.0, 4.0, 5.0]",1.0,1.0,1.0,"Octahedron, Metabidiminished icosahedron",4e,2,1.0,Ag,0.0,True
mp-1207494,ZnAgPO4,2.4036648105662812,0.0470291268033755,"[1.0, 4.0, 5.0]",1.0,1.0,1.0,"Octahedron, Metabidiminished icosahedron",4e,2,4.0,Ag,0.0,True
mp-1207494,ZnAgPO4,2.4036648105662812,0.0470291268033755,"[1.0, 4.0, 5.0]",1.0,1.0,1.0,"Octahedron, Metabidiminished icosahedron",4e,2,5.0,Ag,0.0,True
