CN,formal_charge,count,fraction_within_cn,weighted_charge_contribution
1.0,1,2,1.0,1.0
2.0,1,38,0.9743589743589743,0.9743589743589743
2.0,2,1,0.02564102564102564,0.05128205128205128
3.0,1,39,0.975,0.975
3.0,2,1,0.025,0.05
4.0,1,77,0.9058823529411765,0.9058823529411765
4.0,2,6,0.07058823529411765,0.1411764705882353
4.0,3,2,0.023529411764705882,0.07058823529411765
5.0,1,38,0.9047619047619048,0.9047619047619048
5.0,2,2,0.047619047619047616,0.09523809523809523
5.0,3,2,0.047619047619047616,0.14285714285714285
6.0,1,71,0.8987341772151899,0.8987341772151899
6.0,2,6,0.0759493670886076,0.1518987341772152
6.0,3,2,0.02531645569620253,0.0759493670886076
7.0,1,18,0.8571428571428571,0.8571428571428571
7.0,2,2,0.09523809523809523,0.19047619047619047
7.0,3,1,0.047619047619047616,0.14285714285714285
8.0,1,32,0.9696969696969697,0.9696969696969697
8.0,3,1,0.030303030303030304,0.09090909090909091
9.0,1,4,1.0,1.0
10.0,1,2,1.0,1.0
12.0,1,1,1.0,1.0
