CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,"Octahedron, Metabidiminished icosahedron",1,1,,,,,0.5
1.0,"Trigonal bipyramid, Pentagonal pyramid, Trigonal prism, Square pyramid, Octahedron",1,1,,,,,0.5
2.0,"Tetrahedron, Linear, Square plane, T-shaped, See-saw, Trigonal bipyramid",108,1,2.215474641673489,2.2411496933380155,0.025675051664526445,1.0,0.24324324324324326
2.0,"Linear, Triangular non-coplanar",59,7,2.135346873364252,2.138814420342712,0.003467546978460111,1.0,0.13288288288288289
2.0,Linear,50,3,2.0502233369623113,2.05667232545948,0.0064489884971689684,0.16,0.11261261261261261
2.0,"Tetrahedron, Linear",46,3,2.083047462756296,2.088539251716381,0.005491788960085342,1.0,0.1036036036036036
2.0,"Linear, Octahedron",43,3,2.106948642398656,2.1106998604058678,0.0037512180072116763,1.0,0.09684684684684684
2.0,"T-shaped, Linear",32,3,2.141880162866003,2.144101474193078,0.0022213113270751384,1.0,0.07207207207207207
2.0,"Tetrahedron, Trigonal bipyramid, See-saw, Octahedron",24,1,2.3644217981996487,2.3771921178042525,0.012770319604603767,1.0,0.05405405405405406
2.0,"Tetrahedron, Trigonal bipyramid, Octahedron",16,1,2.4820660710936338,2.559640340439471,0.07757426934583711,1.0,0.036036036036036036
2.0,"Square pyramid, Triangular non-coplanar",12,1,2.4507214120779035,2.544883639413401,0.09416222733549763,1.0,0.02702702702702703
2.0,"T-shaped, Linear, Octahedron",12,1,2.1442045887992887,2.14592787059676,0.0017232817974715201,1.0,0.02702702702702703
2.0,"Trigonal bipyramid, Pentagonal pyramid, Trigonal prism, Square pyramid, Octahedron",8,1,2.311931892343464,2.6680025719452076,0.3560706796017435,1.0,0.018018018018018018
2.0,"Linear, Trigonal plane, Triangular non-coplanar",6,2,2.1599915629617032,2.1603156194805755,0.0003240565188720609,1.0,0.013513513513513514
2.0,"See-saw, Angular, Triangular non-coplanar",4,1,2.3551763950529194,2.35517639505292,3.1401849173675503e-16,1.0,0.009009009009009009
2.0,"See-saw, Angular, Triangular non-coplanar, Pentagonal plane",4,1,2.3148009740895223,2.3539030212433136,0.03910204715379123,1.0,0.009009009009009009
2.0,"Tetrahedron, See-saw",4,1,2.342390300297799,2.3943979481468567,0.052007647849057814,1.0,0.009009009009009009
2.0,"Linear, Trigonal plane, Square plane",2,1,2.1145174487321885,2.118231203118741,0.0037137543865520817,1.0,0.0045045045045045045
2.0,"Tetrahedron, Linear, T-shaped",2,1,2.0824862876605135,2.0901710686337482,0.007684780973234551,1.0,0.0045045045045045045
2.0,"Linear, Trigonal plane",1,1,,,,,0.0022522522522522522
2.0,"See-saw, Linear",1,1,,,,,0.0022522522522522522
2.0,"See-saw, Pentagonal plane, Trigonal prism",1,1,,,,,0.0022522522522522522
2.0,"Square plane, Trigonal plane, Pentagonal pyramid, Trigonal prism, Square pyramid",1,1,,,,,0.0022522522522522522
2.0,"Square pyramid, Octahedron, T-shaped",1,1,,,,,0.0022522522522522522
2.0,"T-shaped, Trigonal plane",1,1,,,,,0.0022522522522522522
