CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown
1.0,2,2,1.0,1.0,s_avg ≤ 1,1+:1.0000
2.0,39,34,1.0256410256410255,0.5128205128205128,s_avg ≤ 1,1+:0.9744; 2+:0.0256
3.0,40,35,1.025,0.3416666666666666,s_avg ≤ 1,1+:0.9750; 2+:0.0250
4.0,85,82,1.1176470588235294,0.27941176470588236,s_avg ≤ 1,1+:0.9059; 2+:0.0706; 3+:0.0235
5.0,42,42,1.1428571428571428,0.22857142857142856,s_avg ≤ 1,1+:0.9048; 2+:0.0476; 3+:0.0476
6.0,79,79,1.1265822784810127,0.1877637130801688,s_avg ≤ 1,1+:0.8987; 2+:0.0759; 3+:0.0253
7.0,21,21,1.1904761904761905,0.17006802721088435,s_avg ≤ 1,1+:0.8571; 2+:0.0952; 3+:0.0476
8.0,33,33,1.0606060606060606,0.13257575757575757,s_avg ≤ 1,1+:0.9697; 3+:0.0303
9.0,4,4,1.0,0.1111111111111111,s_avg ≤ 1,1+:1.0000
10.0,2,2,1.0,0.1,s_avg ≤ 1,1+:1.0000
12.0,1,1,1.0,0.08333333333333333,s_avg ≤ 1,1+:1.0000
