CN,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean
1.0,2,2,,,,
2.0,444,44,2.1811806540545318,2.2037271205849636,0.02254646653043176,0.9025522041763341
3.0,301,45,2.280050647711782,2.403274680949731,0.14665949646141813,1.0
4.0,345,85,2.294352215001967,2.4693305706332715,0.178577612740065,0.993421052631579
5.0,151,44,2.292982650900458,2.5197553380727022,0.19603056028937754,1.0
6.0,398,83,2.3259702885280507,2.541087725567873,0.18949194925950053,1.0
7.0,103,22,2.41768115050124,2.6531410785064606,0.19351188396865515,1.0
8.0,101,34,2.47915641284842,2.7007462895024923,0.1846649975429342,1.0
9.0,15,4,2.5034129964017664,2.7652548772381516,0.19565085147929076,1.0
10.0,4,2,2.3977241021545277,2.7832899899502355,0.2794168573749668,1.0
12.0,4,1,2.623910824215301,2.8662907136609714,0.18108844145816597,1.0
