material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Al_wyckoff,num_Al_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1005666,Sc3Al3C2O5,1.930808033993037,-0.1244428562379083,"[1.0, 5.0]",3.0,3.0,3.0,"Trigonal bipyramid, Tetrahedron","2b, 4f",2,1.0,Al,0.0,True,8.0,1.0,1.838251615259896,1.838251615259896,1.838251615259896,0.0,0.0,,,,,1.0,1.0,1,"Trigonal bipyramid, Tetrahedron"
mp-1005666,Sc3Al3C2O5,1.930808033993037,-0.1244428562379083,"[1.0, 5.0]",3.0,3.0,3.0,"Trigonal bipyramid, Tetrahedron","2b, 4f",2,1.0,Al,0.0,True,9.0,1.0,1.838251615259889,1.838251615259889,1.838251615259889,0.0,0.0,,,,,1.0,1.0,2,"Trigonal bipyramid, Tetrahedron"
mp-1005666,Sc3Al3C2O5,1.930808033993037,-0.1244428562379083,"[1.0, 5.0]",3.0,3.0,3.0,"Trigonal bipyramid, Tetrahedron","2b, 4f",2,1.0,Al,0.0,True,10.0,1.0,1.838251615259896,1.838251615259896,1.838251615259896,0.0,0.0,,,,,1.0,1.0,3,"Trigonal bipyramid, Tetrahedron"
mp-1005666,Sc3Al3C2O5,1.930808033993037,-0.1244428562379083,"[1.0, 5.0]",3.0,3.0,3.0,"Trigonal bipyramid, Tetrahedron","2b, 4f",2,1.0,Al,0.0,True,11.0,1.0,1.8382516152598973,1.8382516152598973,1.8382516152598973,0.0,0.0,,,,,1.0,1.0,4,"Trigonal bipyramid, Tetrahedron"
mp-1005666,Sc3Al3C2O5,1.930808033993037,-0.1244428562379083,"[1.0, 5.0]",3.0,3.0,3.0,"Trigonal bipyramid, Tetrahedron","2b, 4f",2,5.0,Al,0.0,True,6.0,5.0,1.8508563596900807,1.880345587332335,1.8685497071025297,0.014446557668460458,0.029489227642254257,72.0,54.0,0.0,180.0,2.0,0.4,1,"Trigonal bipyramid, Tetrahedron"
mp-1005666,Sc3Al3C2O5,1.930808033993037,-0.1244428562379083,"[1.0, 5.0]",3.0,3.0,3.0,"Trigonal bipyramid, Tetrahedron","2b, 4f",2,5.0,Al,0.0,True,7.0,5.0,1.8508563596900878,1.8803455873323351,1.8685497071025317,0.014446557668458319,0.029489227642247373,72.0,54.0,0.0,180.0,2.0,0.4,2,"Trigonal bipyramid, Tetrahedron"
mp-1019529,Ba8Al10B12O41,1.6324449050152814,0.4733295339579935,"[4.0, 5.0]",3.0,3.0,3.0,"Trigonal bipyramid, Tetrahedron",2i,2,4.0,Al,0.0,True,8.0,4.0,1.7438238943079323,1.7939051651309692,1.7689898494534633,0.017728509995338766,0.05008127082303693,109.39848637004349,3.24985038051552,103.43582318990185,113.27738722184066,4.0,1.0,1,"Trigonal bipyramid, Tetrahedron"
mp-1019529,Ba8Al10B12O41,1.6324449050152814,0.4733295339579935,"[4.0, 5.0]",3.0,3.0,3.0,"Trigonal bipyramid, Tetrahedron",2i,2,4.0,Al,0.0,True,9.0,4.0,1.7438238943079323,1.79390516513097,1.7689898494534637,0.017728509995339127,0.050081270823037816,109.39848637004349,3.2498503805155314,103.43582318990185,113.27738722184071,4.0,1.0,2,"Trigonal bipyramid, Tetrahedron"
mp-1019529,Ba8Al10B12O41,1.6324449050152814,0.4733295339579935,"[4.0, 5.0]",3.0,3.0,3.0,"Trigonal bipyramid, Tetrahedron",2i,2,4.0,Al,0.0,True,10.0,4.0,1.751368747763297,1.7928570663046486,1.7670599436984111,0.01591515595696115,0.04148831854135149,60.42113468883061,30.8868290668444,15.817450151823063,113.1249481978634,4.0,1.0,3,"Trigonal bipyramid, Tetrahedron"
mp-1019529,Ba8Al10B12O41,1.6324449050152814,0.4733295339579935,"[4.0, 5.0]",3.0,3.0,3.0,"Trigonal bipyramid, Tetrahedron",2i,2,4.0,Al,0.0,True,11.0,4.0,1.751368747763297,1.7928570663046486,1.7670599436984111,0.015915155956961188,0.04148831854135149,93.13225095678955,27.444076918012808,40.9584470394145,116.164291598925,4.0,1.0,4,"Trigonal bipyramid, Tetrahedron"
