material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,As_wyckoff,num_As_chemenvs,CN,element,charge_range,is_single_charge
mp-1041525,Mn3Zn3(AsO4)4,1.787283654836275,0.2603565605078035,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1041600,Mg3Fe3(AsO4)4,1.795439182589059,0.3207140023759584,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1041706,Zn3Fe3(AsO4)4,1.788435351413333,0.271306015136063,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1042399,MgCuAs2O7,1.7831703480614132,0.2614330601501409,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1042425,ZnCuAs2O7,1.7866959180749429,0.2610400945796934,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1042722,MgCoAs2O7,1.7893753113653752,0.291054765060039,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1042739,CaCoAs2O7,1.7977637703332423,0.3239459890494398,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1042773,MgMnAs2O7,1.7939680597973866,0.3163214396602083,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1042775,ZnCoAs2O7,1.7863276612748684,0.2629552794155508,[4.0],5.0,5.0,5.0,no_data,no_data,1,4.0,As,0.0,True
mp-1042777,CaMnAs2O7,1.7981429742842028,0.3341577925868789,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1042795,ZnNiAs2O7,1.745532393911977,0.2125963031119324,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1042806,MnZnAs2O7,1.7934938533759317,0.3032819422639506,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1042809,MgFeAs2O7,1.7867687357919386,0.2919820034735906,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1042817,MgNiAs2O7,1.786415616899945,0.2896164115222991,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1042820,ZnFeAs2O7,1.7440748736775116,0.2034959270001874,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1042824,CaFeAs2O7,1.7948503025303382,0.3162403135379259,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1042887,CaNiAs2O7,1.7975242026325635,0.3212983872362732,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1047769,Mg3Mn3(AsO4)4,1.7922454898503222,0.3072063205152359,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1047787,Zn3Co3(AsO4)4,1.7951605498392809,0.2881987122681751,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-10486,Cd2As2O7,1.7353643578106883,0.1881438500275578,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1096784,Ni(AsO2)2,1.819034738937675,0.5011428077143025,[3.0],3.0,3.0,3.0,Triangular non-coplanar,8h,1,3.0,As,0.0,True
mp-1096874,Co(AsO2)2,1.818190386743331,0.4087738851055617,[3.0],3.0,3.0,3.0,Triangular non-coplanar,8h,1,3.0,As,0.0,True
mp-1105091,CoBiAsO5,1.7565079704524056,0.1229170471948532,[4.0],5.0,5.0,5.0,Tetrahedron,4i,1,4.0,As,0.0,True
mp-1105233,Ba(AsO3)2,1.793050997945009,0.3648418868803476,"[4.0, 6.0]",5.0,5.0,5.0,"Octahedron, Tetrahedron",2e,2,4.0,As,0.0,True
mp-1105233,Ba(AsO3)2,1.793050997945009,0.3648418868803476,"[4.0, 6.0]",5.0,5.0,5.0,"Octahedron, Tetrahedron",2e,2,6.0,As,0.0,True
mp-1105278,KAsO3,1.8195169919626728,0.4852267769855338,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-1105528,Pr5As2ClO10,1.819982124061082,3.039138598059398,[3.0],3.0,3.0,3.0,Triangular non-coplanar,2i,1,3.0,As,0.0,True
mp-1173826,Na7As11O31,1.81028738040728,0.3977680525912603,"[4.0, 5.0, 6.0]",5.0,5.0,5.0,no_data,no_data,1,4.0,As,0.0,True
