material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-1173826,Na7As11O31,3,"[4, 5, 6]",1.8102873804072803,0.3977680525912603,no_data,5.0,5.0,5.0
mp-1105233,Ba(AsO3)2,2,"[4, 6]",1.793050997945009,0.3648418868803476,"Octahedron, Tetrahedron",5.0,5.0,5.0
mp-1192746,LiAs2H3O7,2,"[4, 6]",1.7756705846298293,0.2909283403607253,"Octahedron, Tetrahedron",5.0,5.0,5.0
mp-1195682,Th(As4O9)2,2,"[3, 4]",1.7485897827766554,-0.0138220183526094,"Tetrahedron, Triangular non-coplanar",4.0,4.0,4.0
mp-1198282,KAs2HO6,2,"[4, 6]",1.806087269107799,0.3263786292925917,"Octahedron, Tetrahedron",5.0,5.0,5.0
mp-1199861,Ni2As2O7,2,"[4, 5]",1.8174029933722693,0.4206030432683839,"Trigonal bipyramid, Tetrahedron",5.0,5.0,5.0
mp-1203059,LiAs3H2O9,2,"[4, 6]",1.7699364462790754,0.2757732685801274,"Octahedron, Tetrahedron",5.0,5.0,5.0
mp-1216818,VCo5AsO10,2,"[4, 6]",1.8187952396597005,0.3708445329563773,"Octahedron, Tetrahedron",5.0,5.0,5.0
mp-1219627,RbAs4(HO4)3,2,"[4, 6]",1.7803334662444743,0.3366565859958332,"Octahedron, Tetrahedron",5.0,5.0,5.0
mp-1221481,Na2Al3As9O28,2,"[4, 6]",1.800604829312071,0.3376967344547249,"Octahedron, Tetrahedron",5.0,5.0,5.0
mp-1222204,Na3As4H5O14,2,"[4, 6]",1.8067599432910355,0.3076549041599824,"Octahedron, Tetrahedron",5.0,5.0,5.0
mp-1223531,KAs4(HO4)3,2,"[4, 6]",1.809886807831384,0.3434712403169589,"Octahedron, Tetrahedron",5.0,5.0,5.0
mp-1234135,Ba10MgAs6(ClO12)2,2,"[3, 4]",1.6944582472669254,-0.2384665327976234,"Tetrahedron, Triangular non-coplanar",4.67,4.67,4.67
mp-1288147,Co2As2O7,2,"[4, 5]",1.8482752447813815,0.6578369295644013,"Trigonal bipyramid, Tetrahedron",5.0,5.0,5.0
mp-1288387,Co2As2O7,2,"[4, 5]",1.8203391998794185,0.6542688490943377,"Trigonal bipyramid, Tetrahedron",5.0,5.0,5.0
mp-1413546,As2O5,2,"[4, 6]",1.768489204322772,0.281461645559515,"Octahedron, Tetrahedron",5.0,5.0,5.0
mp-17489,Co7(AsO6)2,2,"[4, 6]",1.816127656022109,0.363603558157507,"Octahedron, Tetrahedron",5.0,5.0,5.0
mp-1788,As2O5,2,"[4, 6]",1.7658579894198738,0.2844099424006023,"Octahedron, Tetrahedron",5.0,5.0,5.0
mp-27404,As3(HO2)5,2,"[4, 6]",1.7705520931946226,0.2911013368354804,"Octahedron, Tetrahedron",5.0,5.0,5.0
