CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Octahedron,5.0,4,1,1.8094461941244941,1.8094461941244941,0.0,1.0,1.0
3.0,"Tetrahedron, Triangular non-coplanar",3.67,1,1,,,,,0.3333333333333333
3.0,"Tetrahedron, Triangular non-coplanar",4.0,1,1,,,,,0.3333333333333333
3.0,"Tetrahedron, Triangular non-coplanar",4.67,1,1,,,,,0.3333333333333333
3.0,Triangular non-coplanar,3.0,153,33,1.7622087607188675,1.8109024276379238,0.03793934492596191,0.961451247165533,1.0
3.0,"Triangular non-coplanar, See-saw",3.0,1,1,,,,,1.0
3.0,"Triangular non-coplanar, Tetrahedron",4.5,2,1,1.8131975628155141,1.8274179764307243,0.020110701797184893,1.0,1.0
3.0,no_data,3.0,3,2,1.7922787076435358,1.7991583703956167,0.004864656334526405,1.0,1.0
4.0,"Octahedron, Tetrahedron",5.0,54,24,1.701110529757031,1.7277939266043445,0.02660055811698212,1.0,0.9642857142857143
4.0,"Octahedron, Tetrahedron",2.5,2,1,1.7222413565196235,1.7363671751629008,0.018260671909726037,1.0,0.03571428571428571
4.0,Tetrahedron,5.0,1655,388,1.699988006384168,1.7236665048065056,0.022391000639493865,0.9179936305732485,0.9987929993964997
4.0,Tetrahedron,3.5,2,1,1.7139298912100003,1.729913122050419,0.009227922628239033,0.75,0.0012070006035003018
4.0,"Tetrahedron, Triangular non-coplanar",4.67,6,1,1.733524027799671,1.7905314245832271,0.08834237136962525,0.20833333333333334,0.5454545454545454
4.0,"Tetrahedron, Triangular non-coplanar",3.67,4,1,1.6627644747765218,1.7034464497760857,0.02374764726503488,1.0,0.36363636363636365
4.0,"Tetrahedron, Triangular non-coplanar",4.0,1,1,,,,,0.09090909090909091
4.0,"Triangular non-coplanar, See-saw",3.0,10,2,1.7887602978420822,2.0048984658878695,0.25455608177956873,1.0,1.0
4.0,"Triangular non-coplanar, Tetrahedron",4.5,2,1,1.6892358241382692,1.7322613698676443,0.03919582860859127,1.0,1.0
4.0,"Trigonal bipyramid, Tetrahedron",5.0,3,3,,,,,1.0
4.0,no_data,5.0,12,3,1.6819457428740054,1.7317925912774497,0.03468973801131502,1.0,1.0
5.0,Square pyramid,3.0,2,2,,,,,1.0
5.0,"Trigonal bipyramid, Tetrahedron",5.0,16,4,1.704361671977348,1.8934576329982928,0.3347857473555919,1.0,1.0
5.0,no_data,5.0,6,1,1.7747969886477974,1.8090624161643103,0.03514292621264955,1.0,1.0
6.0,Octahedron,5.0,15,6,1.819433363930167,1.8677435222307501,0.03995848067618104,1.0,1.0
6.0,"Octahedron, Tetrahedron",5.0,100,24,1.7780632978206685,1.9253712127950449,0.16912903758908993,0.9933333333333333,0.9900990099009901
6.0,"Octahedron, Tetrahedron",2.5,1,1,1.871415688818582,1.8735571020400297,0.003028415620415654,1.0,0.009900990099009901
6.0,no_data,5.0,21,1,1.8262797392609,1.8817838600496803,0.046075831963096364,1.0,1.0
