CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,Octahedron,4,1,1.8094461941244941,1.8094461941244941,0.0,1.0,1.0
3.0,Triangular non-coplanar,153,33,1.7622087607188675,1.8109024276379238,0.03793934492596191,0.961451247165533,0.9444444444444444
3.0,"Tetrahedron, Triangular non-coplanar",3,3,,,,,0.018518518518518517
3.0,no_data,3,2,1.7922787076435358,1.7991583703956167,0.004864656334526405,1.0,0.018518518518518517
3.0,"Triangular non-coplanar, Tetrahedron",2,1,1.8131975628155141,1.8274179764307243,0.020110701797184893,1.0,0.012345679012345678
3.0,"Triangular non-coplanar, See-saw",1,1,,,,,0.006172839506172839
4.0,Tetrahedron,1657,389,1.7000057441511218,1.7236744521566887,0.02237425372090448,0.9177798982188295,0.9463163906339235
4.0,"Octahedron, Tetrahedron",56,25,1.7021670710951606,1.7282225890322724,0.026183563806619313,1.0,0.03198172472872644
4.0,no_data,12,3,1.6819457428740054,1.7317925912774497,0.03468973801131502,1.0,0.006853226727584237
4.0,"Tetrahedron, Triangular non-coplanar",11,3,1.7052202065904116,1.7556974346603706,0.0625044817277891,0.525,0.006282124500285551
4.0,"Triangular non-coplanar, See-saw",10,2,1.7887602978420822,2.0048984658878695,0.25455608177956873,1.0,0.0057110222729868645
4.0,"Trigonal bipyramid, Tetrahedron",3,3,,,,,0.0017133066818960593
4.0,"Triangular non-coplanar, Tetrahedron",2,1,1.6892358241382692,1.7322613698676443,0.03919582860859127,1.0,0.001142204454597373
5.0,"Trigonal bipyramid, Tetrahedron",16,4,1.704361671977348,1.8934576329982928,0.3347857473555919,1.0,0.6666666666666666
5.0,no_data,6,1,1.7747969886477974,1.8090624161643103,0.03514292621264955,1.0,0.25
5.0,Square pyramid,2,2,,,,,0.08333333333333333
6.0,"Octahedron, Tetrahedron",101,25,1.7789875789196579,1.9248582017974705,0.16748447697553867,0.9933993399339933,0.7372262773722628
6.0,no_data,21,1,1.8262797392609,1.8817838600496803,0.046075831963096364,1.0,0.15328467153284672
6.0,Octahedron,15,6,1.819433363930167,1.8677435222307501,0.03995848067618104,1.0,0.10948905109489052
