CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,5.0,4,1,1.8094461941244941,1.8094461941244941,0.0,1.0
3.0,3.0,157,36,1.7626123841675208,1.810744789285678,0.037495389374399016,0.9691358024691358
3.0,4.5,2,1,1.8131975628155141,1.8274179764307243,0.020110701797184893,0.012345679012345678
3.0,3.67,1,1,,,,0.006172839506172839
3.0,4.0,1,1,,,,0.006172839506172839
3.0,4.67,1,1,,,,0.006172839506172839
4.0,5.0,1724,418,1.6998806907829622,1.7238235141064866,0.022580845104065723,0.9845802398629354
4.0,3.0,10,2,1.7887602978420822,2.0048984658878695,0.25455608177956873,0.0057110222729868645
4.0,4.67,6,1,1.733524027799671,1.7905314245832271,0.08834237136962525,0.0034266133637921186
4.0,3.67,4,1,1.6627644747765218,1.7034464497760857,0.02374764726503488,0.002284408909194746
4.0,2.5,2,1,1.7222413565196235,1.7363671751629008,0.018260671909726037,0.001142204454597373
4.0,3.5,2,1,1.7139298912100003,1.729913122050419,0.009227922628239033,0.001142204454597373
4.0,4.5,2,1,1.6892358241382692,1.7322613698676443,0.03919582860859127,0.001142204454597373
4.0,4.0,1,1,,,,0.0005711022272986865
5.0,5.0,22,5,1.7235713037965616,1.8704407556799338,0.2530649779529713,0.9166666666666666
5.0,3.0,2,2,,,,0.08333333333333333
6.0,5.0,136,31,1.7900713585698402,1.9122848174559488,0.13588142235497597,0.9927007299270073
6.0,2.5,1,1,1.871415688818582,1.8735571020400297,0.003028415620415654,0.0072992700729927005
