material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Au_wyckoff,num_Au_chemenvs,CN,element,charge_range,is_single_charge
mp-10559,Gd3AuO6,2.391872844658919,-1.3178292808354333,[4.0],3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True
mp-10560,Sm3AuO6,2.4445122611699555,-1.4975539160743012,[4.0],3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True
mp-1105366,KAu(IO3)4,2.0297788354791635,-0.0337402266372792,[4.0],3.0,3.0,3.0,Square plane,1b,1,4.0,Au,0.0,True
mp-1105750,LiAu(S2O7)2,2.038077901095836,-0.0202903677259646,[4.0],3.0,3.0,3.0,Square plane,1h,1,4.0,Au,0.0,True
mp-1105854,CsAu(IO3)4,2.0405856099955915,-0.0620724761461484,[4.0],3.0,3.0,3.0,Square plane,1b,1,4.0,Au,0.0,True
mp-1188141,RbAu(IO3)4,2.0361189400823068,-0.0545552367360983,[4.0],3.0,3.0,3.0,Square plane,1b,1,4.0,Au,0.0,True
mp-1188818,NaAu(IO3)4,2.013858054610048,-0.0081098649325313,[4.0],3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True
mp-1194889,MgAu2(SO4)4,1.9825532951480416,0.1769894689232891,[4.0],3.0,3.0,3.0,Square plane,4b,1,4.0,Au,0.0,True
mp-1195201,K2Au(IO3)5,2.0243524783287823,0.0107548104354687,[4.0],3.0,3.0,3.0,Square plane,2a,1,4.0,Au,0.0,True
mp-1198003,NaAu(S2O7)2,2.06375924837634,-0.0849701139014438,[4.0],3.0,3.0,3.0,Square plane,2a,1,4.0,Au,0.0,True
mp-1200560,CsAu(IO3)4,2.0202831886757666,0.0189406419589447,[4.0],3.0,3.0,3.0,Square plane,2i,1,4.0,Au,0.0,True
mp-1202202,NaAu(IO3)4,2.0073501303977306,0.0029348620407708,[4.0],3.0,3.0,3.0,Square plane,2a,1,4.0,Au,0.0,True
mp-1229194,AgAu(IO3)4,2.0269519895951804,0.0059274815128725,[4.0],3.0,3.0,3.0,Square plane,2a,1,4.0,Au,0.0,True
mp-1234500,MgAu4Se4(ClO3)4,2.0386657434750965,-0.0021347617243044,"[0, 2.0, 3.0, 4.0]",3.0,3.0,3.0,"See-saw, Square plane",1a,2,0.0,Au,0.0,True
mp-1234500,MgAu4Se4(ClO3)4,2.0386657434750965,-0.0021347617243044,"[0, 2.0, 3.0, 4.0]",3.0,3.0,3.0,"See-saw, Square plane",1a,2,2.0,Au,0.0,True
mp-1234500,MgAu4Se4(ClO3)4,2.0386657434750965,-0.0021347617243044,"[0, 2.0, 3.0, 4.0]",3.0,3.0,3.0,"See-saw, Square plane",1a,2,3.0,Au,0.0,True
mp-1234500,MgAu4Se4(ClO3)4,2.0386657434750965,-0.0021347617243044,"[0, 2.0, 3.0, 4.0]",3.0,3.0,3.0,"See-saw, Square plane",1a,2,4.0,Au,0.0,True
mp-1235050,LiAu4Se4(ClO3)4,2.082415485034933,-0.0696040145889979,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,2.0,Au,0.0,True
mp-1235050,LiAu4Se4(ClO3)4,2.082415485034933,-0.0696040145889979,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,3.0,Au,0.0,True
mp-1235050,LiAu4Se4(ClO3)4,2.082415485034933,-0.0696040145889979,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True
mp-1235220,LiAu4Se4(ClO3)4,2.071298559754345,0.0082940829712529,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,2.0,Au,0.0,True
mp-1235220,LiAu4Se4(ClO3)4,2.071298559754345,0.0082940829712529,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,3.0,Au,0.0,True
mp-1235220,LiAu4Se4(ClO3)4,2.071298559754345,0.0082940829712529,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True
mp-1235291,LiAu4Se4(ClO3)4,2.06225630161284,0.0199121503706835,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,2.0,Au,0.0,True
mp-1235291,LiAu4Se4(ClO3)4,2.06225630161284,0.0199121503706835,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,3.0,Au,0.0,True
mp-1235291,LiAu4Se4(ClO3)4,2.06225630161284,0.0199121503706835,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True
mp-1235582,LiAu4Se4(ClO3)4,2.1361901670004912,-0.2056569142607832,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,2.0,Au,0.0,True
mp-1235582,LiAu4Se4(ClO3)4,2.1361901670004912,-0.2056569142607832,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,3.0,Au,0.0,True
mp-1235582,LiAu4Se4(ClO3)4,2.1361901670004912,-0.2056569142607832,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True
mp-1236013,LiAu4Se4(ClO3)4,2.125140013332582,-0.1077420239945484,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,2.0,Au,0.0,True
mp-1236013,LiAu4Se4(ClO3)4,2.125140013332582,-0.1077420239945484,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,3.0,Au,0.0,True
mp-1236013,LiAu4Se4(ClO3)4,2.125140013332582,-0.1077420239945484,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True
mp-27253,Au2O3,1.963727731796764,0.2705868088111766,[4.0],3.0,3.0,3.0,Square plane,4b,1,4.0,Au,0.0,True
mp-27441,Au2Se4O11,2.009713426276466,-0.0254929391094119,[4.0],3.0,3.0,3.0,Square plane,"2d, 2a",1,4.0,Au,0.0,True
mp-28095,Au2Se2O7,1.9932311222030457,0.1347375524616303,[4.0],3.0,3.0,3.0,Square plane,4c,1,4.0,Au,0.0,True
mp-28788,Ba9(AuO6)2,2.031819663912939,0.0936759551649321,[4.0],3.0,3.0,3.0,Square plane,8d,1,4.0,Au,0.0,True
mp-28853,LaAuO3,1.922081762382032,0.275704687833706,[4.0],3.0,3.0,3.0,Square plane,4d,1,4.0,Au,0.0,True
mp-555085,KAu(NO3)4,2.0720184698560704,-0.0770820867924472,[4.0],3.0,3.0,3.0,Square plane,2a,1,4.0,Au,0.0,True
mp-555376,CsAu(SO4)2,2.09643328267631,-0.184162750853371,[4.0],3.0,3.0,3.0,Square plane,4e,1,4.0,Au,0.0,True
mp-555741,RbAu(SO4)2,2.034653521475243,0.0212528718701236,[4.0],3.0,3.0,3.0,Square plane,1b,1,4.0,Au,0.0,True
mp-557441,KAu(IO3)4,2.0285933308522126,-0.0225341636322275,[4.0],3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True
mp-559422,Bi4Au2O9,2.022674624415564,0.0566704241174641,[4.0],3.0,3.0,3.0,Square plane,8c,1,4.0,Au,0.0,True
mp-559824,Au2Se3O10,2.000625102469264,-0.0063745053160621,[4.0],3.0,3.0,3.0,Square plane,4b,1,4.0,Au,0.0,True
mp-560021,AuS3(O3F)3,2.0263864780835457,0.0883109603531828,[4.0],3.0,3.0,3.0,Square plane,4e,1,4.0,Au,0.0,True
mp-560549,AuSeClO3,2.0396611513054124,-0.0140538545022475,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,"1a, 2i, 1b",1,2.0,Au,0.0,True
mp-560549,AuSeClO3,2.0396611513054124,-0.0140538545022475,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,"1a, 2i, 1b",1,3.0,Au,0.0,True
mp-560549,AuSeClO3,2.0396611513054124,-0.0140538545022475,"[2.0, 3.0, 4.0]",3.0,3.0,3.0,Square plane,"1a, 2i, 1b",1,4.0,Au,0.0,True
mp-561190,NaAu(SO4)2,2.1492523655051885,-0.3726192943247426,[4.0],3.0,3.0,3.0,Square plane,2a,1,4.0,Au,0.0,True
mp-658803,Au2O3,1.9893925454580423,0.2123242706859761,[4.0],3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True
mp-709946,CsAu(SO4)2,1.8833507429531533,0.5191583026236191,[4.0],3.0,3.0,3.0,Square plane,1a,1,4.0,Au,0.0,True
mp-7471,Li3AuO3,1.925508669111323,0.3358526221409669,[4.0],3.0,3.0,3.0,Square plane,4f,1,4.0,Au,0.0,True
mp-768915,Na3AuO3,1.8833569451760432,0.5050688361380555,[4.0],3.0,3.0,3.0,Square plane,4f,1,4.0,Au,0.0,True
