material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-1234500,MgAu4Se4(ClO3)4,4,"[0, 2, 3, 4]",2.0386657434750965,-0.0021347617243044,"See-saw, Square plane",3.0,3.0,3.0
mp-1235050,LiAu4Se4(ClO3)4,3,"[2, 3, 4]",2.082415485034933,-0.0696040145889979,Square plane,3.0,3.0,3.0
mp-1235220,LiAu4Se4(ClO3)4,3,"[2, 3, 4]",2.071298559754345,0.0082940829712529,Square plane,3.0,3.0,3.0
mp-1235291,LiAu4Se4(ClO3)4,3,"[2, 3, 4]",2.06225630161284,0.0199121503706835,Square plane,3.0,3.0,3.0
mp-1235582,LiAu4Se4(ClO3)4,3,"[2, 3, 4]",2.1361901670004912,-0.20565691426078322,Square plane,3.0,3.0,3.0
mp-1236013,LiAu4Se4(ClO3)4,3,"[2, 3, 4]",2.125140013332582,-0.1077420239945484,Square plane,3.0,3.0,3.0
mp-560549,AuSeClO3,3,"[2, 3, 4]",2.0396611513054124,-0.0140538545022475,Square plane,3.0,3.0,3.0
mp-10559,Gd3AuO6,1,[4],2.391872844658919,-1.3178292808354333,Square plane,3.0,3.0,3.0
mp-10560,Sm3AuO6,1,[4],2.4445122611699555,-1.4975539160743012,Square plane,3.0,3.0,3.0
mp-1105366,KAu(IO3)4,1,[4],2.0297788354791635,-0.0337402266372792,Square plane,3.0,3.0,3.0
mp-1105750,LiAu(S2O7)2,1,[4],2.038077901095836,-0.0202903677259646,Square plane,3.0,3.0,3.0
mp-1105854,CsAu(IO3)4,1,[4],2.0405856099955915,-0.0620724761461484,Square plane,3.0,3.0,3.0
mp-1188141,RbAu(IO3)4,1,[4],2.0361189400823068,-0.0545552367360983,Square plane,3.0,3.0,3.0
mp-1188818,NaAu(IO3)4,1,[4],2.013858054610048,-0.0081098649325313,Square plane,3.0,3.0,3.0
mp-1194889,MgAu2(SO4)4,1,[4],1.9825532951480416,0.1769894689232891,Square plane,3.0,3.0,3.0
mp-1195201,K2Au(IO3)5,1,[4],2.0243524783287823,0.0107548104354687,Square plane,3.0,3.0,3.0
mp-1198003,NaAu(S2O7)2,1,[4],2.06375924837634,-0.0849701139014438,Square plane,3.0,3.0,3.0
mp-1200560,CsAu(IO3)4,1,[4],2.0202831886757666,0.0189406419589447,Square plane,3.0,3.0,3.0
mp-1202202,NaAu(IO3)4,1,[4],2.0073501303977306,0.0029348620407708,Square plane,3.0,3.0,3.0
mp-1229194,AgAu(IO3)4,1,[4],2.0269519895951804,0.0059274815128725,Square plane,3.0,3.0,3.0
mp-27253,Au2O3,1,[4],1.963727731796764,0.2705868088111766,Square plane,3.0,3.0,3.0
mp-27441,Au2Se4O11,1,[4],2.009713426276466,-0.0254929391094119,Square plane,3.0,3.0,3.0
mp-28095,Au2Se2O7,1,[4],1.9932311222030457,0.1347375524616303,Square plane,3.0,3.0,3.0
mp-28788,Ba9(AuO6)2,1,[4],2.031819663912939,0.0936759551649321,Square plane,3.0,3.0,3.0
mp-28853,LaAuO3,1,[4],1.922081762382032,0.275704687833706,Square plane,3.0,3.0,3.0
mp-555085,KAu(NO3)4,1,[4],2.0720184698560704,-0.0770820867924472,Square plane,3.0,3.0,3.0
mp-555376,CsAu(SO4)2,1,[4],2.09643328267631,-0.184162750853371,Square plane,3.0,3.0,3.0
mp-555741,RbAu(SO4)2,1,[4],2.034653521475243,0.0212528718701236,Square plane,3.0,3.0,3.0
mp-557441,KAu(IO3)4,1,[4],2.0285933308522126,-0.0225341636322275,Square plane,3.0,3.0,3.0
mp-559422,Bi4Au2O9,1,[4],2.022674624415564,0.0566704241174641,Square plane,3.0,3.0,3.0
mp-559824,Au2Se3O10,1,[4],2.000625102469264,-0.0063745053160621,Square plane,3.0,3.0,3.0
mp-560021,AuS3(O3F)3,1,[4],2.0263864780835457,0.0883109603531828,Square plane,3.0,3.0,3.0
mp-561190,NaAu(SO4)2,1,[4],2.1492523655051885,-0.3726192943247426,Square plane,3.0,3.0,3.0
mp-658803,Au2O3,1,[4],1.9893925454580423,0.2123242706859761,Square plane,3.0,3.0,3.0
mp-709946,CsAu(SO4)2,1,[4],1.8833507429531533,0.5191583026236191,Square plane,3.0,3.0,3.0
mp-7471,Li3AuO3,1,[4],1.925508669111323,0.3358526221409669,Square plane,3.0,3.0,3.0
mp-768915,Na3AuO3,1,[4],1.8833569451760432,0.5050688361380555,Square plane,3.0,3.0,3.0
