material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,B_wyckoff,num_B_chemenvs,CN,element,charge_range,is_single_charge
mp-10080,PrGeBO5,1.399002790806443,0.2695548536260598,[4.0],3.0,3.0,3.0,Tetrahedron,3a,1,4.0,B,0.0,True
mp-1019509,B2S2O9,1.378611289438328,0.3128296785519984,[4.0],3.0,3.0,3.0,Tetrahedron,2c,1,4.0,B,0.0,True
mp-1019518,Ba2CaSi4(BO7)2,2.3282669085457104,-2.9130567725111285,[4.0],3.0,3.0,3.0,"Square-face capped square prism, Tetrahedron","4g, 4i",2,4.0,B,0.0,True
mp-1019522,Ba2B10O17,1.3835352136642007,0.3184125596333006,"[3.0, 4.0]",3.0,3.0,3.0,"Bicapped square prism (adjacent faces), Diminished icosahedron, Trigonal plane, Tetrahedron",2i,4,3.0,B,0.0,True
mp-1019522,Ba2B10O17,1.3835352136642007,0.3184125596333006,"[3.0, 4.0]",3.0,3.0,3.0,"Bicapped square prism (adjacent faces), Diminished icosahedron, Trigonal plane, Tetrahedron",2i,4,4.0,B,0.0,True
mp-1019526,Ba3Si2(B3O8)2,1.3894511744017424,0.3423993533470842,"[3.0, 4.0]",3.0,3.0,3.0,"Hendecahedron, Tetrahedron, Trigonal plane, Bicapped octahedron (opposed cap faces)","2i, 1f",4,3.0,B,0.0,True
mp-1019526,Ba3Si2(B3O8)2,1.3894511744017424,0.3423993533470842,"[3.0, 4.0]",3.0,3.0,3.0,"Hendecahedron, Tetrahedron, Trigonal plane, Bicapped octahedron (opposed cap faces)","2i, 1f",4,4.0,B,0.0,True
mp-1019527,Ba3Y2(B2O5)3,1.3845307242958422,0.3954057269951265,[3.0],3.0,3.0,3.0,"Trigonal plane, Tricapped triangular prism (one square-face cap and two triangular-face caps)","12d, 24e",2,3.0,B,0.0,True
mp-1019528,Ba2Mg(BO2)6,1.386475493174771,0.5412862144604201,[3.0],3.0,3.0,3.0,"Triangular cupola, Trigonal plane","2c, 6f",2,3.0,B,0.0,True
mp-1019529,Ba8Al10B12O41,1.3863098780050342,0.2194198075768718,[3.0],3.0,3.0,3.0,"Tricapped octahedron (cap faces are aligned), Trigonal plane, Square-face bicapped square antiprism, Square-face monocapped antiprism",2i,4,3.0,B,0.0,True
mp-1019539,BaB2S3O13,1.404959284279138,0.2667179472484327,[4.0],3.0,3.0,3.0,"Tetrahedron, Square-face bicapped square antiprism","4c, 8d",2,4.0,B,0.0,True
mp-1019542,BaCaB2O5,1.392028914229881,0.4496941076277623,[3.0],3.0,3.0,3.0,"Trigonal plane, Face-capped octahedron, Tricapped octahedron (all 3 cap faces share one atom)",4e,3,3.0,B,0.0,True
mp-1019554,BaNaB5O9,1.3783492762188383,0.3743994657610542,"[3.0, 4.0]",3.0,3.0,3.0,"Hexagonal bipyramid, Tetrahedron, Trigonal plane",4e,3,3.0,B,0.0,True
mp-1019554,BaNaB5O9,1.3783492762188383,0.3743994657610542,"[3.0, 4.0]",3.0,3.0,3.0,"Hexagonal bipyramid, Tetrahedron, Trigonal plane",4e,3,4.0,B,0.0,True
mp-1019555,BaNaLi3(BO2)6,1.3836358975105754,0.3710442763806498,"[3.0, 4.0]",3.0,3.0,3.0,"Tridiminished icosahedron, Tetrahedron, Trigonal plane","2c, 6f",3,3.0,B,0.0,True
mp-1019555,BaNaLi3(BO2)6,1.3836358975105754,0.3710442763806498,"[3.0, 4.0]",3.0,3.0,3.0,"Tridiminished icosahedron, Tetrahedron, Trigonal plane","2c, 6f",3,4.0,B,0.0,True
mp-1019559,Ca2B2O5,1.3786756785919168,0.4588279972064253,[3.0],3.0,3.0,3.0,Trigonal plane,4e,1,3.0,B,0.0,True
mp-1019560,Ca2B2O5,1.3784775148222457,0.4593271096903854,[3.0],3.0,3.0,3.0,Trigonal plane,4a,1,3.0,B,0.0,True
mp-1019569,Ca10Ge16(B2O17)3,1.3068369314035562,0.6688642978187651,[4.0],3.0,3.0,3.0,Tetrahedron,4c,1,4.0,B,0.0,True
mp-1019592,Ce2B8O15,1.3690460455231863,0.3971340277203266,[4.0],3.0,3.0,3.0,Tetrahedron,4g,1,4.0,B,0.0,True
mp-1019604,Cs2B2S3O13,1.3844829580379232,0.3416531791826303,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,B,0.0,True
mp-1019606,Cs2Li2B2P4O15,1.4064562794788928,0.2423966682540713,[4.0],3.0,3.0,3.0,Tetrahedron,2i,1,4.0,B,0.0,True
mp-1019607,Cs2Li5(BO2)7,1.38475830946624,0.3655309849253554,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2b, 4c",2,3.0,B,0.0,True
mp-1019607,Cs2Li5(BO2)7,1.38475830946624,0.3655309849253554,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2b, 4c",2,4.0,B,0.0,True
mp-1019608,Cs3BO3,1.3970351808106196,0.2437226867954876,[3.0],3.0,3.0,3.0,Trigonal plane,"4g, 4h",1,3.0,B,0.0,True
mp-1019609,Cs2Sr2Li3B3(PO4)6,1.3998522400313056,0.2655340784069251,[4.0],3.0,3.0,3.0,no_data,no_data,1,4.0,B,0.0,True
mp-1019611,Cs2Na2Sr(B3O5)6,1.3810789247953064,0.3440638014247431,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4e,2,3.0,B,0.0,True
mp-1019611,Cs2Na2Sr(B3O5)6,1.3810789247953064,0.3440638014247431,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4e,2,4.0,B,0.0,True
mp-1019615,Cs3Li4(BO2)7,1.3823026898399788,0.3803112669375355,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","3a, 6c",2,3.0,B,0.0,True
