CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,Trigonal plane,3.0,12,1,1.419712417612337,1.419712417612337,0.0,1.0,1.0
2.0,"Linear, Tetrahedron, Trigonal plane",3.0,1,1,,,,,1.0
2.0,Tetrahedron,3.0,3,3,,,,,1.0
2.0,"Tetrahedron, Trigonal plane",3.0,1,1,,,,,1.0
3.0,"Anticuboctahedron, Triangular cupola, Trigonal plane",3.0,14,14,,,,,1.0
3.0,"Anticuboctahedron, Triangular cupola, Trigonal plane, Octahedron",3.0,1,1,,,,,1.0
3.0,"Bicapped octahedron (cap faces with one atom in common), Tricapped triangular prism (three square-face caps), Square antiprism, Tricapped triangular prism (two square-face caps and one triangular-face cap), Square-face capped square prism, Trigonal plane, Square-face bicapped trigonal prism, Bicapped octahedron (cap faces with one edge in common), Dodecahedron with triangular faces - p2345 plane normalized, Tricapped octahedron (all 3 cap faces share one atom)",3.0,16,1,1.3581059420666892,1.3945245489294062,0.04908473709535539,0.41666666666666663,1.0
3.0,"Bicapped octahedron (cap faces with one atom in common), Tricapped triangular prism (three square-face caps), Square-face monocapped antiprism, Bicapped square prism (opposite faces), Pentagonal antiprism, Trigonal plane, Square-face bicapped square antiprism, Tricapped octahedron (all 3 cap faces share one atom)",3.0,24,1,1.381029697080283,1.3856766956162634,0.0037802131342354437,1.0,1.0
3.0,"Bicapped octahedron (cap faces with one atom in common), Trigonal plane",3.0,8,1,1.3713504698705157,1.3909704390468547,0.021893669184307917,1.0,1.0
3.0,"Bicapped square prism (adjacent faces), Diminished icosahedron, Trigonal plane, Tetrahedron",3.0,1,1,,,,,1.0
3.0,"Bicapped square prism (adjacent faces), Tetrahedron, Trigonal plane",3.0,3,3,,,,,1.0
3.0,"Bicapped square prism (adjacent faces), Tricapped triangular prism (three square-face caps), Trigonal plane",3.0,4,1,1.378674935863517,1.381906152239118,0.0023305041625985463,0.6666666666666666,1.0
3.0,"Bicapped square prism (adjacent faces), Trigonal plane",3.0,2,2,,,,,1.0
3.0,"Cube, Trigonal plane",3.0,12,1,1.340712588081135,1.3774168500808945,0.025984694843618455,1.0,1.0
3.0,"Cube, Trigonal plane, Octahedron",3.0,11,3,1.35501882674388,1.384475877322771,0.03689122094036872,0.3333333333333333,1.0
3.0,"Cuboctahedron, Trigonal plane",3.0,5,5,,,,,1.0
3.0,"Diminished icosahedron, Square-face bicapped square antiprism, Trigonal plane, Tetrahedron",3.0,2,1,1.3679876355758525,1.3743752591811895,0.004516870588823786,1.0,1.0
3.0,"Diminished icosahedron, Trigonal plane, Tetrahedron, Square-face monocapped antiprism",3.0,1,1,,,,,1.0
3.0,"Face-capped octahedron, Square-face capped trigonal prism, Trigonal plane, Trigonal prism",3.0,8,1,1.3806053015689144,1.391983300617439,0.009381530023943518,1.0,1.0
3.0,"Face-capped octahedron, Trigonal plane, Tetrahedron, Octahedron, Pentagonal-face bicapped pentagonal prism",3.0,1,1,,,,,1.0
3.0,"Hendecahedron, Tetrahedron, Trigonal plane, Bicapped octahedron (opposed cap faces)",3.0,1,1,,,,,1.0
3.0,"Hexagonal bipyramid, Tetrahedron, Trigonal plane",3.0,1,1,,,,,1.0
