CN,n_rows,n_unique_materials,R0_mean,B_mean,mean_charge_mean
0.0,2,2,1.9923960495089963,0.6519800777398268,3.0
1.0,1,1,2.0296477294468795,0.6029464196659167,3.0
2.0,8,7,2.2218060603113816,0.30173322929596463,3.0
3.0,54,51,2.092491584193024,0.4781129213626855,3.0
4.0,137,117,2.1135033314761267,0.4707727188241886,2.9909245742092456
5.0,152,149,2.1265304420124322,0.46781072860929496,3.095548245614035
6.0,359,358,2.042155456684911,0.46454864275837593,3.615385329619313
7.0,179,177,2.0164061230315395,0.5939456396304824,3.05487895716946
8.0,246,246,1.963551796191863,0.586744900087063,2.995582655826558
9.0,26,26,1.8541555943855814,0.6792495185580432,2.9934615384615384
10.0,2,2,2.1358877139917594,0.33361489847805337,3.0
12.0,3,3,2.4463936552414802,0.1704554068118265,3.0
