material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Bi_wyckoff,num_Bi_chemenvs,CN,element,charge_range,is_single_charge
mp-1039698,NaMg30BiO32,1.6944599553619022,0.8457794175051344,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,Bi,0.0,True
mp-1039742,NaMg30BiO32,1.7745793214415837,0.7433882648248508,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,Bi,0.0,True
mp-1040014,LiMg30BiO32,2.248809745258689,0.0619330336199429,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,Bi,0.0,True
mp-1040443,KBaBiTeO6,1.7635455122905686,0.8310946165623921,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,Bi,0.0,True
mp-1041365,MgBi4O9,1.8477101552124888,1.0367443008935069,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,6.0,Bi,0.0,True
mp-1041365,MgBi4O9,1.8477101552124888,1.0367443008935069,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,7.0,Bi,0.0,True
mp-1041411,CaBi4O9,1.9737708751848368,0.7235601643705513,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,6.0,Bi,0.0,True
mp-1041411,CaBi4O9,1.9737708751848368,0.7235601643705513,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",4g,2,7.0,Bi,0.0,True
mp-1041757,YBi(WO4)2,2.180704097221148,0.264977835601444,[6.0],3.0,3.0,3.0,Square antiprism,2f,1,6.0,Bi,0.0,True
mp-1042216,Ca(BiO2)2,1.8415209973689788,1.080925803171623,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Bi,0.0,True
mp-1042238,Mg(BiO2)2,1.9087813875598945,0.93400403811802,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Bi,0.0,True
mp-1042362,ZnBi2O5,2.222197785299838,0.2070117837191398,[6.0],4.0,4.0,4.0,"Pentagonal bipyramid, Octahedron",8c,2,6.0,Bi,0.0,True
mp-1042364,CaTaBiO5,2.0055449138241306,0.6419821967111827,[5.0],3.0,3.0,3.0,Square pyramid,8c,1,5.0,Bi,0.0,True
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True
mp-1042428,MgBi2O5,2.301556011268722,-0.007915747133829,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True
mp-1042669,CaCrBiO5,2.0773761777243664,0.4935023843948002,[5.0],3.0,3.0,3.0,Square pyramid,8c,1,5.0,Bi,0.0,True
mp-1043781,CaTaBiO5,1.7667941307342587,0.997285754150026,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Bi,0.0,True
