CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,"Trigonal prism, Pentagonal bipyramid, Square antiprism, Dodecahedron with triangular faces",4,1,2.169698075463365,2.169698075463365,0.0,1.0,1.0
2.0,"Cube, Square-face bicapped trigonal prism, Square-face capped trigonal prism",16,4,2.3211408476383677,2.359212139197584,0.03807129155921658,1.0,0.4444444444444444
2.0,"Cube, Square-face bicapped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",8,1,2.185688271711213,2.254966724674811,0.0692784529635978,1.0,0.2222222222222222
2.0,Square-face bicapped trigonal prism,8,1,2.2271449365462876,2.281735323121633,0.05459038657534512,1.0,0.2222222222222222
2.0,Square-face capped trigonal prism,4,1,2.644479668553849,2.6516724720285434,0.007192803474694476,1.0,0.1111111111111111
3.0,Triangular non-coplanar,37,8,2.089930385011277,2.1130387336218783,0.02309444650223838,0.9629629629629629,0.2
3.0,"Cube, Square-face bicapped trigonal prism, Square-face capped trigonal prism",24,3,2.2838399261017304,2.3546498713102104,0.07677647844839008,1.0,0.12972972972972974
3.0,"Cube, Triangular non-coplanar",20,3,2.128490981490688,2.1425109269751443,0.010664499632766822,1.0,0.10810810810810811
3.0,"Pentagonal bipyramid, Square pyramid",16,1,2.1769407879081486,2.2050763093031325,0.03416827822274251,1.0,0.08648648648648649
3.0,"Pentagonal pyramid, Square-face capped square prism, Square pyramid, Cube, Square non-coplanar, Triangular non-coplanar",16,1,2.090835761280467,2.1165449517980353,0.020918696232347274,1.0,0.08648648648648649
3.0,"See-saw, Triangular non-coplanar",9,4,2.0526732099629723,2.0944143250055434,0.04142452288690651,0.5833333333333333,0.04864864864864865
3.0,"Cube, Face-capped octahedron",8,1,2.2475802855570546,2.2626945409348163,0.015608479582850323,1.0,0.043243243243243246
3.0,"Pentagonal pyramid, End-trigonal-face capped trigonal prism, Square pyramid, Square non-coplanar, Triangular non-coplanar, Pentagonal plane",8,1,2.1017198014096077,2.1129589719298827,0.009904611843199629,1.0,0.043243243243243246
3.0,"See-saw, Cube",8,2,2.122493966733855,2.153421872849305,0.04085832045698603,1.0,0.043243243243243246
3.0,"See-saw, Square pyramid, Triangular non-coplanar",5,5,2.1112294564971106,2.1142318980348014,0.0036050468773933405,1.0,0.02702702702702703
3.0,"Square pyramid, Octahedron",5,2,2.129622542898024,2.1524429436236012,0.016903993551309823,1.0,0.02702702702702703
3.0,"Pentagonal pyramid, Square non-coplanar, Trigonal bipyramid, Square-face capped trigonal prism",4,1,2.2413746198096094,2.25545161387343,0.00995393796125051,1.0,0.021621621621621623
3.0,"Pentagonal pyramid, Trigonal prism, Square-face capped trigonal prism, Cube, See-saw",4,1,2.113735286216773,2.1259826331463128,0.014112090062477977,1.0,0.021621621621621623
3.0,no_data,3,2,2.116045509107488,2.1241935619819525,0.006781773185423068,1.0,0.016216216216216217
3.0,"Cube, Square-face bicapped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",2,1,2.2261471391045307,2.2862503995657875,0.05092924497861773,1.0,0.010810810810810811
3.0,"See-saw, Square non-coplanar, Square pyramid, Triangular non-coplanar",2,1,2.046291571897905,2.0655927337196784,0.024961440925539775,1.0,0.010810810810810811
3.0,"Triangular cupola, Square non-coplanar",2,2,,,,,0.010810810810810811
3.0,"Triangular non-coplanar, Square pyramid, Octahedron",2,2,,,,,0.010810810810810811
3.0,"Octahedron, Square pyramid, Triangular non-coplanar",1,1,,,,,0.005405405405405406
3.0,"Pentagonal pyramid, Bicapped octahedron (cap faces with one atom in common)",1,1,,,,,0.005405405405405406
3.0,"Pentagonal pyramid, Square-face capped trigonal prism",1,1,,,,,0.005405405405405406
3.0,"Pentagonal pyramid, Trigonal prism, Pentagonal bipyramid, Square pyramid, Octahedron, Cube, See-saw",1,1,,,,,0.005405405405405406
3.0,"See-saw, Square-face capped trigonal prism",1,1,,,,,0.005405405405405406
3.0,"See-saw, Square-face capped trigonal prism, Pentagonal pyramid, Square antiprism",1,1,,,,,0.005405405405405406
3.0,"See-saw, Tetrahedron, Square pyramid, Triangular non-coplanar",1,1,2.1229643096911315,2.122964357825681,3.4037656540800566e-08,1.0,0.005405405405405406
3.0,Square pyramid,1,1,,,,,0.005405405405405406
3.0,"Trigonal prism, Square-face capped trigonal prism, Square pyramid, End-trigonal-face capped trigonal prism, Octahedron, See-saw",1,1,,,,,0.005405405405405406
3.0,"Trigonal prism, Square-face capped trigonal prism, Square pyramid, Octahedron, Triangular non-coplanar, See-saw",1,1,,,,,0.005405405405405406
4.0,"See-saw, Square pyramid",86,6,2.153050578700068,2.2252897671050804,0.07279165026251017,0.9761904761904762,0.12874251497005987
4.0,"Cube, Square-face bicapped trigonal prism, Square-face capped trigonal prism",76,4,2.3372903652527546,2.397673125812064,0.06920425359525442,1.0,0.11377245508982035
4.0,"Pentagonal pyramid, Square-face bicapped trigonal prism, Square-face capped trigonal prism, Square non-coplanar, Trigonal bipyramid, Tricapped triangular prism (three square-face caps)",48,1,2.2274598942077692,2.286932468665895,0.054435322436252966,0.9583333333333334,0.0718562874251497
4.0,"See-saw, Pentagonal pyramid, Square non-coplanar",48,2,2.1561743674009537,2.255554228794702,0.158331602282708,1.0,0.0718562874251497
4.0,"Square non-coplanar, Square-face capped trigonal prism",44,6,2.217967966535396,2.2460232067469845,0.03559398587647411,1.0,0.0658682634730539
4.0,"Pentagonal pyramid, Square non-coplanar, Trigonal bipyramid, Square-face capped trigonal prism",36,1,2.240128203204092,2.2837840827967275,0.036883906607901515,1.0,0.05389221556886228
4.0,no_data,33,8,2.1057788463863445,2.256028832762623,0.1534017971713892,0.75,0.04940119760479042
4.0,See-saw,26,8,2.1068875947680663,2.2223683899236395,0.10038843109406177,0.9583333333333334,0.038922155688622756
4.0,"Pentagonal pyramid, Square-face capped square prism, Square pyramid, Cube, Square non-coplanar, Triangular non-coplanar",20,1,2.1895256744876748,2.241958380098832,0.04444070963438728,1.0,0.029940119760479042
4.0,"See-saw, Square pyramid, Triangular non-coplanar",17,6,2.1054917729940703,2.290983277522412,0.2516637438174748,1.0,0.025449101796407185
4.0,"Cube, Face-capped octahedron, Square non-coplanar",16,1,2.236840990718806,2.283835101432226,0.030798280866392278,1.0,0.023952095808383235
4.0,"Square non-coplanar, Square-face bicapped trigonal prism",15,2,2.312167348368407,2.312167348396652,2.824446603078058e-11,1.0,0.02245508982035928
4.0,"Cube, Square non-coplanar",14,3,2.2478956831038146,2.250828517022775,0.0023919287348685607,1.0,0.020958083832335328
4.0,"Pentagonal plane, Trigonal prism",12,1,2.2855858053245304,2.2914003152594553,0.005811756594918689,1.0,0.017964071856287425
4.0,Trigonal prism,12,1,2.291017462827909,2.2953651761907463,0.004347137347542339,1.0,0.017964071856287425
4.0,"Cube, Bicapped square prism (opposite faces), Square non-coplanar",10,1,2.2665302289334717,2.2665302296016434,6.775749608495965e-10,1.0,0.014970059880239521
4.0,"Tetrahedron, Square pyramid",10,7,2.152247093421123,2.154982404000193,0.002364232894221121,0.7,0.014970059880239521
4.0,"Triangular cupola, Square non-coplanar",10,2,2.232917123071828,2.249078545858653,0.01616054570700091,1.0,0.014970059880239521
4.0,Tetrahedron,9,2,2.227862735833029,2.2699344005242277,0.03689597989430558,1.0,0.01347305389221557
4.0,"Bicapped octahedron (cap faces with one edge in common), Square pyramid",8,1,2.3533278502660466,2.453663396582438,0.08199860008054077,1.0,0.011976047904191617
4.0,"Cube, Face-capped octahedron",8,1,2.268496541028042,2.4087593826541847,0.14250311173408955,1.0,0.011976047904191617
4.0,"Pentagonal pyramid, Trigonal prism, Square-face capped trigonal prism, Cube, See-saw",8,1,2.2264568482612175,2.273067514142951,0.04589140906362955,1.0,0.011976047904191617
4.0,"See-saw, Cube, Pentagonal pyramid, Square pyramid",8,1,2.1101734326991335,2.21609962526536,0.06960339324095284,1.0,0.011976047904191617
4.0,"See-saw, Square non-coplanar",8,1,2.0973550968151122,2.1966705744184467,0.09508126549130365,1.0,0.011976047904191617
4.0,"See-saw, Triangular non-coplanar",8,3,2.0462148977967214,2.249423116844719,0.19269951406006902,0.8125,0.011976047904191617
4.0,"Trigonal prism, Pentagonal bipyramid, Square antiprism, Dodecahedron with triangular faces",8,1,2.207318634920289,2.4162645815444668,0.19406666407931172,1.0,0.011976047904191617
4.0,Square plane,7,2,2.3526872558533007,2.460920962733875,0.09053374784225474,1.0,0.010479041916167664
4.0,"Square-face capped square prism, Square non-coplanar, Square pyramid",5,1,2.233288080006969,2.296543086038809,0.0632550060318398,1.0,0.0074850299401197605
4.0,"Pentagonal pyramid, End-trigonal-face capped trigonal prism, Square pyramid, Square non-coplanar, Triangular non-coplanar, Pentagonal plane",4,1,2.226745711279972,2.254164165267431,0.02536408276586459,1.0,0.005988023952095809
4.0,"See-saw, Square-face capped trigonal prism, Pentagonal pyramid, Square antiprism",4,1,2.0706249235994836,2.2938524718891466,0.304880048904399,1.0,0.005988023952095809
4.0,Square non-coplanar,4,2,2.13212720973336,2.2408287709317447,0.0672208455702187,1.0,0.005988023952095809
4.0,Square-face bicapped trigonal prism,4,1,2.3214426205727037,2.346848595863109,0.02540597529040503,1.0,0.005988023952095809
4.0,"See-saw, Square non-coplanar, Square pyramid, Triangular non-coplanar",3,1,2.1128417179388177,2.1755161497281708,0.06157537283222458,1.0,0.004491017964071856
4.0,"Bicapped octahedron (cap faces with one atom in common), Square-face capped trigonal prism",2,2,,,,,0.0029940119760479044
4.0,"Hexagonal bipyramid, See-saw",2,1,2.2286819646200042,2.290228436459861,0.06198645529634712,1.0,0.0029940119760479044
4.0,"Pentagonal pyramid, Square-face capped trigonal prism, Square pyramid, Octahedron, Cube",2,2,,,,,0.0029940119760479044
4.0,"See-saw, Square pyramid, Octahedron",2,1,2.101427407303344,2.202416557233179,0.09515397643378204,1.0,0.0029940119760479044
4.0,"Square non-coplanar, Cuboctahedron",2,1,2.2441970383800345,2.2441970383800345,1.9229626863835638e-16,1.0,0.0029940119760479044
4.0,Square-face capped trigonal prism,2,2,,,,,0.0029940119760479044
4.0,Bicapped octahedron (cap faces with one atom in common),1,1,,,,,0.0014970059880239522
4.0,"Bicapped octahedron (cap faces with one atom in common), Square-face bicapped trigonal prism, Square-face capped trigonal prism",1,1,,,,,0.0014970059880239522
4.0,"Bicapped square prism (opposite faces), Square non-coplanar",1,1,2.293027390614605,2.293027390614605,2.220446049250313e-16,1.0,0.0014970059880239522
