CN,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean
1.0,4,1,2.169698075463365,2.169698075463365,0.0,1.0
2.0,36,7,2.306078830624702,2.3513250138235295,0.04524618319882741,1.0
3.0,185,51,2.1464300367975144,2.1757822911012976,0.030106180310363724,0.9717171717171718
4.0,668,117,2.21186311068255,2.2816600321579674,0.07455112774140196,0.9737261146496815
5.0,838,149,2.128911385101375,2.3564254524028185,0.19762636762491717,0.9869565217391304
6.0,1407,358,2.1740299929538778,2.357671713179052,0.16627974327059938,0.9967877440079072
7.0,1057,177,2.2217354746117275,2.512485948938532,0.2557476902756562,1.0
8.0,1109,246,2.2715884374320123,2.539271794779054,0.2106988529426506,1.0
9.0,112,26,2.2856596524847363,2.6027648312086993,0.2368362329910163,1.0
10.0,4,2,2.4000666580383063,2.6298132023082705,0.19118809724861377,1.0
12.0,10,3,2.5436397796450576,2.6870586997414643,0.12838694856580765,1.0
